time,dB(SPL)
13,64.08783
59,66.64473
110,68.34943
160,69.89700
210,70.14902
260,74.61726
310,74.05722
360,72.40689
410,72.31900
460,63.61971
510,58.42332
560,71.69793
610,76.78830
660,76.70493
741,72.50625
759,65.05221
809,55.11750
859,67.23078
909,73.48804
959,78.22635
1009,76.86341
1060,73.07197
1112,75.04097
1160,76.36188
1210,69.79917
1259,68.69457
1309,72.97500
1359,69.59438
1409,62.88526
1460,62.90393
1509,71.85242
1560,76.48382
1614,71.47367
1660,72.93395
1721,70.82409
1760,70.06219
1810,62.19157
1860,66.31521
1910,61.95902
1961,61.79810
2010,71.55443
2061,74.83878
2110,71.48757
2160,71.84131
2210,69.99924
2259,71.64354
2310,76.23820
2360,75.01634
2410,78.76239
2460,79.91709
2510,78.58940
2562,74.81672
2610,74.39988
2660,70.96287
2722,70.10028
2760,72.81360
2810,76.52150
2860,78.49592
2910,79.34159
2959,79.79700
3010,79.39577
3060,78.46281
3110,73.78440
3160,70.06219
3209,65.23002
3259,72.16410
3310,73.67175
3360,70.44628
3411,69.60301
3460,73.56672
3510,72.85918
3560,73.30223
3610,73.95853
3662,75.07319
3720,76.34469
3760,72.31690
3810,71.65036
3860,73.27213
3912,75.01325
3962,75.28502
4010,73.54118
4059,70.20285
4110,73.59219
4160,76.45121
4210,72.87695
4259,75.05172
4310,75.59482
4360,71.26487
4410,73.15068
4460,75.35499
4509,76.98593
4559,74.34009
4609,72.97500
4659,74.20235
4739,71.29805
4759,74.77720
4810,75.05940
4860,76.20868
4910,75.44350
4959,76.05411
5009,71.40619
5059,74.49698
5110,76.53963
5160,75.58327
5211,67.20808
5260,67.95185
5310,65.76051
5360,68.29613
5410,67.79749
5460,66.58796
5510,68.69457
5560,69.57133
5610,73.49722
5660,75.70660
5721,74.96996
5760,74.16842
5810,68.44194
5859,64.14191
5909,64.38645
5959,70.95549
6009,76.30358
6059,75.13120
6110,74.74703
6160,69.50761
6210,61.42291
6260,72.99448
6309,76.60536
6359,74.77085
6409,73.96549
6460,70.10843
6510,73.18311
6560,75.50784
6610,78.22315
6660,78.97022
6721,72.19189
6760,75.73361
6810,71.70244
6860,74.64305
6910,69.41409
6960,67.52058
7010,68.99265
7060,75.57749
7116,74.61887
7160,76.75934
7210,79.91446
7262,76.54868
7310,77.00312
7360,75.93426
7410,72.18975
7460,72.09532
7510,74.38828
7560,73.06039
7610,70.92592
7664,75.33718
7725,77.48964
7760,76.54351
7810,76.00334
