time,available,total
230,307863552,1945096192
1232,305192960,1945096192
2236,302596096,1945096192
3235,304128000,1945096192
4231,302362624,1945096192
5283,302505984,1945096192
6318,301117440,1945096192
7283,300220416,1945096192
8332,300818432,1945096192
9332,300290048,1945096192
10367,298586112,1945096192
11334,297562112,1945096192
12329,297390080,1945096192
13333,297967616,1945096192
14334,298909696,1945096192
15330,298582016,1945096192
16334,297848832,1945096192
17390,298012672,1945096192
18392,300814336,1945096192
19380,301035520,1945096192
20382,299876352,1945096192
21433,299905024,1945096192
22456,299565056,1945096192
23482,297799680,1945096192
24481,298975232,1945096192
25541,298426368,1945096192
26618,297713664,1945096192
27583,294621184,1945096192
28583,295960576,1945096192
29632,295145472,1945096192
30655,302104576,1945096192
31681,300888064,1945096192
32680,301142016,1945096192
33684,300371968,1945096192
34709,302067712,1945096192
35693,302485504,1945096192
36729,302936064,1945096192
37732,302333952,1945096192
38754,301785088,1945096192
39733,300507136,1945096192
40732,300584960,1945096192
41731,300371968,1945096192
42815,300830720,1945096192
43779,297930752,1945096192
44783,298770432,1945096192
45786,297791488,1945096192
46802,297287680,1945096192
47788,296906752,1945096192
48790,298696704,1945096192
49781,297381888,1945096192
50822,297721856,1945096192
51833,297295872,1945096192
52832,300290048,1945096192
