time,hPa
230,1006.66675
1232,1006.67670
2236,1006.67670
3234,1006.68512
4231,1006.66675
5283,1006.66675
6314,1006.67670
7283,1006.67670
8331,1006.67670
9331,1006.68671
10367,1006.69672
11334,1006.70996
12329,1006.70667
13332,1006.69672
14334,1006.68671
15330,1006.70667
16334,1006.71667
17390,1006.70667
18392,1006.70667
19380,1006.69672
20381,1006.70667
21432,1006.69672
22455,1006.68671
23481,1006.68671
24481,1006.69672
25540,1006.71667
26614,1006.70667
27583,1006.70667
28582,1006.70667
29632,1006.68671
30654,1006.69672
31681,1006.68671
32680,1006.68671
33684,1006.67670
34708,1006.67670
35689,1006.65674
36729,1006.69116
37731,1006.70667
38753,1006.71667
39731,1006.72668
40732,1006.73669
41729,1006.73669
42813,1006.73639
43779,1006.71667
44782,1006.73669
45786,1006.73669
46801,1006.72668
47788,1006.73669
48790,1006.75665
49780,1006.74670
50821,1006.73669
51832,1006.72668
52832,1006.74316
