time,level,voltage(mV),temperature(C),current(avg),current(instantaneous),charging
720,60,3765,29.4,-9223372036854775808,724110,0
1716,60,3765,29.4,-9223372036854775808,669440,0
2716,60,3765,29.4,-9223372036854775808,740688,0
3716,60,3765,29.4,-9223372036854775808,868362,0
4763,60,3765,29.4,-9223372036854775808,763521,0
5764,60,3765,29.4,-9223372036854775808,646502,0
6764,60,3765,29.4,-9223372036854775808,419968,0
7793,60,3765,29.4,-9223372036854775808,632426,0
8765,60,3765,29.4,-9223372036854775808,490567,0
9763,60,3765,29.4,-9223372036854775808,565015,0
10765,60,3765,29.4,-9223372036854775808,514760,0
11792,60,3765,29.4,-9223372036854775808,506512,0
12765,60,3765,29.4,-9223372036854775808,634405,0
13765,60,3765,29.4,-9223372036854775808,547201,0
14773,60,3765,29.4,-9223372036854775808,562487,0
15764,60,3765,29.4,-9223372036854775808,725349,0
16816,60,3765,29.4,-9223372036854775808,684000,0
17815,60,3765,29.4,-9223372036854775808,467694,0
18814,60,3765,29.4,-9223372036854775808,638804,0
19816,60,3765,29.4,-9223372036854775808,608233,0
20814,60,3765,29.4,-9223372036854775808,536313,0
21865,60,3765,29.4,-9223372036854775808,750202,0
22864,60,3765,29.4,-9223372036854775808,494966,0
23950,60,3765,29.4,-9223372036854775808,488038,0
24914,60,3765,29.4,-9223372036854775808,603834,0
25915,60,3765,29.4,-9223372036854775808,465714,0
26915,60,3765,29.4,-9223372036854775808,506512,0
27954,60,3765,29.4,-9223372036854775808,709404,0
