time,azimuth
2,-53
53,-55
101,-54
152,-54
201,-55
251,-53
303,-53
351,-53
402,-53
452,-54
501,-53
551,-54
602,-54
651,-53
720,-52
752,-54
803,-53
851,-54
902,-54
954,-55
1001,-53
1052,-53
1101,-53
1152,-53
1202,-53
1251,-54
1302,-54
1355,-54
1401,-54
1451,-53
1501,-53
1552,-53
1601,-52
1652,-52
1715,-53
1759,-54
1803,-53
1851,-53
1902,-54
1951,-54
2002,-53
2052,-54
2101,-53
2151,-53
2202,-54
2251,-53
2302,-53
2352,-54
2406,-54
2451,-54
2501,-53
2551,-54
2602,-54
2657,-55
2715,-52
2752,-54
2802,-52
2852,-54
2901,-53
2952,-53
3002,-54
3051,-54
3104,-53
3152,-54
3202,-55
3252,-54
3302,-53
3352,-54
3401,-53
3452,-52
3503,-54
3552,-53
3601,-53
3651,-54
3715,-53
3752,-52
3801,-54
3857,-54
3904,-51
3951,-53
4002,-52
4051,-52
4102,-54
4152,-54
4201,-53
4252,-54
4301,-53
4352,-53
4402,-54
4451,-54
4502,-53
4552,-53
4601,-54
4652,-54
4701,-53
4763,-54
4801,-52
4852,-53
4902,-54
4952,-53
5001,-52
5051,-53
5102,-53
5151,-53
5202,-54
5252,-52
5301,-54
5351,-53
5402,-53
5451,-52
5502,-54
5553,-54
5601,-53
5652,-53
5701,-54
5764,-55
5802,-54
5852,-53
5901,-53
5952,-53
6001,-54
6052,-53
6101,-53
6152,-53
6201,-52
6251,-53
6302,-53
6352,-55
6401,-53
6452,-54
6501,-54
6552,-53
6601,-53
6651,-53
6702,-53
6764,-53
6802,-53
6852,-54
6901,-53
6952,-53
7001,-53
7051,-53
7102,-53
7151,-53
7202,-53
7254,-53
7301,-52
7351,-54
7401,-54
7452,-53
7501,-53
7552,-54
7602,-54
7652,-53
7701,-54
7792,-53
7802,-53
7851,-54
7901,-54
7951,-53
8001,-52
8052,-53
8101,-52
8153,-54
8201,-54
8252,-52
8301,-54
8352,-53
8411,-53
8452,-53
8501,-53
8552,-53
8602,-53
8654,-52
8702,-52
8765,-54
8803,-53
8852,-52
8902,-53
8951,-53
9002,-53
9052,-53
9101,-53
9152,-53
9202,-52
9252,-52
9302,-54
9352,-53
9401,-53
9452,-52
9501,-52
9552,-53
