time,x,y,z
2,32.75452,-42.93518,4.53949
52,31.81152,-45.44983,3.72162
101,33.00934,-45.08057,3.48206
151,32.92236,-44.51447,4.38843
201,31.83136,-44.42902,4.52271
251,32.93304,-44.09637,3.94440
301,32.93304,-44.09637,3.94440
351,32.75452,-43.27087,2.90375
402,33.39996,-43.94989,4.85840
452,33.30383,-45.16144,3.98254
501,33.05054,-43.72101,3.53699
550,33.29773,-45.09125,4.10614
601,32.75452,-45.61615,3.55835
651,33.59222,-44.77844,5.35583
719,33.89282,-43.65082,3.02734
751,33.29620,-45.01495,4.27856
802,33.08868,-43.27087,3.55835
851,33.34351,-44.88678,4.13361
902,33.08105,-44.61365,3.55988
953,31.77643,-44.61060,1.63727
1001,33.19244,-44.11774,5.32990
1051,32.90253,-43.98041,3.26538
1101,32.89337,-43.13202,4.73022
1151,32.85980,-43.51807,4.83246
1201,32.41882,-43.18085,3.08075
1251,32.75452,-44.94629,4.21143
1301,33.08868,-44.61060,3.23181
1354,32.08466,-44.27643,4.86603
1401,32.58667,-44.59381,3.83301
1451,33.17413,-44.02466,4.94995
1501,33.58459,-44.59991,3.92456
1551,32.41882,-42.26532,3.23181
1601,33.76007,-43.27087,3.23181
1651,34.09424,-42.93518,4.21143
1715,33.08868,-43.73016,3.94440
1759,31.89545,-44.20013,3.04871
1802,32.58667,-43.77289,5.68390
1851,34.07745,-44.26117,5.03387
1901,31.58112,-44.10858,3.72162
1951,32.00378,-44.07501,2.77557
2002,32.61719,-42.81311,4.04510
2051,33.55255,-45.93048,2.27356
2101,32.98950,-43.54858,4.52118
2151,33.01086,-43.50739,2.05688
2202,32.58667,-44.10858,3.72162
2251,32.75452,-43.94073,4.21143
2301,33.12073,-43.30292,4.14734
2351,32.46613,-44.63806,3.18451
2405,32.37000,-44.04907,3.14484
2451,31.73676,-43.97736,4.33044
2501,32.97729,-43.86139,3.01361
2551,33.08868,-45.61615,2.90375
2601,32.08466,-43.94073,3.23181
2656,31.82526,-44.99207,4.25720
2715,34.06525,-43.65845,2.93274
2752,32.27539,-44.49310,2.94800
2802,33.92792,-43.77289,3.06702
2851,32.31659,-44.10858,3.46069
2901,32.58667,-42.76733,3.72162
2951,33.08868,-43.96973,3.85742
3001,32.57141,-44.09485,3.11127
3051,32.58972,-44.12231,3.08075
3102,32.78198,-43.72101,3.85742
3152,32.92236,-45.11414,3.39508
3201,31.41327,-44.61060,3.88489
3251,31.74438,-43.63098,2.88086
3301,32.65076,-43.52875,4.11224
3351,32.29370,-44.05060,4.21143
3401,33.04443,-44.27643,3.84369
3451,33.75092,-43.42499,2.81219
3503,32.08466,-43.60657,4.21143
3552,32.92236,-43.43872,5.35583
3601,33.12988,-43.01147,4.17328
3651,32.35779,-43.54553,4.86603
3715,32.75452,-43.26935,4.42963
3751,33.92792,-43.77289,3.39508
3801,31.94122,-42.98401,4.49371
3856,31.71082,-43.90411,3.23486
3903,34.26208,-42.43317,3.39508
3951,32.62329,-43.65997,4.59290
4001,33.87299,-43.77289,4.07562
4051,33.59222,-43.43872,3.39508
4101,32.60498,-44.66400,4.10461
4151,32.08466,-43.27087,3.88489
4201,32.75452,-43.94073,3.88489
4251,32.09381,-43.44940,4.05884
4301,32.45392,-42.29126,3.42560
4351,32.84302,-43.79578,4.11072
4401,32.75452,-44.93103,2.59399
4451,32.75452,-44.61060,3.23181
4502,32.58667,-43.77289,4.70276
4551,33.43506,-44.31000,3.70026
4601,31.90765,-43.62183,2.60925
4651,32.23572,-43.45398,2.94647
4701,32.44476,-43.39294,3.23181
4763,32.92236,-45.11414,3.39508
4801,33.89893,-43.87512,2.81525
4852,33.50067,-44.95087,2.57416
4902,32.34863,-44.88525,4.67224
4952,32.30133,-43.15338,2.60468
5001,33.79974,-42.77954,3.62091
5051,32.92236,-43.77289,3.39508
5101,32.89795,-43.77899,4.35333
5151,33.08868,-43.60657,4.21143
5201,32.17163,-44.15588,3.50800
5252,33.10394,-42.37213,3.66364
5301,31.79016,-43.31360,3.70941
5351,33.42438,-44.29321,3.79944
5401,32.58667,-43.43872,3.06702
5451,33.42438,-43.27087,1.59607
5501,32.40662,-43.67218,3.16925
5551,31.26068,-42.60406,3.52478
5601,32.66602,-43.01453,2.98615
5651,33.57391,-44.01550,2.24915
5701,32.65076,-44.12231,2.60315
5763,31.74896,-44.94629,3.88489
5801,32.69806,-45.33844,2.41394
5852,33.17566,-43.72711,2.87628
5901,32.79114,-43.53027,3.41187
5951,33.60748,-44.40918,4.06342
6001,32.64771,-44.65637,1.58234
6051,33.76007,-43.94073,3.88489
6101,32.32727,-43.14575,3.04260
6151,32.74231,-42.95654,2.92358
6201,34.03931,-43.91479,3.58582
6251,33.46558,-43.52417,3.88489
6302,32.80029,-43.98804,4.58527
6351,32.41882,-45.28198,4.53949
6401,33.08868,-44.27643,2.25067
6451,33.08868,-44.61060,3.55835
6501,32.60040,-43.97430,3.38135
6551,33.24432,-44.29169,2.48566
6601,33.52966,-44.22455,3.95508
6651,32.39746,-43.29224,2.73132
6702,32.75452,-43.27087,3.23181
6764,33.12988,-43.23120,3.15857
6801,32.92236,-43.43872,2.41394
6851,31.83289,-43.22205,3.44543
6901,32.73315,-43.66608,3.01971
6952,32.15332,-42.76733,3.39508
7000,32.92236,-43.77289,3.72162
7051,32.75452,-43.27087,4.21143
7101,32.97272,-43.74847,3.37067
