time,total received,total sent,mobile received,mobile sent
720,502666514,194579296,0,0
1716,502671003,194581103,0,0
2716,502672325,194581175,0,0
3741,502672325,194581175,0,0
4763,502672325,194581227,0,0
5764,502674946,194584409,0,0
6765,502680588,194587435,0,0
7793,502681240,194588823,0,0
8766,502681835,194589279,0,0
9763,502681835,194589331,0,0
10765,502681835,194589331,0,0
11792,502681835,194589331,0,0
12765,502681914,194589383,0,0
13765,502682288,194589462,0,0
14773,502682288,194589462,0,0
15764,502682288,194589462,0,0
16816,502682288,194589462,0,0
17815,502682288,194589462,0,0
18814,502682590,194589972,0,0
19817,502682590,194590024,0,0
20814,502682590,194590024,0,0
21865,502682590,194590024,0,0
22864,502682590,194590024,0,0
23950,502682590,194590024,0,0
24914,502682590,194590024,0,0
25915,502682723,194590176,0,0
26916,502682791,194590176,0,0
27954,502682791,194590176,0,0
