time,USER,SYSTEM,IOW,IRQ
395,38,18,1,0
1374,38,18,1,0
2373,38,18,1,0
3375,38,18,1,0
4377,39,14,0,0
5375,39,14,0,0
6373,39,14,0,0
7384,39,14,0,0
8377,43,15,5,0
9375,43,15,5,0
10374,43,15,5,0
11383,43,15,5,0
12395,39,12,0,0
13377,39,12,0,0
14373,39,12,0,0
15376,39,12,0,0
16428,42,17,1,0
17428,42,17,1,0
18431,42,17,1,0
19473,42,17,1,0
20508,30,13,0,0
21475,30,13,0,0
22477,30,13,0,0
23522,30,13,0,0
24558,40,15,0,0
25525,40,15,0,0
26531,40,15,0,0
27528,40,15,0,0
28527,40,11,0,0
29522,40,11,0,0
30523,40,11,0,0
31525,40,11,0,0
32574,41,13,0,0
33578,41,13,0,0
34574,41,13,0,0
35574,41,13,0,0
36609,36,12,0,0
37573,36,12,0,0
38573,36,12,0,0
39574,36,12,0,0
40614,30,13,2,0
41575,30,13,2,0
42574,30,13,2,0
43574,30,13,2,0
44609,38,11,0,0
45573,38,11,0,0
46583,38,11,0,0
47585,38,11,0,0
48627,43,12,0,0
49623,43,12,0,0
50675,43,12,0,0
51673,43,12,0,0
