time,x,y,z
6,-0.81628,-1.32578,-0.06662
57,-0.91582,-2.33693,-0.10135
106,-2.00072,-2.06679,-0.50923
156,-2.89175,-2.61433,-0.24521
206,-3.29576,-2.58572,0.18646
255,-0.86343,-0.13705,0.45630
305,0.16661,0.87379,0.34833
355,0.50189,0.72591,0.29747
406,0.05080,0.48080,-0.18793
456,-0.39491,0.23413,0.12225
505,-0.34033,0.23799,0.09087
556,0.09309,0.23956,-0.00227
606,0.36372,0.44948,-0.02028
655,0.19371,0.27818,0.02373
706,-0.06503,0.12567,0.19429
769,-0.03883,0.10362,0.07533
805,0.02188,0.11121,0.10422
856,0.13388,-0.01624,-0.02351
909,0.21742,0.05141,-0.00417
955,0.00894,-0.01668,0.03856
1005,-0.07756,-0.02939,0.09634
1055,-0.06299,0.02864,0.01793
1105,-0.11700,-0.00404,0.03174
1155,-0.17645,-0.08592,0.13033
1205,0.04752,0.01802,0.04109
1255,0.16507,0.07819,0.00497
1305,0.10707,0.02779,-0.01088
1356,-0.01096,-0.02115,0.00822
1405,-0.01912,-0.02484,0.02037
1456,0.06979,0.05650,0.00467
1505,-0.00896,0.02661,0.00648
1556,-0.10870,-0.02463,-0.02969
1605,-0.19135,-0.04572,0.01996
1655,-0.06714,-0.07959,-0.00941
1705,-0.01369,0.03625,-0.05504
1768,-0.01450,-0.06110,0.05025
1805,0.00081,-0.05669,0.04695
1855,0.18779,0.07692,-0.03096
1906,-0.03416,-0.05893,0.01874
1955,0.06821,0.03114,-0.03166
2005,-0.03220,0.03908,0.02559
2056,-0.01230,-0.02592,-0.00641
2105,-0.01903,0.00000,-0.00357
2156,-0.00473,-0.03423,-0.00165
2206,0.11201,0.03345,0.02493
2255,0.02092,0.04405,0.00352
2305,-0.01955,-0.04616,-0.03377
2356,0.04257,0.01015,0.03421
2408,0.08583,-0.02168,0.00629
2455,-0.05150,0.01224,0.00179
2506,0.01628,-0.02658,0.02696
2555,0.12263,0.08659,-0.05093
2605,-0.09653,-0.05777,0.01733
