time,available,total
770,230596608,1945096192
1768,231608320,1945096192
2769,242540544,1945096192
3768,242020352,1945096192
4776,241274880,1945096192
5770,241946624,1945096192
6774,241418240,1945096192
7767,243023872,1945096192
8768,242147328,1945096192
9769,243175424,1945096192
10774,239366144,1945096192
11769,239398912,1945096192
12769,240709632,1945096192
13824,242282496,1945096192
14817,246059008,1945096192
15819,247365632,1945096192
16817,247136256,1945096192
17857,246927360,1945096192
18822,249946112,1945096192
19820,252805120,1945096192
20818,251006976,1945096192
21857,252219392,1945096192
22822,250064896,1945096192
23870,250118144,1945096192
24869,246403072,1945096192
25879,230387712,1945096192
26869,228126720,1945096192
27867,225116160,1945096192
28870,224243712,1945096192
