time,azimuth
47,-8
97,-8
146,1
197,-11
262,-10
296,-7
346,-5
397,2
446,-9
497,7
546,6
596,-3
647,-4
697,5
746,-6
797,5
846,-5
896,-4
946,-8
999,7
1046,-7
1097,-10
1146,-8
1197,-7
1263,-1
1297,-8
1346,-7
1396,-7
1446,-8
1496,-18
1546,-5
1597,-3
1646,-1
1696,-7
1746,-8
1797,-7
1846,-6
1896,8
1947,-11
1997,-2
2046,-9
2096,-4
2146,-8
2196,-3
2259,1
2296,-3
2347,-3
2396,1
2447,-15
2496,-9
2546,1
2596,-4
2647,-8
2696,-4
2749,-1
2800,-7
2846,-9
2896,-8
2947,-6
2999,7
3046,-6
3096,-2
3147,-3
3196,-6
3260,-4
3297,7
3346,-2
3396,1
3447,5
3497,-1
3548,-7
3598,4
3646,1
3697,4
3747,2
3799,11
3847,12
3896,-5
3949,13
3997,3
4046,5
4097,7
4146,12
4197,18
4261,11
4298,21
4348,16
4397,21
4447,20
4496,22
4547,-3
4596,-13
4646,-13
4698,-34
4747,-34
4796,-27
4847,7
4896,27
4947,20
4997,13
5047,14
5098,16
5147,14
5197,7
5263,-8
5296,3
5347,6
5396,16
5447,35
5496,6
5546,15
5597,17
5647,28
5697,31
5748,24
5801,18
5847,28
5896,-8
5951,6
5997,0
6047,0
6097,31
6147,42
6197,46
6260,20
6299,18
6346,14
6396,6
6446,17
6496,21
6546,33
6596,34
6646,8
6696,14
6746,29
6796,35
6847,30
6896,36
6947,23
6997,17
7046,5
7097,13
7146,-11
7197,-15
7259,34
7296,49
7347,52
7397,43
7447,33
7497,30
7546,27
7596,39
7646,11
7696,-12
7746,31
7797,50
7847,26
7899,11
7947,30
8001,33
8047,38
8098,48
8147,28
8197,44
8316,22
8321,19
8347,6
8396,-9
8446,50
8497,65
8546,53
8597,46
8647,34
8697,35
8746,27
8799,23
8847,18
8897,46
8948,74
8998,76
9046,62
9097,42
9146,60
9198,52
9262,60
9298,52
9347,53
9397,36
9454,22
9500,-20
9550,-34
9596,47
9646,50
9696,47
9746,42
9796,18
9847,2
9897,0
9946,-68
9997,-62
10046,-65
10097,91
10147,-17
10197,-53
10260,-38
10298,-6
10346,-24
10399,-41
10447,-4
10498,-67
10547,-134
10597,142
10646,170
10697,154
10746,161
10801,159
10847,162
10896,165
10946,165
10997,161
11046,172
11097,172
11147,171
11198,174
11261,-177
11297,-177
11346,-177
11396,-171
11446,-173
11496,-170
11546,-169
11596,-163
11646,-161
11696,-161
11747,-159
11799,-160
11847,-152
11898,-148
11947,-154
12001,-146
12046,-150
12098,-149
12146,-148
12197,-146
12263,-156
12302,-151
12347,-147
12398,-151
12447,-156
12496,-153
12547,-149
12596,-160
12646,-142
12696,-152
12746,-146
12802,-157
12847,-147
12897,-157
12946,-146
12996,-146
13046,-142
13097,-142
13148,-145
13199,-154
13261,-145
13297,-149
13347,-142
13399,-139
13447,-146
13496,-145
13546,-153
13597,-152
13646,-152
13696,-146
13747,-146
13796,-143
13847,-155
13896,-152
13947,-152
13999,-158
14047,-156
14096,-155
14146,-153
14196,-150
14260,-146
14296,-148
14347,-150
14397,-147
14446,-150
14496,-139
14546,-148
14597,-149
14646,-152
14696,-153
14746,-151
14796,-157
14847,-150
14896,-147
14947,-150
14997,-150
15047,-154
15097,-157
15147,-155
15196,-154
15269,-152
15297,-151
15346,-148
15397,-149
15446,-155
15498,-159
15550,-154
15596,-150
15646,-149
15696,-151
15752,-157
15797,-151
15847,-158
15897,-159
15947,-158
15996,-153
16047,-145
16097,-157
16147,-155
16197,-161
16288,-158
16297,-160
16347,-160
16396,-157
16446,-157
16497,-154
16546,-155
16597,-161
16646,-163
16697,-159
16748,-156
16797,-157
16847,-157
16901,-157
16947,-155
16996,-161
17046,-163
17097,-162
17147,-160
17196,-155
17261,-165
17296,-162
17346,-160
17397,-162
17447,-161
17496,-161
17547,-155
17598,-155
17646,-154
17697,-160
17747,-165
17797,-168
17846,-166
17898,-168
17947,-167
17997,-176
18046,-179
18096,178
18149,178
18197,173
18247,164
18311,166
18347,155
18396,153
18446,152
18497,156
18549,144
18599,141
18647,136
18697,140
18747,131
18797,125
18846,112
18896,68
18947,38
18998,18
19052,12
19096,16
19147,11
19197,16
19253,16
19309,24
19349,29
19397,21
19447,20
19497,17
19546,24
19596,30
19646,-10
19696,25
19746,56
19797,42
19846,32
19896,-1
19946,28
19997,31
20046,30
20097,26
20147,25
20197,25
20247,24
20297,13
20364,-8
20400,13
20447,26
20496,47
20546,48
20596,42
20647,23
20696,17
20748,22
20796,13
20847,-16
20897,29
20946,47
20998,19
21046,-4
21097,3
21146,23
21198,18
21247,28
21297,25
21347,22
21416,16
21447,-6
21497,-10
21547,-1
21597,-9
21646,57
21696,42
21747,31
21796,43
21846,27
21896,22
21947,23
21996,-7
22046,17
22097,45
22147,10
22196,-12
22246,4
22296,31
22346,31
22409,29
22446,19
22496,36
22547,-11
22596,-1
22646,-4
22696,17
22746,35
22796,58
22846,60
22896,33
22947,35
22996,22
23048,27
23105,-8
23146,6
23199,86
23247,87
23299,53
23347,1
23397,10
23461,32
23497,39
23546,49
23597,43
23647,31
23697,11
23747,-5
23797,6
23847,28
23897,75
23947,79
23996,71
24047,57
24098,32
24146,28
24197,19
24246,-10
24297,3
24347,88
24397,74
24448,19
24542,3
24554,-7
24597,3
24646,-2
24696,2
24746,-15
24797,-20
24846,-55
24897,-101
24946,-176
24998,179
25047,-174
25096,172
25147,152
25197,154
25246,152
25296,153
25346,140
25398,153
25446,147
25510,137
25548,132
25598,138
25647,150
25698,141
25746,136
25797,133
25846,135
25896,125
25948,118
25997,122
26046,123
26096,133
26146,139
26196,149
26246,154
26296,152
26347,146
26397,157
26447,145
26509,131
26546,136
26597,130
26646,132
26697,133
26747,144
26796,149
26846,152
26896,153
26947,150
26996,152
27047,151
27099,140
27150,146
27196,136
27247,151
27296,150
27347,153
27397,155
27447,145
27509,147
27546,158
27597,147
27646,136
27698,132
27747,132
27796,140
27846,144
27897,150
27947,150
27996,155
28046,151
28096,162
28147,154
28198,146
28247,148
28296,141
28347,142
28396,156
28447,161
28536,160
28547,162
28597,153
28646,162
28697,163
28746,171
28796,142
28846,144
28896,135
28947,149
28997,156
29047,158
29099,165
29147,172
29196,167
29246,172
29297,156
29347,159
29399,144
29447,144
29512,139
29547,155
29603,150
29648,170
29697,161
29746,156
29796,156
29846,159
29896,134
29947,128
29999,131
30047,129
30097,141
30147,149
30197,149
30247,166
30298,167
30347,157
30396,161
30447,141
30516,132
30546,135
30596,134
30646,135
30697,141
30746,154
30796,157
30847,151
30896,151
30949,153
30997,169
31047,147
31098,132
31147,132
31201,132
31246,136
31297,138
31346,145
31397,156
31446,166
31507,164
31547,166
31598,171
31646,169
31697,179
31746,175
31797,-175
31846,-176
31897,-176
31947,-171
31997,-176
32046,-172
32096,-175
32147,-166
32198,-168
32246,-168
32298,-170
32347,-173
32397,-160
32446,-153
32544,-154
32550,-148
32597,-149
32646,-159
32696,-157
32746,-156
32797,-146
32846,-148
32895,-156
32947,-161
32997,-153
33047,-153
33097,-155
33146,-163
33198,-158
33246,-145
33296,-146
33347,-140
33397,-150
33447,-163
33516,-150
33547,-148
33599,-157
33646,-149
33696,-146
33746,-143
33797,-144
33848,-164
33897,-162
33946,-160
33997,-146
34046,-148
34097,-148
34147,-151
34196,-146
34246,-150
34297,-160
34346,-161
34397,-155
34446,-150
34508,-153
34547,-153
34598,-159
34646,-152
34696,-160
34747,-155
34797,-151
34847,-148
34897,-148
34947,-151
34996,-161
35046,-160
35097,-152
35146,-154
35196,-151
35246,-151
35296,-149
35347,-150
35397,-163
35447,-161
35513,-160
35546,-156
35597,-142
35646,-160
35696,-154
35746,-162
35796,-156
35846,-162
35896,-161
35946,-152
35997,-154
36046,-150
36096,-167
36146,-177
36196,-160
36247,-163
36298,-156
36347,-157
36399,-160
36446,-155
36540,-170
36547,-170
36597,-163
36646,-164
36696,-165
36747,-177
36796,-167
36846,-168
36897,-171
36946,-171
36999,-170
37046,-162
37098,-160
37147,-155
37197,-160
37247,-178
37297,-179
37347,-163
37397,-162
37446,-159
37511,-159
37547,-159
37597,-161
37646,-170
37696,-170
37747,-162
37797,-155
37847,-150
37896,-162
37946,-160
37996,-169
38046,-160
38096,-161
38147,-158
38197,-158
38247,-149
38297,-142
38347,-141
38397,-137
38446,-132
38496,-128
38559,-129
38600,-129
38648,-126
38696,-115
38747,-107
38796,-111
38847,-118
38897,-124
38946,-100
38997,-91
39047,-85
39097,-87
39148,-81
39199,-68
39246,-65
39296,-58
39346,-57
39398,-69
39447,-70
39496,-91
39558,-97
39596,-101
39647,-100
39697,-94
39746,-83
39796,-56
39846,-63
39897,-74
39946,-73
39998,-81
40046,-97
40097,-95
40146,-95
40199,-100
40246,-96
40297,-97
40347,-97
40397,-90
40446,-87
40496,-72
40558,-79
40604,-79
40648,-98
40697,-94
40746,-113
40796,-112
40846,-109
40896,-90
40946,-74
40996,-88
41046,-80
41096,-76
41147,-95
41198,-108
41247,-108
41296,-103
41346,-104
41398,-101
41446,-101
41497,-99
41559,-62
41598,-75
41647,-68
41698,-86
41747,-97
41798,-104
41848,-110
41899,-113
41946,-107
41998,-96
42046,-75
42097,-60
42147,-79
42199,-84
42246,-90
42298,-105
42348,-111
42397,-112
42446,-106
42496,-109
42563,-109
42597,-103
42646,-112
42696,-95
42746,-84
42796,-84
42846,-91
42896,-100
42947,-102
42998,-107
43047,-118
43096,-113
43147,-110
43197,-97
43246,-86
43296,-79
43346,-85
43396,-81
43446,-97
43498,-109
43547,-110
43615,-104
43646,-104
43695,-103
43745,-107
43795,-113
43846,-74
43896,-80
43946,-78
43997,-100
44046,-88
44096,-113
44147,-117
44196,-125
44247,-124
44297,-117
44346,-99
44399,-92
44447,-92
44497,-86
44547,-102
44645,-107
44651,-109
44698,-120
44746,-116
44796,-111
44846,-112
44896,-113
44946,-108
44997,-112
45047,-114
45096,-113
45147,-111
45197,-113
45247,-108
45297,-104
45346,-104
45398,-103
45447,-107
45496,-112
45547,-108
45610,-109
45648,-108
45698,-106
45747,-103
45798,-101
45847,-106
45896,-107
45947,-104
45997,-104
46047,-106
46097,-107
46147,-101
46196,-100
46246,-103
46298,-105
46347,-105
46396,-104
46447,-105
46497,-104
46547,-107
46611,-105
46648,-105
46698,-107
46746,-103
46797,-106
46846,-103
46896,-107
46946,-102
46996,-105
47047,-104
47097,-106
47146,-105
47196,-101
47247,-103
47299,-105
47346,-105
47397,-104
47446,-101
47497,-102
47546,-103
47607,-101
47647,-102
47696,-104
47746,-104
47797,-99
47846,-102
47896,-101
47946,-101
47996,-106
48047,-101
48097,-105
48146,-103
48199,-102
48246,-106
48297,-102
48347,-100
48397,-105
48447,-104
48497,-103
48546,-103
48633,-104
48647,-104
48696,-104
48746,-108
48796,-102
48846,-104
