time,total received,total sent,mobile received,mobile sent
263,1308559188,90282041,8159272,3998608
1263,1308569842,90286217,8169926,4002784
2260,1308569842,90286217,8169926,4002784
3260,1308569842,90286217,8169926,4002784
4261,1308570055,90286549,8170139,4003116
5263,1308570055,90286549,8170139,4003116
6261,1308570055,90286549,8170139,4003116
7260,1308570055,90286549,8170139,4003116
8316,1308570055,90286549,8170139,4003116
9262,1308570055,90286549,8170139,4003116
10261,1308570107,90286601,8170191,4003168
11261,1308570159,90286653,8170243,4003220
12264,1308570159,90286653,8170243,4003220
13263,1308570159,90286653,8170243,4003220
14260,1308570372,90286985,8170456,4003552
15269,1308570372,90286985,8170456,4003552
16289,1308570372,90286985,8170456,4003552
17262,1308570372,90286985,8170456,4003552
18311,1308570372,90286985,8170456,4003552
19309,1308570372,90286985,8170456,4003552
20365,1308570372,90286985,8170456,4003552
21417,1308570372,90286985,8170456,4003552
22415,1308570372,90286985,8170456,4003552
23462,1308570372,90286985,8170456,4003552
24543,1308570585,90287317,8170669,4003884
25510,1308570585,90287317,8170669,4003884
26510,1308570625,90287369,8170709,4003936
27510,1308570625,90287369,8170709,4003936
28537,1308570625,90287369,8170709,4003936
29513,1308570625,90287369,8170709,4003936
30517,1308570625,90287369,8170709,4003936
31507,1308570625,90287369,8170709,4003936
32545,1308570625,90287369,8170709,4003936
33517,1308570625,90287369,8170709,4003936
34508,1308570838,90287701,8170922,4004268
35515,1308570838,90287701,8170922,4004268
36540,1308570838,90287701,8170922,4004268
37511,1308570838,90287701,8170922,4004268
38560,1308570838,90287701,8170922,4004268
39559,1308570838,90287701,8170922,4004268
40558,1308570838,90287701,8170922,4004268
41562,1308570838,90287701,8170922,4004268
42564,1308570838,90287701,8170922,4004268
43615,1308570838,90287701,8170922,4004268
44645,1308571051,90288033,8171135,4004600
45611,1308571051,90288033,8171135,4004600
46611,1308571051,90288033,8171135,4004600
47608,1308571051,90288033,8171135,4004600
48634,1308571051,90288033,8171135,4004600
49617,1308571051,90288033,8171135,4004600
