time,distance
47,5.00000
97,5.00000
146,5.00000
197,5.00000
262,5.00000
296,5.00000
346,5.00000
397,5.00000
446,5.00000
497,5.00000
546,5.00000
596,5.00000
647,5.00000
697,5.00000
746,5.00000
797,5.00000
846,5.00000
896,5.00000
946,5.00000
999,5.00000
1046,5.00000
1097,5.00000
1146,5.00000
1197,5.00000
1262,5.00000
1296,5.00000
1346,5.00000
1396,5.00000
1446,5.00000
1496,5.00000
1546,5.00000
1597,5.00000
1646,5.00000
1696,5.00000
1746,5.00000
1797,5.00000
1846,5.00000
1896,5.00000
1947,5.00000
1997,5.00000
2046,5.00000
2096,5.00000
2146,5.00000
2196,5.00000
2259,5.00000
2296,5.00000
2347,5.00000
2396,5.00000
2447,5.00000
2496,5.00000
2546,5.00000
2596,5.00000
2647,5.00000
2696,5.00000
2749,5.00000
2800,5.00000
2846,5.00000
2896,5.00000
2947,5.00000
2999,5.00000
3046,5.00000
3096,5.00000
3147,5.00000
3196,5.00000
3260,5.00000
3297,5.00000
3346,5.00000
3396,5.00000
3447,5.00000
3497,5.00000
3548,5.00000
3598,5.00000
3646,5.00000
3697,5.00000
3747,5.00000
3799,5.00000
3847,5.00000
3896,5.00000
3949,5.00000
3997,5.00000
4046,5.00000
4097,5.00000
4146,5.00000
4197,5.00000
4261,5.00000
4298,5.00000
4348,5.00000
4397,5.00000
4447,5.00000
4496,5.00000
4547,5.00000
4596,5.00000
4646,5.00000
4698,5.00000
4747,5.00000
4796,5.00000
4847,5.00000
4896,5.00000
4947,5.00000
4997,5.00000
5047,5.00000
5098,5.00000
5147,5.00000
5197,5.00000
5263,5.00000
5296,5.00000
5347,5.00000
5396,5.00000
5447,5.00000
5496,5.00000
5546,5.00000
5597,5.00000
5647,5.00000
5697,5.00000
5748,5.00000
5801,5.00000
5847,5.00000
5896,5.00000
5951,5.00000
5997,5.00000
6047,5.00000
6097,5.00000
6147,5.00000
6197,5.00000
6260,5.00000
6299,5.00000
6346,5.00000
6396,5.00000
6446,5.00000
6496,5.00000
6546,5.00000
6596,5.00000
6646,5.00000
6696,5.00000
6746,5.00000
6796,5.00000
6847,5.00000
6896,5.00000
6947,5.00000
6997,5.00000
7046,5.00000
7097,5.00000
7146,5.00000
7197,5.00000
7259,5.00000
7296,5.00000
7347,5.00000
7397,5.00000
7447,5.00000
7497,5.00000
7546,5.00000
7596,5.00000
7646,5.00000
7696,5.00000
7746,5.00000
7797,5.00000
7847,5.00000
7899,5.00000
7947,5.00000
8001,5.00000
8047,5.00000
8098,5.00000
8147,5.00000
8197,5.00000
8316,5.00000
8321,5.00000
8347,5.00000
8396,5.00000
8446,5.00000
8497,5.00000
8546,5.00000
8597,5.00000
8647,5.00000
8697,5.00000
8746,5.00000
8799,5.00000
8847,5.00000
8897,5.00000
8948,5.00000
8998,5.00000
9046,5.00000
9097,5.00000
9146,5.00000
9198,5.00000
