time,dB(SPL)
46,61.60531
96,56.25827
146,55.49034
196,45.10545
262,57.17074
296,57.06179
346,52.58819
396,52.17052
446,53.73273
496,50.15712
546,51.24586
596,56.77698
646,59.77118
696,56.28495
746,60.80413
796,60.02602
845,67.86448
895,63.19134
946,58.32908
998,57.47803
1046,59.60007
1096,60.77240
1146,62.29889
1196,60.39063
1262,61.09992
1296,63.73348
1345,59.85107
1395,61.33397
1446,61.63415
1495,65.17275
1546,64.80100
1596,63.13098
1646,60.68455
1696,61.09226
1746,61.82630
1796,59.17128
1845,56.40403
1896,63.20337
1946,63.00284
1996,61.91733
2046,62.44432
2096,65.23477
2145,61.22905
2195,63.87362
2259,66.52262
2296,60.89863
2346,64.04977
2395,66.17982
2446,66.12421
2495,65.04249
2546,60.65238
2596,63.49863
2646,66.43197
2696,65.41358
2748,63.26919
2799,67.91701
2845,62.99054
2896,61.45235
2946,65.78732
2998,64.41262
3045,62.47703
3096,63.86806
3146,63.68815
3195,63.67109
3259,66.77709
3296,68.70733
3346,67.71213
3395,65.68410
3446,64.30746
3496,68.29278
3547,70.86397
3598,70.18943
3646,70.54228
3697,69.16066
3746,69.99374
3798,68.38920
3846,70.76393
3896,71.57049
3949,71.07523
3996,68.57889
4045,66.97777
4097,68.47474
4146,64.12572
4196,66.00756
4261,62.04867
4297,60.38233
4347,60.29041
4397,63.91246
4446,62.34543
4495,65.64338
4547,65.51544
4595,68.54323
4646,68.68499
4698,67.18532
4746,65.64338
4795,63.64258
4846,63.94561
4895,63.29300
4946,65.80515
4996,63.25129
5046,62.15776
5095,62.73441
5146,66.78505
5196,66.40293
5262,64.73578
5296,65.63430
5346,67.58611
5396,65.01815
5447,66.40708
5495,68.18852
5546,67.42505
5596,64.08783
5646,67.07448
5697,65.97270
5747,67.13963
5800,68.91520
5846,68.20880
5896,69.51342
5950,69.43170
5996,67.62591
6046,66.78903
6096,64.02794
6146,67.67272
6196,63.89029
6259,62.67716
6299,63.43453
6346,71.80346
6396,73.68434
6445,72.91041
6495,62.12382
6546,62.72807
6596,60.91428
6646,63.00899
6696,62.39172
6745,68.73597
6795,66.41953
6847,66.66491
6896,79.73723
6946,84.97809
6996,86.48935
7046,68.42879
7096,67.60060
7145,68.74867
7196,67.26095
7259,66.65281
7296,68.44851
7347,70.57576
7396,70.91356
7446,70.55260
7496,77.36701
7546,78.39516
7596,78.72726
7646,70.70082
7695,72.06938
7745,71.22680
7796,72.93004
7847,71.27674
7896,70.13010
7946,71.94952
8000,71.83464
8046,66.89570
8097,74.61242
8146,74.62533
8196,73.92538
8304,69.30468
8318,70.74883
8346,67.91002
8396,67.10136
8446,68.14102
8497,71.03388
8546,69.67175
8596,70.85651
8647,69.24197
8696,68.31949
8745,70.28032
8799,74.04344
8846,74.74544
8896,73.28908
8948,75.29547
8998,75.19487
9045,76.25960
9096,73.88508
9146,73.46963
9197,72.35677
9261,68.93385
9297,73.03719
9346,74.63500
9396,70.84655
9453,70.17329
9500,75.77891
9550,72.44013
9595,69.21495
9645,70.04854
9696,66.21811
9746,72.30005
9795,72.24720
9846,76.49683
9896,72.55346
9946,72.74779
9996,72.68955
10046,70.88384
10097,73.21352
10146,73.14303
10196,71.89889
10260,68.69776
10297,68.31615
10346,69.76255
10397,73.13729
10446,68.72007
10497,66.70113
10546,67.66913
10596,67.40656
10646,66.73320
10696,63.69950
10746,69.09994
10800,67.96922
10846,71.79899
10895,70.70082
10946,67.28727
10996,71.88564
11046,69.94412
11096,65.26325
11146,71.72499
11198,69.61451
11260,67.54977
11296,70.33599
11346,70.04854
11396,65.28691
11446,71.57278
11496,70.58090
11545,68.16819
11596,67.50961
11646,71.87458
11695,75.82117
11746,68.44851
11798,66.80492
11847,65.74259
11897,69.18785
11946,71.54294
12000,71.42019
12046,72.69559
12097,72.98085
12146,73.65553
12196,73.67355
12263,71.09463
12301,73.08738
12346,76.38166
12397,75.27754
12446,71.74524
12495,72.31690
12546,73.54666
12596,69.88031
12646,75.86882
12695,71.31223
12746,77.18997
12802,76.58221
12846,71.36873
12897,74.46254
12946,76.24891
12996,75.30741
13046,74.15311
13097,73.63568
13145,72.51036
13196,71.62534
13261,70.50349
13297,71.41319
13346,71.11639
13398,71.94952
13446,72.11687
13496,74.71038
13545,74.59787
13596,71.65490
13645,75.87301
13696,69.92475
13746,71.21487
13796,69.01422
13846,71.32403
13895,69.12428
13946,69.96897
13998,70.40705
14046,71.34053
14095,69.99649
14145,72.02163
14196,71.57049
14258,73.63568
14295,72.48358
14346,73.53204
14396,67.25719
14445,74.91710
14496,72.52475
14546,70.88632
14596,67.89604
14645,71.84354
14695,69.95793
14745,73.35839
14796,66.15420
14846,64.79600
14895,67.36574
14946,68.89962
14996,65.67507
15047,68.52046
15096,68.80243
15146,69.41115
15195,68.53023
15268,70.21894
15296,68.12740
15346,69.96345
15396,70.31483
15446,67.79749
15497,69.77665
15550,73.87454
15596,76.91436
15646,77.19117
15696,70.83158
15751,74.20065
15797,72.06938
15846,73.31725
15896,69.60301
15946,69.87752
15996,71.33817
16046,68.56918
16096,69.63745
16146,70.50608
16196,66.09842
16287,73.50273
16297,81.01842
16346,77.08976
16396,69.24197
16446,68.67860
16496,67.52058
16546,69.65176
16596,69.47849
16646,69.18483
16696,67.08985
16748,69.63172
16796,70.37817
16846,73.43086
16900,72.34839
16946,70.76393
16996,70.51903
17046,69.89422
17096,71.65263
17146,70.89872
17196,69.89700
17261,70.70335
17295,64.46992
17346,82.39765
17397,77.06666
17446,74.80883
17496,65.75603
17547,65.86725
17598,63.21537
17646,66.21811
17697,68.79928
17746,68.37265
17796,59.80678
17846,53.66094
17897,67.14726
17946,64.80100
17996,60.89080
18046,62.68992
18095,57.11038
18148,70.72612
18196,58.57815
18246,65.74708
18309,64.08783
18346,59.83338
18396,56.58608
18446,58.89952
18496,56.19119
18548,64.91025
18596,65.72913
18646,64.06066
18697,65.94207
18746,65.38091
18796,61.12285
18846,60.17200
18896,56.92674
18946,59.77118
18997,59.77118
19052,62.31886
19096,62.86030
19146,57.68458
19195,58.94867
19253,63.28706
19308,63.00284
19349,65.56135
19396,66.60828
19446,62.10339
19496,65.49239
19545,64.25440
19595,65.37624
19646,66.93097
19696,68.39581
19746,66.32780
19796,67.81164
19845,66.44852
19896,64.78098
19946,64.53715
19996,64.36546
20046,63.99510
20097,63.89584
20147,62.75341
20196,65.61612
20246,59.72648
20296,59.89514
20361,60.41551
20400,60.35735
20446,57.74109
20496,53.17930
20546,56.77698
20596,53.64290
20646,60.68455
20696,59.44406
20747,66.26046
20796,63.48701
20847,64.14730
20896,56.25827
20945,62.82900
20997,59.80678
21045,52.82948
21096,52.23447
21145,55.37276
21197,53.27402
21246,54.87020
