time,level,voltage(mV),temperature(C),current(avg),current(instantaneous),charging
363,80,3956,29.2,-9223372036854775808,1041876,0
1365,80,3956,29.2,-9223372036854775808,773755,0
2368,80,3956,29.2,-9223372036854775808,1102762,0
3365,80,3956,29.2,-9223372036854775808,854936,0
4364,80,3956,29.2,-9223372036854775808,707931,0
5416,80,3956,29.2,-9223372036854775808,724935,0
6418,80,3956,29.2,-9223372036854775808,838481,0
7412,80,3956,29.2,-9223372036854775808,954440,0
8446,80,3956,29.2,-9223372036854775808,1079943,0
9415,80,3956,29.2,-9223372036854775808,678749,0
10416,80,3956,29.2,-9223372036854775808,865688,0
11415,80,3956,29.2,-9223372036854775808,778911,0
12413,80,3956,29.2,-9223372036854775808,730640,0
13469,80,3956,29.2,-9223372036854775808,793392,0
14514,80,3956,29.2,-9223372036854775808,828936,0
15514,80,3956,29.2,-9223372036854775808,856802,0
16548,80,3956,29.2,-9223372036854775808,796573,0
17566,80,3956,29.2,-9223372036854775808,709796,0
18563,80,3956,29.2,-9223372036854775808,880279,0
19564,80,3956,29.2,-9223372036854775808,563997,0
20601,80,3956,29.2,-9223372036854775808,659660,0
21565,80,3956,29.2,-9223372036854775808,699045,0
22575,80,3956,29.2,-9223372036854775808,736344,0
23569,80,3956,29.2,-9223372036854775808,657137,0
24566,80,3956,29.2,-9223372036854775808,614132,0
25564,80,3956,29.2,-9223372036854775808,705298,0
26562,80,3956,29.2,-9223372036854775808,952466,0
27565,80,3956,29.2,-9223372036854775808,630589,0
28648,80,3956,29.2,-9223372036854775808,711002,0
29615,80,3956,29.2,-9223372036854775808,613474,0
30617,80,3956,29.2,-9223372036854775808,1058332,0
31612,80,3956,29.2,-9223372036854775808,1027943,0
32614,80,3956,29.2,-9223372036854775808,650884,0
33615,80,3956,29.2,-9223372036854775808,660977,0
34664,80,3956,29.2,-9223372036854775808,831460,0
35666,80,3956,29.2,-9223372036854775808,797890,0
36679,79,3945,29.2,-9223372036854775808,795367,0
37665,79,3945,29.2,-9223372036854775808,759164,0
38664,79,3945,29.2,-9223372036854775808,1021580,0
39664,79,3945,29.2,-9223372036854775808,656589,0
40749,79,3945,29.2,-9223372036854775808,686977,0
41714,79,3945,29.2,-9223372036854775808,678749,0
42714,79,3945,29.2,-9223372036854775808,962010,0
43714,79,3945,29.2,-9223372036854775808,720547,0
44744,79,3945,29.2,-9223372036854775808,824548,0
45767,79,3945,29.2,-9223372036854775808,597019,0
46763,79,3945,29.2,-9223372036854775808,724386,0
47764,79,3945,29.2,-9223372036854775808,672386,0
48767,79,3945,29.2,-9223372036854775808,910009,0
49824,79,3945,29.2,-9223372036854775808,730091,0
50818,79,3945,29.2,-9223372036854775808,654614,0
51813,79,3945,29.2,-9223372036854775808,738978,0
52815,79,3945,29.2,-9223372036854775808,787687,0
53815,79,3945,29.2,-9223372036854775808,669205,0
54814,79,3945,29.2,-9223372036854775808,685112,0
55813,79,3945,29.2,-9223372036854775808,839688,0
