time,x,y,z
45,0.31084,-0.25883,-0.11815
83,0.17696,-0.44992,0.33241
133,-0.19106,0.42041,-0.18738
184,0.11685,0.21060,0.16193
233,0.12051,0.24373,-0.09262
283,0.06737,-0.10861,0.01663
333,0.24460,-0.12006,-0.09796
383,-0.02171,0.21426,-0.02069
434,-0.21950,0.18478,0.03072
483,-0.09232,0.50194,-0.08620
533,-0.32794,0.40462,0.01878
584,-0.18074,0.07690,0.04060
633,-0.03233,-0.13963,0.01129
684,-0.02129,-0.12148,0.09132
733,-0.14977,0.06009,0.02858
783,0.04742,-0.20712,0.06911
833,-0.16272,0.09485,0.03693
883,0.00749,0.00122,0.03395
933,-0.04135,-0.09210,0.01976
984,-0.05472,0.01590,-0.02498
1045,-0.00368,-0.09366,0.04106
1083,0.09447,0.00587,0.01385
1133,0.01566,0.05678,-0.03677
1183,0.06897,-0.13229,-0.01291
1233,-0.00943,0.04042,0.01221
1283,-0.02806,-0.05168,-0.01210
1333,0.06204,-0.09091,-0.03107
1384,-0.00668,0.11244,-0.02837
1433,-0.02473,-0.02132,-0.00395
1484,-0.03438,0.06467,-0.00560
1533,0.02859,-0.08386,0.00037
1583,-0.00609,-0.03960,0.01534
1633,-0.03003,0.06667,0.00055
1684,0.00009,-0.04106,-0.02505
1733,-0.03369,0.03339,-0.01309
1784,0.02310,-0.01752,-0.01900
1833,-0.04172,0.00612,-0.01968
1883,0.00371,-0.03098,-0.00949
1933,-0.00529,-0.03249,-0.02345
1983,0.04291,0.00432,0.00275
2033,-0.00180,-0.01453,-0.01926
2117,-0.04192,0.03549,-0.01212
2134,0.01610,-0.03914,-0.02187
2183,-0.09464,0.08856,0.00537
2233,0.04462,-0.06943,0.00168
2283,-0.04248,0.06009,-0.00650
2333,-0.00584,-0.01965,-0.00369
2383,-0.02841,0.01947,-0.00322
2433,0.00708,-0.03154,0.00127
2484,-0.06075,0.06900,0.01129
2533,0.02382,-0.02199,0.00732
2583,-0.03574,0.00484,-0.01518
2633,0.02361,0.00919,-0.00362
2683,-0.01071,-0.00848,-0.01199
2733,-0.01506,0.01306,0.00421
2784,0.05000,-0.07893,-0.03336
2833,0.04260,-0.05760,-0.02609
2883,-0.04742,-0.01706,-0.00124
2933,0.03909,-0.02345,0.00841
2983,-0.02467,0.01961,-0.00522
3034,-0.02086,0.00078,-0.00616
3097,0.00385,0.02547,-0.01379
3133,0.01933,-0.03600,-0.01645
3184,-0.05565,0.02380,-0.01657
3233,0.00694,0.02704,0.01923
3284,-0.05389,0.07034,0.02373
3333,-0.03247,0.04794,0.02364
3383,0.03224,0.02693,0.03906
3434,0.04257,-0.02072,-0.00113
3484,-0.04210,0.04915,-0.00864
3533,0.01427,0.00441,0.00488
3583,-0.10028,0.12009,-0.02629
3633,0.04631,0.06430,0.03862
3682,-0.09529,0.19661,0.03336
3733,0.01752,0.12512,0.07455
3784,0.01357,0.22792,0.05013
3833,0.37427,-0.17241,0.09378
3883,0.26430,0.13052,0.21155
3932,-0.13097,-0.66519,-0.01830
3983,0.12022,-0.03979,0.08798
4032,-0.13231,0.73123,0.24521
4097,-0.45186,-0.46150,0.01254
