time,x,y,z
45,7.18384,9.58252,-43.92242
83,5.71747,9.41925,-43.44635
133,3.55835,9.21936,-44.24896
183,5.26428,10.15930,-44.13300
233,6.30646,9.07898,-42.92603
283,7.15485,9.44214,-42.64069
333,7.18384,8.91266,-42.61475
383,6.84814,8.24127,-42.28821
434,7.53326,7.02515,-43.69202
483,6.95190,8.78448,-43.57300
533,7.71942,8.35114,-42.72156
583,8.89282,9.22699,-42.64069
633,9.02710,10.08453,-41.47034
684,8.52356,10.25238,-40.98053
733,9.21021,9.41467,-42.52167
783,8.60291,10.22949,-41.92505
833,8.33130,10.96954,-43.47687
882,8.20770,10.20050,-43.44635
933,6.51245,10.58807,-42.28821
984,8.35571,9.41467,-41.79688
1045,8.85925,11.25793,-41.63361
1083,8.16803,11.15265,-42.55219
1133,8.16498,11.39832,-42.86957
1182,7.86591,9.33228,-43.57147
1233,8.85925,10.92224,-43.59589
1283,8.18939,8.91266,-43.92242
1333,10.03265,8.07343,-42.45148
1384,6.26068,10.58807,-41.42914
1433,6.91681,9.75037,-42.89398
1483,7.80640,9.96399,-42.94434
1533,8.32214,9.42535,-43.22510
1583,8.69141,10.42023,-42.45148
1633,7.51801,7.90710,-43.59589
1684,7.05872,10.01129,-42.12494
1733,7.05261,9.85870,-42.34161
1783,7.51801,9.51691,-42.45758
1833,7.84149,9.92737,-42.64679
1883,6.68030,9.07898,-42.45148
1933,7.51801,7.90710,-43.26935
1983,7.84912,9.56879,-42.94586
2033,5.89600,9.10645,-42.57202
2117,7.49664,8.99048,-42.71088
2134,7.18384,8.91266,-42.94128
2183,8.85773,9.86786,-44.10706
2233,7.01599,10.08453,-41.14380
2282,6.34613,10.08453,-42.45148
2332,6.52161,9.24225,-41.97540
2383,7.81097,10.91309,-41.94641
2433,5.45349,10.46295,-41.23688
2484,8.09937,9.59930,-41.78925
2533,8.18939,9.58252,-41.63361
2583,5.17273,10.25238,-42.61475
2633,7.17010,9.82666,-42.67731
2683,7.06177,10.56366,-42.35535
2733,7.58972,9.97620,-42.91840
2783,8.65021,10.37903,-42.77802
2833,6.82373,9.31854,-43.24341
2883,8.35571,9.07898,-44.08569
2933,8.69141,9.41467,-44.41376
2983,6.88171,10.58502,-43.22968
3033,6.35681,9.73663,-43.30292
3096,5.61523,8.97064,-42.48657
3133,7.85370,10.58807,-43.26935
3184,6.89697,10.29968,-43.36243
3233,6.51245,10.92224,-42.61475
3284,7.20062,10.29205,-42.36450
3333,7.37152,9.26666,-42.96112
3383,6.31256,9.53674,-42.65747
3434,7.00989,9.99756,-42.77191
3483,5.50690,8.57697,-41.96167
3533,6.51245,7.57141,-43.26935
3583,7.03888,8.79211,-42.77802
3633,7.24335,10.85663,-44.14368
3682,6.72913,9.30023,-42.65747
3733,6.71692,9.88007,-42.01813
3784,8.62579,10.21271,-41.54663
3833,8.02155,9.07898,-42.12494
3883,9.12476,9.40704,-43.31207
3932,9.80835,8.03223,-43.54095
3983,8.01392,7.59583,-43.57758
