time,x,y,z
5,0.37929,2.40546,9.41003
53,0.74353,2.70009,9.59161
104,0.81238,2.73438,9.42815
153,0.35495,2.30067,9.38959
204,0.92986,2.62299,10.03062
254,0.48486,2.34422,9.43259
305,0.45055,2.33331,9.56032
354,0.58740,2.40247,9.75008
404,0.46753,2.40915,9.53247
466,0.48111,2.33235,9.72539
503,0.50575,2.19518,9.69478
553,0.57298,2.35301,9.55048
604,0.64841,2.39519,9.59341
653,0.51407,2.44038,9.47495
703,0.51054,2.42609,9.59447
754,0.36160,2.22723,9.86807
803,0.54323,2.55226,9.38045
853,0.34764,2.34088,9.86745
904,0.19162,2.27777,9.59424
953,0.19649,2.47473,9.81468
1003,0.24876,2.48543,9.35191
1053,0.21703,2.53198,9.16037
1104,0.17480,2.34262,9.33585
1154,0.22530,2.24554,9.83167
1203,0.04268,2.16104,9.30367
1254,0.14207,2.29089,10.03122
1304,0.02261,2.30069,9.76628
1353,-0.17307,2.07338,9.51427
1404,-0.27347,1.74242,10.15431
1466,-0.02876,1.97815,9.65958
1504,0.05302,1.89230,9.52480
1554,0.04068,1.84790,9.77322
1603,0.21579,2.07076,9.53357
1653,0.10062,2.04002,9.58807
1703,0.26329,2.21405,9.56609
1753,0.02438,1.98955,10.09258
1803,0.12398,2.16354,9.16226
1853,0.26984,1.99269,9.73010
1904,0.22842,1.96323,9.79449
1954,0.15691,2.00354,9.32356
2005,0.16051,2.03043,9.81157
2054,0.21167,1.81441,10.10361
2104,0.16272,1.83958,9.59746
2154,0.13867,1.90579,9.54176
2203,0.14961,1.84300,9.57893
2254,0.12560,1.82378,9.59944
2304,0.02806,1.66176,10.02809
2353,0.25391,1.98502,9.41322
2403,0.14738,1.86443,9.88747
2466,0.24318,1.90068,9.72038
2504,0.23721,1.89818,9.90730
2553,0.13548,1.78587,9.71013
2603,0.13548,1.78983,9.81050
2653,0.28951,1.97556,9.60399
2703,0.27840,2.02121,9.25745
2754,0.25058,2.01242,9.63947
2804,0.09435,1.90030,9.80254
2853,-0.07259,1.82037,9.42786
2904,0.00818,1.78267,10.08971
2954,0.12358,2.05835,9.37323
3004,0.14690,2.13820,9.11632
3054,0.22319,1.98764,9.96567
3104,0.06599,2.04532,9.71674
3154,0.04398,1.97444,9.76033
3203,-0.24962,1.73059,10.38188
3255,0.57413,2.65488,8.74709
3304,0.43063,2.44133,9.98399
3354,0.77408,2.85088,10.30537
3404,-1.01398,1.73706,9.84000
3468,0.82971,2.75209,10.15346
3504,0.74446,3.50996,10.46155
3553,-1.46010,2.48631,8.48892
3604,-1.48483,2.75366,9.91881
3654,-0.45116,3.55687,10.39105
3703,-1.19850,2.20082,11.92314
3754,-1.01385,3.47472,9.05153
3803,-1.68617,3.25137,9.97202
3853,-2.50691,3.08107,8.03342
3903,-2.22162,3.69395,8.15474
3953,-2.51123,3.27138,8.79965
4003,-2.21904,3.68132,10.03169
4053,-2.10349,3.63550,8.16232
4103,-1.63120,3.89896,5.49396
4154,0.16258,3.86285,6.06456
4204,1.08386,4.21153,6.07341
4254,2.51131,3.97075,4.87572
4304,3.21614,1.99060,5.48000
4354,10.54849,4.14296,1.53006
4404,13.85840,3.64427,2.64932
4467,16.69881,5.45908,-4.11916
4504,17.84201,3.64526,-2.97629
4554,12.88914,3.81581,-10.90257
4604,5.45517,0.90710,-5.87276
4654,3.55008,2.19661,-11.01122
4704,2.16785,0.95503,-9.85399
4754,0.33255,1.36298,-5.71364
4805,1.02519,1.98949,-4.96741
4854,1.87616,2.82759,-4.11816
4903,2.55026,2.68402,-0.22601
4954,5.79646,2.60616,-3.97986
5004,9.28651,2.00876,-2.25485
5053,11.89290,2.40176,1.70839
5104,12.87898,2.42422,5.54321
5154,11.54050,1.68466,4.73706
5203,9.06587,0.60683,9.01305
5254,6.06828,0.26961,10.14034
5303,5.05006,-0.28693,11.73322
5354,2.63316,-2.12723,15.41621
5404,1.89354,-1.38127,11.50200
5468,0.80930,-0.54088,7.16859
5504,1.24432,-0.20706,8.16908
5554,0.58754,-0.52895,8.29506
5604,0.88768,0.51239,7.66782
5654,0.50772,0.77161,7.10677
5704,1.06888,1.74457,6.72269
5754,1.01068,2.13055,7.30479
5804,1.03458,2.59520,9.78532
5854,0.73198,3.05090,9.81888
5904,0.83105,3.16855,10.71886
5954,1.12386,3.45146,12.27208
6003,1.23697,0.89856,15.12450
6054,0.88652,-0.38477,13.24533
6104,1.00725,-1.25110,12.78920
6155,1.76581,-0.46336,9.03401
6205,1.26656,0.40848,7.10565
6256,-0.72696,1.02147,5.30258
6305,-0.13707,2.43039,4.49754
6354,-0.54964,1.75528,7.41513
6404,-0.53505,1.96771,8.42737
6469,-0.02658,2.58971,8.24997
6511,0.09428,2.59789,8.85609
6554,0.65562,3.31808,9.66449
6608,1.42030,2.98553,13.04987
6653,0.53387,3.02106,13.99120
6704,0.45297,1.40689,15.27225
6754,-1.51006,-0.77077,15.13863
6804,-1.20532,0.18384,9.96239
6854,-1.52415,0.64632,7.07289
6904,-1.65271,0.68771,6.15425
6954,-0.53763,1.06720,5.33388
7004,-0.85471,0.73245,6.90634
7054,-0.00467,1.27791,6.57262
7104,0.50974,1.84306,7.22482
7154,1.03445,2.63380,5.12383
7206,5.03046,3.17691,7.73346
7254,11.00058,4.06548,5.32341
7304,16.48668,2.35873,9.05002
7354,13.75499,-1.14815,1.77306
7403,19.43732,3.62061,-1.73492
7466,13.65572,0.47026,-5.26120
7503,6.18198,-0.16360,-3.91254
7554,1.43359,0.37057,-8.02623
7603,2.13661,1.50230,-5.57367
7654,1.26903,2.92348,-5.07994
7705,0.22701,2.76215,-6.94553
7753,0.88766,3.39059,-6.92694
7804,0.41783,3.39664,-7.34801
7854,0.80209,3.72255,-6.31526
7904,1.00262,3.97534,-8.83360
7954,3.33328,3.81033,-3.06377
8004,6.74063,3.44569,-10.20049
8054,13.65871,0.43874,-10.80342
8104,14.97279,0.10855,-3.06493
8154,15.18939,-0.09950,1.46309
8204,12.67671,-0.95615,3.44034
8255,8.27817,-0.00600,4.49371
8304,4.99966,0.02283,7.01138
8354,3.74876,0.42212,6.06419
8403,3.11298,1.12386,5.64415
8464,2.41478,1.68033,5.62856
8504,1.64722,1.40443,7.81239
8554,1.49773,1.86601,9.03870
8605,1.10358,2.30214,9.42252
8654,1.36946,2.00934,11.03395
8704,1.61844,1.62544,10.05106
8754,2.08611,-0.54126,16.96835
8804,1.54765,-1.06702,13.01324
8854,2.25958,-0.59019,9.90950
8903,3.07578,-0.15678,8.04898
8954,0.88239,-0.41951,8.59801
9004,-0.24213,0.67989,4.92789
9053,0.54495,1.79483,6.32693
9104,0.64038,1.85437,6.98528
9154,0.85564,2.23216,8.84743
9203,1.32008,2.54794,7.97713
9253,1.11821,3.05620,9.64653
9303,1.79361,3.05083,10.94113
9354,1.59923,2.03033,13.72852
9404,0.80598,0.20512,15.27335
9466,0.23170,-0.68382,15.50722
9504,0.30032,-0.05287,12.87932
9554,-0.14722,0.96710,7.90134
9604,-0.30005,0.84901,8.16411
9653,-0.98994,0.29707,7.85834
9703,-0.09319,1.25513,4.89789
9753,-0.07504,1.28197,5.32152
9803,0.93829,1.28049,3.25479
9854,4.75371,1.96274,6.48192
9904,7.30847,1.57869,6.07202
9954,13.47824,2.88521,1.50945
10004,19.43732,2.82582,5.24072
10053,17.54115,2.06133,-5.10939
10104,10.12090,2.57249,-13.82481
10154,2.39920,1.78587,-3.41336
10203,4.24187,1.87309,-11.07497
10255,1.79790,1.02895,-7.79584
10305,1.05025,1.73421,-8.46205
10354,0.82776,2.15034,-4.81096
10404,0.56064,2.66115,-5.11575
10468,1.90744,3.21153,-6.98592
10505,1.84344,3.22456,-4.67398
10553,2.68791,3.75677,-8.10713
10603,6.40501,4.10478,-1.81010
10653,9.46570,2.88467,-8.27762
10703,14.79169,2.19360,-0.54604
10753,19.43732,2.10841,1.91106
10804,16.22580,0.08057,7.56955
10853,5.68312,-1.74469,10.02083
10904,4.33643,-0.21124,6.70312
10954,1.45148,-0.61011,7.02927
11004,0.87935,0.10254,6.98145
11054,1.89458,1.61238,6.38623
