time,lx
5,1550.93140
54,1550.93140
104,1559.04712
154,1559.04712
204,1579.49426
254,1579.49426
306,1595.00378
354,1595.00378
404,1597.63831
466,1597.63831
504,1591.52344
554,1591.52344
604,1581.40723
654,1581.40723
704,1574.58484
755,1574.58484
804,1565.42578
854,1565.42578
904,1550.92310
954,1550.92310
1003,1518.67944
1053,1518.67944
1104,1493.62061
1154,1493.62061
1204,1474.85571
1254,1474.85571
1304,1463.51697
1354,1463.51697
1404,1463.06665
1466,1463.06665
1505,1477.14832
1554,1477.14832
1604,1488.48865
1654,1488.48865
1704,1501.34387
1754,1501.34387
1804,1511.53101
1854,1511.53101
1904,1514.00000
1955,1514.00000
2006,1516.06592
2055,1516.06592
2106,1524.61755
2155,1524.61755
2204,1518.34705
2254,1518.34705
2304,1519.53052
2354,1519.53052
2404,1527.53503
2493,1527.53503
2506,1534.13904
2554,1534.13904
2604,1537.38159
2653,1537.38159
2703,1529.00781
2754,1529.00781
2804,1513.99097
2854,1513.99097
2904,1505.54834
2954,1505.54834
3004,1504.00000
3055,1504.00000
3105,1498.50452
3155,1498.50452
3205,1487.02576
3255,1487.02576
3304,1456.90747
3355,1456.90747
3405,1439.47778
3468,1439.47778
3505,1339.32666
3554,1339.32666
3604,1163.37988
3655,1163.37988
3704,1036.82666
3755,1036.82666
3804,981.40332
3854,981.40332
3904,890.17487
3954,890.17487
4003,890.17487
4053,863.75952
4103,863.75952
4154,863.75952
4205,1113.80396
4254,1113.80396
4305,1858.92310
4355,1858.92310
4405,1558.85583
4468,1558.85583
4505,1558.85583
4555,379.59033
4604,379.59033
4654,104.02057
4704,104.02057
4755,107.73157
4806,107.73157
4855,109.68344
4904,109.68344
4955,110.69057
5005,110.69057
5054,110.31372
5105,110.31372
5155,635.10345
5204,635.10345
5254,635.10345
5304,2163.78125
5354,2163.78125
5404,2408.91235
5468,2408.91235
5505,2183.32593
5555,2183.32593
5604,2065.87500
5654,2065.87500
5704,2010.68774
5754,2010.68774
5805,1947.17188
5854,1947.17188
5904,1854.57764
5954,1854.57764
6004,1823.00000
6054,1823.00000
6104,1885.01917
6156,1885.01917
6205,1857.61426
6256,1857.61426
6306,1710.26917
6354,1710.26917
6405,1623.89087
6470,1623.89087
6512,1623.89087
6554,1588.09863
6608,1563.54102
6653,1563.54102
6704,1549.38208
6754,1549.38208
6804,1549.38208
6854,1546.00000
6904,1436.05432
6954,1436.05432
7005,1436.05432
7055,1420.21826
7104,1420.21826
7154,1445.99194
7206,1445.99194
7255,1560.73950
7304,1560.73950
7355,2027.83813
7404,2027.83813
7466,2027.83813
7504,611.55469
7554,611.55469
7604,95.24057
7655,95.24057
7705,85.92249
7754,85.92249
7805,85.92249
7854,80.37787
7905,80.37787
7955,79.00000
8004,79.00000
8054,83.10843
8105,83.10843
8155,106.35034
8205,106.35034
8255,306.27521
8305,306.27521
8354,306.27521
8404,306.27521
8465,2059.58789
8504,2059.58789
8554,2326.60449
8605,2326.60449
8655,2185.76904
8704,2185.76904
8754,2064.51514
8804,2064.51514
8854,2173.88867
8904,2173.88867
8955,2183.54736
9006,2183.54736
9054,2084.10278
9104,2084.10278
9154,1946.47778
9204,1946.47778
9254,1894.50146
9304,1894.50146
9355,1867.82959
9404,1867.82959
9467,1855.61401
9504,1855.61401
9555,1839.84546
9605,1839.84546
9654,1750.75354
9703,1750.75354
9753,1714.00000
9803,1714.00000
9854,1720.88550
9904,1720.88550
9955,2231.23462
10004,2231.23462
10054,2231.23462
10105,676.41577
10154,676.41577
10204,676.41577
10256,96.56744
10305,96.56744
10355,83.32254
10405,83.32254
10469,83.69032
10506,83.69032
10554,83.69032
10604,84.69170
10654,95.39398
10704,95.39398
10754,152.70111
10804,152.70111
10854,152.70111
10904,152.70111
10955,33.66870
11005,33.66870
11054,1333.77563
11105,1333.77563
11155,1917.10034
11205,1917.10034
11254,1831.67651
11305,1831.67651
11355,1803.97266
11405,1803.97266
11464,1905.73035
11504,1905.73035
11554,2013.06628
11605,2013.06628
11655,1972.84692
11704,1972.84692
11754,1851.94861
11804,1851.94861
11855,1801.05078
11904,1801.05078
11955,1810.41479
12005,1810.41479
12054,1841.20618
12104,1841.20618
12154,1935.24951
12205,1935.24951
12254,1924.44946
12304,1924.44946
12354,1843.12927
12404,1843.12927
12465,1813.55872
12504,1813.55872
12554,2169.59521
12604,2169.59521
12654,2001.24866
12704,2001.24866
12754,2001.24866
12805,512.92480
12855,512.92480
12905,88.28049
12955,88.28049
13004,84.31650
13055,84.31650
13105,84.00000
13154,84.00000
13207,83.30995
13254,83.30995
13304,87.12271
13355,87.12271
13404,116.56897
13465,116.56897
13504,116.56897
13554,116.56897
13605,1489.16174
13654,2323.62988
13704,2323.62988
13754,2509.88330
13804,2509.88330
13854,2281.13965
13904,2281.13965
13954,2031.89734
14004,2031.89734
14054,2031.89734
14104,1998.60767
14154,1998.60767
14205,2288.40112
14255,2288.40112
14304,2384.59692
14354,2384.59692
14405,2208.11499
14498,2208.11499
14507,1957.41125
14554,1957.41125
14604,1856.88965
14654,1856.88965
14704,1824.86377
14754,1824.86377
14804,1938.14307
14854,1938.14307
14904,2039.08691
14954,2039.08691
