time,x,y,z
49,0.08214,0.51457,10.02342
96,0.00372,0.54630,9.86691
161,-0.09203,0.40796,9.82954
198,-0.07545,0.36351,9.81734
247,-0.09401,0.59970,9.66933
297,-0.16776,0.46432,9.82927
346,-0.17259,0.35216,9.82935
397,-0.15247,0.48250,9.84967
447,-0.20160,0.42795,9.74861
497,-0.11874,0.47075,9.79851
547,0.40714,0.41405,10.06268
596,-0.45990,0.39812,9.72804
646,0.41028,0.32300,10.25140
696,-0.47826,0.39551,9.64220
746,-0.00908,0.40962,9.87115
796,-0.05713,0.26753,9.83267
846,-0.18292,0.60716,9.73181
897,-0.14133,0.39191,9.77394
947,-0.16316,0.53993,9.92082
997,-0.21109,0.49135,9.92204
1046,-0.65749,0.33154,9.58011
1097,0.00494,0.62834,9.97281
1159,-0.07870,0.36258,9.90041
1197,-0.24556,0.45644,9.63470
1247,0.08461,0.63864,9.91266
1296,-0.43797,0.45674,9.63368
1347,0.18120,0.71222,10.07370
1397,-0.14517,0.46045,9.93430
1446,0.00284,0.48622,9.85873
1497,-0.03093,0.53635,9.84653
1546,0.02144,0.44464,9.95781
1597,-0.09703,0.46011,9.88704
1648,-0.09232,0.44127,9.85239
1696,-0.17747,0.49902,9.79774
1746,0.01782,0.53622,9.84653
1796,0.03647,0.47910,9.82217
1847,-0.34521,0.67276,9.73828
1897,-0.01169,0.43727,9.96773
1947,-0.17477,0.38542,9.81209
1996,-0.04414,0.46669,9.91362
2047,0.31586,0.62941,9.98969
2097,-0.33261,0.39325,9.74463
2147,0.24974,0.63522,10.11079
2208,-0.25694,0.33281,9.66429
2247,-0.24997,0.53635,9.77101
2296,0.06000,0.48187,10.02448
2347,0.05000,0.33340,9.96646
2398,-0.05414,0.43472,9.85448
2447,-0.16463,0.40855,9.89946
2496,0.00905,0.67329,9.85413
2547,-0.14064,0.26524,9.88509
2596,-0.21684,0.59015,9.76393
2646,-0.08849,0.53813,9.83418
2697,-0.28929,0.12746,9.86279
2747,-0.01714,0.53893,9.86742
2796,-0.01123,0.65396,9.87962
2847,0.04414,0.49135,9.85245
2897,0.10912,0.37616,9.86340
2947,-0.22160,0.42926,9.70959
2997,-0.04880,0.44728,9.85777
3047,-0.06607,0.43591,9.82332
3097,0.06487,0.55840,9.92397
3147,-0.08391,0.56792,9.81606
3209,-0.15514,0.32085,9.88028
3248,0.03506,0.41354,9.90347
3297,-0.23709,0.47801,9.78586
3348,0.23209,0.43570,9.92516
3397,-0.27693,0.62531,9.70325
3446,-0.05966,0.31496,9.88991
3497,-0.07399,0.27354,9.98071
3547,0.14801,0.63322,9.98537
3597,-0.11548,0.53008,9.76923
3647,-0.12999,0.41986,9.73639
3697,0.06812,0.47446,10.03505
3747,-0.11604,0.49121,9.80522
3797,-0.07819,0.50851,9.81482
3849,-0.05833,0.45151,9.83519
3897,-0.09088,0.50722,9.90277
3947,0.07878,0.41782,9.97540
3997,-0.07661,0.53781,9.90962
4047,-0.11162,0.42810,9.81291
4097,-0.03807,0.53185,9.95413
4146,-0.18192,0.41927,9.88007
4209,0.01929,0.59561,9.85919
4247,-0.12863,0.57828,9.77621
4297,-0.07204,0.26804,9.94493
4347,-0.03520,0.50038,9.83687
4397,-0.01227,0.67442,9.83679
4447,0.05414,0.44971,9.95856
4497,-0.04901,0.55627,9.76462
4546,-0.13573,0.40656,10.01471
4597,-0.12163,0.60582,9.82497
4647,-0.07945,0.45616,9.84764
4696,0.03586,0.54526,9.81677
4746,0.04160,0.49063,9.97163
4796,-0.04984,0.53458,9.93552
4847,-0.04254,0.52179,9.88560
4897,-0.05014,0.54237,9.91005
4947,-0.06999,0.49861,9.87836
4996,0.07724,0.48691,9.86754
5047,-0.16797,0.71162,9.67570
5097,-0.02673,0.36975,9.95052
5147,0.12143,0.44231,10.00606
5209,-0.08633,0.62663,9.70789
5248,-0.13799,0.78232,9.67902
5297,-0.09715,0.43402,9.83070
5347,0.08321,0.60989,9.99693
5397,0.01627,0.47198,9.98203
5446,-0.19989,0.66895,9.76105
5497,0.04250,0.62175,9.73669
5547,-0.11882,0.50960,9.74782
5597,0.04073,0.56624,9.92621
5647,0.02974,0.68631,9.86409
5697,-0.00949,0.51129,9.91220
5747,-0.03709,0.69666,9.77800
5797,-0.21213,0.51297,9.66010
5846,0.05324,0.69623,9.81613
5896,-0.06862,0.49957,9.95679
5946,-0.13947,0.28203,9.94090
5996,0.10132,0.66106,10.00777
6047,-0.05548,0.55995,9.83778
6097,0.02870,0.52499,9.93571
6146,-0.04086,0.59290,9.83325
6197,0.11711,0.41924,9.98273
6262,-0.08493,0.50496,9.82210
6297,0.03154,0.51131,9.86922
6347,0.20306,0.60759,9.98143
6397,-0.09163,0.47992,9.71323
6447,0.09880,0.50706,10.02081
6496,0.06166,0.47667,10.04732
6547,-0.16716,0.46173,9.80127
6596,-0.01511,0.41844,9.92824
6647,0.07243,0.55606,9.77338
6697,-0.12259,0.57388,9.80460
6747,-0.20995,0.19102,9.71794
6797,0.21635,0.48737,9.98450
6848,0.26653,0.54280,9.95860
6896,-0.10071,0.56050,9.66663
6947,0.02910,0.41046,9.90570
6998,-0.05272,0.43976,9.89929
7047,0.03058,0.46582,9.87468
7097,0.00076,0.58028,9.90292
7146,0.06433,0.45166,9.85057
7197,-0.01924,0.41283,9.74855
7246,-0.03488,0.39641,9.85689
7309,-0.13551,0.47044,9.79459
7347,0.00749,0.51218,9.88113
