time,lx
50,11.68352
97,11.68352
162,11.31186
199,11.31186
247,11.00000
298,11.00000
347,11.00000
397,11.00000
447,11.00000
497,11.00000
548,11.00000
597,11.00000
647,11.00000
697,11.00000
747,11.69373
797,11.69373
847,12.00000
897,12.00000
948,12.00000
997,12.00000
1047,12.00000
1097,12.00000
1159,12.00000
1198,12.00000
1247,12.00000
1297,12.00000
1347,12.00000
1398,12.00000
1447,12.00000
1497,12.00000
1547,12.00000
1598,12.00000
1648,12.00000
1697,12.00000
1747,12.00000
1797,12.00000
1847,12.00000
1897,12.00000
1947,12.00000
1997,12.00000
2049,12.00000
2098,12.00000
2147,12.00000
2209,12.00000
2247,12.00000
2297,12.00000
2347,12.00000
2398,12.00000
2448,12.00000
2497,12.00000
2547,12.00000
2597,12.00000
2647,12.00000
2697,12.00000
2747,12.00000
2797,12.00000
2847,11.30698
2897,11.30698
2947,11.00000
2998,11.00000
3047,11.69055
3097,11.69055
3147,11.30711
3209,11.30711
3249,11.69138
3298,11.69138
3348,11.30826
3397,11.30826
3447,11.00000
3497,11.00000
3548,11.00000
3597,11.00000
3647,11.69321
3698,11.69321
3747,11.69321
3799,11.31343
3849,11.31343
3897,11.68906
3947,11.68906
3997,11.30724
4047,11.30724
4098,11.00000
4147,11.00000
4235,11.00000
4247,11.00000
4297,11.00000
4347,11.00000
4397,11.00000
4447,11.00000
4497,11.00000
4547,11.00000
4597,11.00000
4648,11.00000
4697,11.00000
4747,11.00000
4797,11.00000
4847,11.00000
4897,11.00000
4947,11.00000
4997,11.00000
5047,11.00000
5098,11.00000
5147,11.00000
5210,11.00000
5248,11.00000
5298,11.00000
5348,11.00000
5398,11.00000
5447,11.00000
5497,11.00000
5547,11.00000
5597,11.00000
5647,11.00000
5697,11.00000
5747,11.00000
5797,11.00000
5847,11.00000
5897,11.00000
5947,11.00000
5997,11.00000
6047,11.00000
6097,11.00000
6147,11.00000
6198,11.00000
6263,11.00000
6297,11.00000
6348,11.00000
6397,11.00000
6448,11.00000
6497,11.00000
6547,11.00000
6597,11.00000
6647,11.00000
6698,11.00000
6748,11.00000
6797,11.00000
6848,11.00000
6897,11.00000
6947,11.00000
7000,11.00000
7048,11.00000
7099,11.00000
7147,11.00000
7197,11.00000
7247,11.00000
7310,11.00000
7348,11.00000
7397,11.00000
7448,11.00000
7498,11.00000
7547,11.00000
7598,11.00000
7647,11.00000
7697,11.00000
7748,11.00000
7797,11.00000
7847,11.00000
7898,11.00000
7948,11.00000
7998,11.00000
8048,11.00000
8097,11.00000
8148,11.00000
8197,11.00000
8247,11.00000
8351,11.00000
8356,11.00000
8399,11.00000
8448,11.00000
8498,11.00000
8548,11.00000
8597,11.00000
8648,11.00000
8697,11.00000
8748,11.00000
8798,11.00000
8847,11.00000
8898,11.00000
8948,11.00000
8998,11.00000
9048,11.00000
9098,11.00000
9148,11.00000
9198,11.00000
9247,11.00000
9313,11.00000
9411,11.00000
9449,11.00000
9497,11.00000
9548,11.00000
9597,11.00000
9648,11.00000
9697,11.00000
9748,11.00000
9798,11.00000
9847,11.00000
9898,11.00000
9947,11.00000
9998,11.00000
10049,11.00000
10099,11.00000
10148,11.00000
10197,11.00000
10248,11.00000
10297,11.00000
10361,11.00000
10399,11.00000
10448,11.00000
10497,11.00000
10547,11.00000
10598,11.00000
10649,11.00000
10698,10.30768
10747,10.30768
10798,10.30768
10848,11.36990
10898,11.36990
10948,12.00000
10998,12.00000
11049,12.00000
11097,12.00000
11148,12.00000
11198,12.00000
11248,11.31017
11297,11.31017
11361,8.93956
11397,8.93956
11449,5.92816
11497,5.92816
11548,4.30688
11597,4.30688
11647,4.00000
11698,4.00000
11749,4.69023
11797,4.69023
11847,7.05641
11898,7.05641
11947,9.37946
11998,9.37946
12048,12.07843
12098,12.07843
12148,13.68340
12197,13.68340
12248,12.62433
12297,12.62433
12397,9.23279
12404,9.23279
12447,6.61929
12497,6.61929
12547,4.61560
12598,4.61560
12648,4.00000
12697,4.00000
12749,4.69066
12797,4.69066
12848,7.07751
12898,7.07751
12947,10.06410
12997,10.06410
13047,11.69044
13098,11.69044
13148,11.31361
13198,11.31361
13247,9.62775
13298,9.62775
13348,6.92880
13410,6.92880
13449,5.31421
13498,5.31421
13547,4.31093
13598,4.31093
13648,4.00000
13698,4.00000
13748,4.00000
13797,4.00000
13848,4.69141
13897,4.69141
13948,7.05206
13997,7.05206
14047,9.37457
14097,9.37457
14147,10.69185
14197,10.69185
14247,11.00000
14298,11.00000
14347,11.68912
14420,11.68912
14450,11.68912
14497,11.31424
14550,10.31354
14597,10.31354
14647,10.00000
14697,10.00000
14748,10.00000
14797,10.00000
14847,9.31029
14898,9.31029
14947,9.00000
14998,9.00000
15047,12.44261
15098,12.44261
15147,20.90750
15198,20.90750
15249,25.36029
15298,25.36029
15347,19.84038
15398,19.84038
15462,11.46887
15497,11.46887
15548,11.46887
15597,7.62930
15648,7.00000
15697,7.00000
15748,7.68762
15797,7.68762
15848,10.76270
15897,10.76270
15948,16.85117
15997,16.85117
16048,25.92398
16098,25.92398
16147,26.92303
16198,26.92303
16248,19.15048
16297,19.15048
16348,12.56013
16397,12.56013
16462,8.92226
16499,8.92226
16547,8.92226
16601,7.31126
16648,7.00000
16697,7.00000
16747,8.38666
16798,8.38666
16849,11.76575
16899,11.76575
16947,15.07555
16998,15.07555
17048,16.00000
17098,16.00000
17147,16.00000
17198,16.00000
17247,15.30760
17297,15.30760
17348,14.31329
17398,14.31329
17462,12.61856
17497,12.61856
17548,12.61856
17597,12.00000
17648,12.00000
17697,12.00000
17748,11.30707
17797,11.30707
17847,11.30707
17897,8.93965
17947,8.93965
17998,8.00000
18047,8.00000
18097,10.77100
18147,10.77100
18197,12.69302
18248,12.69302
18298,13.69281
18347,13.69281
18397,14.00000
18461,14.00000
18497,11.93668
18548,11.93668
18597,8.23035
18648,8.23035
18697,5.61642
18748,5.61642
18798,5.00000
18847,5.00000
18897,5.69260
18948,5.69260
18998,8.77051
19048,8.77051
19098,12.07628
19147,12.07628
19198,13.68848
19248,13.68848
19297,12.61853
19347,12.61853
19398,9.92587
19448,9.92587
19509,6.92981
19548,6.92981
19598,5.30843
19648,5.30843
19698,4.31444
19747,4.31444
19798,4.68867
19848,4.68867
19898,7.07454
19948,7.07454
19998,10.07138
20048,10.07138
20097,13.07312
20148,13.07312
20202,14.00000
20248,14.00000
20297,11.24695
20348,11.24695
20397,8.61560
20447,8.61560
20510,6.62823
20555,6.62823
20598,5.31050
20648,5.31050
20697,4.31505
20748,4.31505
20797,4.00000
20847,4.00000
20898,5.38501
20947,5.38501
20998,7.37442
21047,7.37442
21098,8.69049
21147,8.69049
21197,9.69240
21248,9.69240
21300,10.69254
21347,10.69254
21398,11.00000
21447,11.00000
21512,11.68240
21547,11.68240
