time,x,y,z
19,0.65236,-0.56023,10.76466
66,0.65236,-0.56023,10.76466
116,0.48634,0.45451,8.69206
165,0.53745,0.66814,9.63977
216,0.39885,0.48752,10.07199
265,0.24289,0.64607,9.90987
316,0.34317,0.66281,9.65645
366,0.14232,0.48326,9.86433
430,0.25528,0.53778,10.00655
466,0.26558,0.53426,9.90739
515,0.17967,0.47728,9.56343
565,0.33937,0.59386,9.81499
615,0.34587,0.59132,9.87270
666,0.11252,0.56950,9.86322
716,0.17546,0.64378,9.94984
766,0.19913,0.62973,9.62914
816,0.22495,0.50348,9.84558
866,0.23907,0.50050,9.69818
916,0.20412,0.52808,9.62602
966,0.08542,0.46202,9.90453
1016,0.03084,0.39095,9.96631
1066,0.06847,0.68242,9.92958
1115,0.19809,0.61079,9.79216
1166,0.14529,0.50378,9.89703
1216,0.23233,0.49356,9.80627
1266,0.35413,0.68512,9.97903
1316,0.28236,0.62076,9.60982
1366,0.38542,0.74152,9.81670
1434,0.11612,0.54031,9.68286
1467,0.13786,0.58247,9.96559
1515,0.07903,0.55040,9.91264
1565,0.06013,0.64220,9.71249
1615,0.18727,0.69159,9.78804
1665,0.08458,0.62701,9.90851
1716,0.16158,0.64667,9.53795
1766,0.16016,0.67326,10.02016
1815,0.17197,0.60045,9.70334
1865,0.26599,0.67921,9.87231
1915,0.17186,0.55186,9.83298
1965,0.22667,0.65823,9.90633
2015,0.20894,0.65067,9.84973
2065,0.16049,0.60617,9.73567
2115,0.13994,0.50514,9.91940
2165,0.16019,0.57903,9.87560
2215,0.24022,0.61172,9.68411
2266,0.22691,0.60997,9.91934
2316,0.25151,0.62840,9.72176
2366,0.14493,0.52898,9.88029
2416,0.26683,0.52196,9.92117
2477,0.02650,0.55005,9.69295
2515,0.27333,0.68658,9.98979
2565,0.08292,0.50516,9.72978
2615,0.22150,0.67606,9.74211
2666,0.05594,0.37402,9.95865
2715,0.20354,0.58057,9.96312
2765,0.21661,0.56018,9.70253
2816,0.24930,0.61711,9.69730
2866,0.24413,0.50623,9.94337
2915,0.23935,0.50841,9.79359
2967,0.05107,0.57823,9.85094
3016,0.09637,0.51497,9.77065
3066,0.20158,0.60324,9.91840
3116,0.10545,0.54086,9.81229
3165,0.18942,0.57439,9.81924
3216,0.06343,0.46330,9.86478
3266,0.14738,0.62187,9.65181
3316,0.21165,0.46361,10.09358
3365,0.19890,0.53673,9.81828
3416,0.24480,0.54475,9.70753
3479,0.21010,0.40732,9.95433
3519,0.19133,0.49362,9.76102
3566,0.16965,0.46747,9.78363
3616,0.11275,0.48544,9.86858
3666,0.20515,0.48053,9.87973
3716,0.14024,0.44572,9.97554
3765,0.20592,0.46718,9.79468
3815,0.25420,0.53648,9.84235
3866,0.16795,0.43843,9.78154
3916,0.19836,0.47346,9.97440
3966,0.01733,0.45801,9.65002
4016,0.15990,0.46477,9.99925
4066,0.10040,0.42960,9.61589
4116,0.27638,0.48827,9.97035
4165,0.17139,0.55449,9.91599
4216,0.14752,0.55048,9.91130
4266,0.07495,0.40103,10.02313
4316,0.15202,0.55908,9.61557
4365,0.11325,0.47984,9.94221
4416,0.05121,0.45985,9.81573
4466,0.16313,0.49792,9.80089
4530,0.08151,0.38809,9.92184
4566,0.25771,0.51082,9.76210
4616,0.26360,0.55556,10.03737
4666,0.10291,0.46729,9.67749
4716,0.21411,0.46515,10.09229
4766,0.13506,0.42387,9.75169
4816,0.19345,0.48067,10.02245
4865,0.14539,0.54225,9.59818
4916,0.20619,0.44537,9.91354
4965,0.17769,0.55789,9.84023
5015,0.23045,0.48749,9.88878
5067,0.13548,0.48143,9.92079
5116,0.35394,0.56180,9.75616
5167,0.15236,0.54605,9.80608
5216,0.16435,0.50098,9.82445
5266,0.13048,0.41519,9.79466
5316,0.17937,0.43007,9.97307
5365,0.20934,0.45308,9.74042
5416,0.32184,0.52666,9.82852
5466,0.17203,0.44971,9.90445
5516,0.17326,0.48615,9.90688
5582,0.14574,0.46477,9.87900
5615,0.09531,0.42682,9.62740
5665,0.18739,0.45241,9.85626
5715,0.21690,0.40701,9.88266
5766,0.22594,0.53348,9.71619
5815,0.34064,0.45348,9.87746
5865,0.24043,0.46132,9.90485
5915,0.33568,0.48402,9.76340
5965,0.15926,0.36020,9.82846
6015,0.23549,0.46773,9.80223
6065,0.07106,0.37251,9.90112
6115,0.14626,0.49077,9.88925
6165,0.24289,0.54860,9.84033
6216,0.19850,0.62669,9.75880
6265,0.12299,0.50107,9.85889
6316,0.01450,0.43007,10.00296
6365,0.24300,0.40070,9.66382
6416,0.13310,0.49333,9.93745
6466,0.23616,0.57462,9.69386
6516,0.10526,0.40201,10.04179
6567,0.28499,0.60840,9.75366
6630,0.06874,0.43657,10.04980
6667,0.13785,0.55951,9.86707
6715,0.05965,0.37714,9.86832
6766,0.34940,0.61343,9.63283
6815,0.18361,0.41357,9.91789
6866,0.18445,0.48816,9.79323
6916,0.12732,0.54338,9.82178
6966,0.14575,0.51230,9.89665
7016,0.27946,0.60580,9.57539
7065,0.15948,0.49043,9.87422
7115,0.16652,0.41087,9.88231
7166,0.15088,0.44539,9.90004
7216,0.27492,0.60721,9.53539
7265,0.22145,0.43153,10.03395
7315,0.19127,0.46973,9.91666
7365,0.20786,0.55338,9.82994
7415,0.10240,0.51237,10.05568
7465,0.05551,0.51407,9.79362
7515,0.09564,0.43391,9.98216
7566,0.25677,0.57365,9.61565
7616,0.21573,0.56735,9.81598
7677,0.28456,0.49754,9.80708
7716,0.22517,0.50655,9.83183
7766,0.24709,0.54057,9.91418
7816,0.20523,0.53618,9.62659
7867,0.18839,0.52321,9.92711
7915,0.10144,0.44846,9.92653
7966,0.16293,0.56380,9.70580
8016,0.18301,0.38622,9.88788
8066,0.33745,0.58273,9.58887
8115,0.17871,0.34077,10.19887
8165,0.25780,0.63121,9.68996
8215,0.25851,0.44847,9.99654
8266,0.20816,0.51268,9.91061
8315,0.12090,0.46432,9.85558
8365,0.24864,0.53853,9.84679
8415,0.13942,0.45201,9.81673
8465,0.15790,0.47925,9.88818
8515,0.14197,0.44231,9.86728
8566,0.20531,0.41898,9.86128
8615,0.30923,0.56819,9.77954
8680,0.25597,0.49063,9.87483
8716,0.19952,0.48730,9.85979
8766,0.16534,0.43285,9.85454
8817,0.14865,0.44151,9.94565
8865,0.22842,0.44728,9.78099
8916,0.28561,0.57242,9.59363
8966,0.27000,0.35342,10.06378
9015,0.27106,0.41978,9.94356
9066,0.19690,0.58330,9.55905
9116,0.18309,0.41721,10.08595
9166,0.19402,0.56332,9.64554
9216,0.21342,0.39574,9.88745
9266,0.24135,0.46664,10.10759
