time,level,voltage(mV),temperature(C),current(avg),current(instantaneous),charging
448,57,3860,29.0,-9223372036854775808,606844,0
1435,57,3860,29.0,-9223372036854775808,1319493,0
2478,57,3860,29.0,-9223372036854775808,838564,0
3479,57,3860,29.0,-9223372036854775808,1387260,0
4553,57,3860,29.0,-9223372036854775808,959342,0
5583,57,3860,29.0,-9223372036854775808,571430,0
6632,57,3860,29.0,-9223372036854775808,867638,0
7678,57,3860,29.0,-9223372036854775808,862610,0
8705,57,3860,29.0,-9223372036854775808,664446,0
9679,57,3860,29.0,-9223372036854775808,749920,0
10680,56,3733,29.3,-9223372036854775808,1067661,0
11681,56,3733,29.3,-9223372036854775808,746750,0
12683,56,3733,29.3,-9223372036854775808,510658,0
13731,56,3733,29.3,-9223372036854775808,605641,0
14731,56,3733,29.3,-9223372036854775808,601160,0
15785,56,3733,29.3,-9223372036854775808,467047,0
16829,56,3733,29.3,-9223372036854775808,964480,0
17831,56,3733,29.3,-9223372036854775808,621381,0
18844,56,3733,29.3,-9223372036854775808,936577,0
19832,56,3733,29.3,-9223372036854775808,636574,0
20844,56,3733,29.3,-9223372036854775808,806283,0
21879,56,3733,29.3,-9223372036854775808,827306,0
22879,56,3733,29.3,-9223372036854775808,836175,0
23930,56,3733,29.3,-9223372036854775808,483507,0
24950,56,3733,29.3,-9223372036854775808,1047709,0
25981,56,3733,29.3,-9223372036854775808,550187,0
26981,56,3733,29.3,-9223372036854775808,563545,0
27980,56,3733,29.3,-9223372036854775808,501902,0
29005,56,3733,29.3,-9223372036854775808,857744,0
29981,56,3733,29.3,-9223372036854775808,633399,0
30983,56,3733,29.3,-9223372036854775808,454930,0
31977,56,3733,29.3,-9223372036854775808,684312,0
32998,56,3733,29.3,-9223372036854775808,746502,0
33983,56,3733,29.3,-9223372036854775808,1066761,0
35030,56,3733,29.3,-9223372036854775808,897160,0
36036,56,3733,29.3,-9223372036854775808,806283,0
37036,56,3733,29.3,-9223372036854775808,503872,0
