time,azimuth
23,80
66,80
117,86
166,84
216,83
266,87
316,84
366,86
447,83
467,79
516,84
566,84
616,82
666,84
716,83
766,83
819,80
866,81
916,82
966,85
1016,87
1067,88
1116,83
1166,82
1216,84
1266,80
1316,80
1366,77
1435,84
1468,81
1515,83
1566,79
1616,81
1666,83
1716,82
1766,80
1816,82
1866,81
1916,81
1966,82
2016,84
2066,82
2115,81
2166,81
2215,81
2266,81
2316,81
2366,84
2416,79
2478,82
2516,79
2566,85
2615,81
2667,85
2716,79
2766,80
2816,81
2866,81
2916,81
2967,81
3017,80
3066,81
3116,80
3166,82
3216,82
3267,80
3316,78
3366,82
3416,78
3479,82
3519,79
3566,80
3616,82
3666,79
3717,82
3766,76
3816,78
3866,80
3917,81
3966,83
4017,83
4066,83
4117,79
4166,81
4216,81
4267,82
4317,80
4366,81
4416,83
4466,80
4531,81
4567,80
4616,82
4666,83
4717,81
4766,84
4817,83
4866,84
4917,80
4967,77
5016,83
5068,87
5116,82
5169,83
5217,81
5267,82
5316,80
5366,77
5417,78
5466,81
5516,84
5582,80
5616,79
5666,82
5716,80
5766,83
5816,77
5866,82
5915,82
5966,80
6016,80
6066,81
6116,81
6166,81
6217,79
6266,81
6318,81
6366,82
6417,81
6467,77
6517,81
6571,80
6632,80
6669,78
6716,83
6767,78
6816,83
6866,85
6917,81
6966,80
7017,80
7066,84
7116,82
7166,80
7216,82
7266,82
7316,81
7366,81
7416,81
7466,84
7516,82
7566,77
7616,80
7678,77
7716,78
7766,80
7817,81
7870,78
7916,83
7967,81
8016,79
8066,79
8116,80
8166,81
8215,78
8267,83
8316,82
8366,83
8416,79
8465,79
8516,81
8566,81
8616,80
8704,82
8716,80
8767,82
8818,85
8866,77
8918,79
8966,77
9016,80
9067,78
9116,82
9166,78
9216,80
9266,79
9317,78
9366,80
9416,82
9465,79
9517,81
9566,81
9616,79
9678,79
9716,83
9766,83
9816,83
9867,84
9916,79
9966,79
10015,82
10066,81
10117,81
10166,80
10217,82
10266,78
10316,78
10366,79
10416,77
10467,77
10515,77
10566,80
10616,82
10680,93
10716,89
10767,87
10817,86
10870,84
10917,82
10967,77
11016,75
11067,77
11117,78
11166,77
11217,70
11267,71
11317,77
11366,78
11418,73
11466,74
11518,81
11566,80
11616,77
11681,77
11716,68
11766,71
11816,75
11871,85
11917,77
11966,76
12017,73
12066,78
12117,80
12167,87
12217,90
12266,80
12316,77
12366,-22
12417,57
12466,59
12516,50
12568,65
12617,58
12683,55
12718,62
12767,61
12816,62
12866,72
12918,71
12966,77
13016,74
13067,79
13116,81
13167,79
13216,80
13267,84
13317,84
13367,91
13417,94
13466,80
13517,85
13566,53
13616,81
13666,91
13730,87
13766,91
13816,100
13866,-61
13916,2
13966,60
14016,88
14066,72
14116,64
14167,86
14220,42
14268,71
14316,80
14367,80
14416,92
14467,94
14517,86
14567,90
14616,95
14666,91
14731,98
14766,92
14817,98
14866,91
14916,94
14966,92
15016,95
15066,76
15117,93
15166,88
15217,59
15267,83
15316,69
15366,88
15417,93
15467,-1
15518,132
15566,9
15616,84
15666,67
15716,73
15785,72
15816,77
15870,36
15917,68
15966,72
16016,73
16067,61
16116,79
16167,77
16217,80
16267,79
16316,77
16368,79
16416,90
16468,86
16517,91
16567,93
16617,87
16667,83
16717,90
16767,104
16829,111
16866,110
16916,115
16966,112
17016,82
17066,89
17117,49
17166,55
17217,7
17267,0
17316,3
17367,-8
17416,-13
17466,-17
17516,-15
17567,-27
17616,-30
17666,-34
17716,-35
17766,-33
17831,-33
17866,-38
17916,-41
17966,-39
18016,-43
18068,-41
18117,-45
18166,-55
18217,-62
18266,-56
18317,-60
18367,-51
18417,-55
18468,-76
18517,-47
18566,-68
18615,-95
18666,81
18716,-81
18766,-65
18844,-65
18867,-80
18916,-79
18966,-88
19017,-79
19067,86
19116,86
19167,-80
19215,117
19266,-102
19317,-102
19366,-88
19417,-102
19466,-98
19517,-106
19566,-97
19617,-97
19666,-103
19716,-89
19767,-100
19831,-106
19867,-14
19916,-117
19966,-68
20015,-105
20066,-72
20117,-90
20166,-90
20217,-92
20266,-97
20317,-101
20366,-83
20417,-88
20467,-89
20517,-78
20566,-91
20617,-102
20666,-92
20718,-98
20766,-88
20843,-88
20896,-118
20919,-100
20967,-100
21016,-97
21065,-101
21117,-112
21168,-106
21216,-112
21267,-105
21317,-112
21366,-102
21416,-117
21466,-117
21516,-119
21566,-111
21617,-99
21666,-125
21716,-109
21767,-135
21816,-91
21879,-100
21916,-101
21967,-91
22017,-97
22067,-94
22117,-90
22167,-84
22216,-95
22267,-102
22317,-104
22367,-91
22417,-97
22468,-104
22516,-100
22566,-83
22616,-90
22667,-98
22716,-90
22767,-96
22815,-99
22879,-99
22916,-97
22966,-101
23016,-96
23066,-93
23116,-93
23166,-90
23216,-89
23267,-87
23317,-80
23367,-80
23417,-70
23467,-68
23517,-62
23567,-61
23616,-66
