time,USER,SYSTEM,IOW,IRQ
448,39,15,2,0
1436,39,15,2,0
2478,39,15,2,0
3479,39,15,2,0
4553,41,20,8,0
5583,41,20,8,0
6633,41,20,8,0
7678,41,20,8,0
8708,42,17,0,0
9679,42,17,0,0
10680,42,17,0,0
11681,42,17,0,0
12683,38,17,0,0
13731,38,17,0,0
14731,38,17,0,0
15785,38,17,0,0
16829,39,15,0,0
17831,39,15,0,0
18845,39,15,0,0
19832,39,15,0,0
20844,43,17,0,0
21879,43,17,0,0
22879,43,17,0,0
23930,43,17,0,0
24950,37,16,3,0
25981,37,16,3,0
26981,37,16,3,0
27980,37,16,3,0
29005,39,16,0,0
29981,39,16,0,0
30983,39,16,0,0
31977,39,16,0,0
32998,40,15,0,0
33983,40,15,0,0
35030,40,15,0,0
36036,40,15,0,0
37036,39,19,0,0
