time,x,y,z
23,-0.88191,-0.20580,-0.02036
66,-0.88191,-0.20580,-0.02036
117,0.87634,0.32527,0.09836
166,-0.12163,0.02724,0.12758
216,-0.03444,0.12578,0.08223
266,0.10179,0.09883,0.13229
316,0.03732,0.13301,0.10097
366,-0.09911,0.02158,0.07906
447,-0.01549,0.03223,0.07689
467,0.10890,0.02824,0.06003
516,0.02133,0.06631,0.09842
566,-0.04907,0.00241,0.11487
616,0.09196,-0.06770,0.04967
666,0.04018,-0.05217,0.05849
716,-0.03746,0.03969,0.05246
766,0.01381,0.02022,0.00558
819,-0.05252,0.03452,0.01881
866,0.04799,0.02281,-0.00414
916,0.02773,0.01405,0.01682
966,-0.05484,-0.02541,-0.01154
1016,-0.01411,0.00574,0.04472
1066,0.03619,0.01543,0.07649
1116,0.01176,0.00536,0.06387
1166,0.01886,-0.00212,0.03558
1216,0.02031,0.01993,0.08099
1266,0.04315,0.01111,0.05649
1316,0.04016,0.03246,0.04231
1366,0.02756,0.00345,-0.01498
1435,0.01697,0.01553,-0.03598
1467,-0.01720,-0.02936,-0.00510
1515,0.03110,-0.00397,-0.00882
1565,0.00136,0.03299,0.01237
1615,-0.00035,-0.02017,0.00258
1666,0.02029,-0.01091,-0.00664
1716,-0.00117,-0.01352,0.02092
1766,-0.04671,-0.05072,-0.00670
1816,0.02835,0.01512,0.02106
1866,-0.02895,-0.02974,0.01976
1915,-0.00929,0.00394,0.00626
1965,-0.01865,-0.01813,0.02478
2016,-0.00665,0.01009,0.01027
2066,-0.00966,0.00099,-0.00417
2115,-0.04391,-0.04781,-0.01733
2165,0.00624,0.02382,0.00281
2215,-0.00244,-0.00208,0.01785
2266,-0.00227,-0.00598,-0.00760
2316,-0.00572,0.00319,-0.00253
2366,-0.02397,-0.01260,-0.01245
2416,0.01224,0.00305,0.01001
2477,-0.04004,0.06573,0.02794
2516,-0.02411,-0.05157,-0.00372
2565,0.02802,0.04076,-0.00142
2615,-0.00751,-0.04224,-0.02388
2666,-0.03020,-0.02637,-0.03918
2716,-0.00598,0.04178,0.02406
2766,0.06302,0.00418,-0.00545
2816,-0.05823,0.03532,-0.00185
2866,0.00658,-0.00456,-0.00610
2916,0.02147,-0.00958,0.01457
2967,-0.02371,0.01071,0.00034
3016,-0.01544,0.02588,0.00400
3066,0.03104,-0.00537,0.01056
3116,-0.00633,0.00845,-0.00974
3166,-0.01598,0.01163,-0.00288
3216,-0.01801,-0.01453,-0.01099
3267,0.00699,0.00230,-0.01782
3316,-0.05496,-0.00681,-0.01035
3366,-0.01099,0.05550,0.00739
3416,0.02861,-0.03041,-0.00987
3479,-0.01294,0.01210,0.00461
3519,0.01031,-0.00304,0.02003
3566,-0.00795,-0.00197,0.01030
3616,-0.02454,0.00125,0.01768
3666,-0.00027,-0.01778,0.00163
