time,lx
23,1.00000
66,1.00000
117,1.00000
166,1.00000
216,1.00000
266,1.00000
316,1.00000
366,1.00000
447,1.00000
467,1.00000
516,1.00000
566,1.00000
616,1.00000
666,1.00000
716,1.00000
766,1.00000
819,1.00000
866,1.00000
916,1.00000
966,1.00000
1016,1.00000
1067,1.00000
1116,1.00000
1166,1.00000
1216,1.00000
1266,1.00000
1316,1.00000
1366,1.00000
1435,1.00000
1468,1.00000
1515,1.00000
1565,1.00000
1615,1.00000
1666,1.00000
1716,1.00000
1766,1.00000
1816,1.00000
1866,1.00000
1916,1.00000
1966,1.00000
2016,1.00000
2066,1.00000
2115,1.00000
2165,1.00000
2215,1.00000
2266,1.00000
2316,1.00000
2366,1.00000
2416,1.00000
2477,1.00000
2516,1.00000
2565,1.00000
2615,1.00000
2667,1.00000
2716,1.00000
2766,1.00000
2816,1.00000
2866,1.00000
2916,1.00000
2967,1.00000
3016,1.00000
3066,1.00000
3116,1.00000
3166,1.00000
3216,1.00000
3267,1.00000
3316,1.00000
3366,1.00000
3416,1.00000
3479,1.00000
3519,1.00000
3566,1.00000
3616,1.00000
3666,1.00000
3717,1.00000
3766,1.00000
3816,1.00000
3866,1.00000
3917,1.00000
3966,1.00000
4017,1.00000
4066,1.00000
4117,1.00000
4166,1.00000
4216,1.00000
4267,1.00000
4316,1.00000
4366,1.00000
4416,1.00000
4466,1.00000
4531,1.00000
4567,1.00000
4616,1.00000
4666,1.00000
4717,1.00000
4766,1.00000
4816,1.00000
4866,1.00000
4916,1.00000
4966,1.00000
5016,1.00000
5067,1.00000
5116,1.00000
5169,1.00000
5217,1.00000
5267,1.00000
5316,1.00000
5366,1.00000
5417,1.00000
5466,1.00000
5516,1.00000
5582,1.00000
5616,1.00000
5666,1.00000
5716,1.00000
5766,1.00000
5816,1.00000
5866,1.00000
5915,1.00000
5965,1.00000
6016,1.00000
6066,1.00000
6116,1.00000
6166,1.00000
6217,1.00000
6266,1.00000
6317,1.00000
6366,1.00000
6417,1.00000
6467,1.00000
6517,1.00000
6568,1.00000
6632,1.00000
6669,1.00000
6716,1.00000
6766,1.00000
6816,1.00000
6866,1.00000
6917,1.00000
6966,1.00000
7016,1.00000
7066,1.00000
7116,1.00000
7166,1.00000
7216,1.00000
7266,1.00000
7316,1.00000
7366,1.00000
7416,1.00000
7466,1.00000
7516,1.00000
7566,1.00000
7616,1.00000
7678,1.00000
7716,1.00000
7766,1.00000
7817,1.00000
7869,1.00000
7916,1.00000
7967,1.00000
8016,1.00000
8066,1.00000
8116,1.00000
8165,1.00000
8215,1.00000
8266,1.00000
8316,1.00000
8366,1.00000
8416,1.00000
8465,1.00000
8516,1.00000
8566,1.00000
8616,1.00000
8704,1.00000
8716,1.00000
8767,1.00000
8818,1.00000
8866,1.00000
8918,1.00000
8966,1.00000
9016,1.00000
9067,1.00000
9116,1.00000
9166,1.00000
9216,1.00000
9266,1.00000
9317,1.00000
9366,1.00000
9416,1.00000
9465,1.00000
9517,1.00000
9566,1.00000
9616,1.00000
9678,1.00000
9716,1.00000
9766,1.00000
9816,1.00000
9867,1.00000
9916,0.04907
9966,0.04907
10015,0.94745
10066,0.94745
10116,1.00000
10166,1.00000
10216,1.00000
10266,1.00000
10316,1.00000
10366,1.00000
10416,1.00000
10466,1.00000
10515,1.00000
10566,1.00000
10616,1.00000
10679,1.00000
10716,1.00000
10766,1.00000
10817,1.00000
10870,1.00000
10917,1.00000
10967,1.00000
11016,1.00000
11067,1.00000
11117,1.00000
11166,1.00000
11217,1.00000
11267,1.00000
11317,1.00000
11366,1.00000
11418,1.00000
11466,1.00000
11518,1.00000
11566,1.00000
11616,1.00000
11681,1.00000
11716,1.00000
11766,1.00000
11816,1.00000
11871,0.05234
11917,0.05234
11966,0.00000
12017,0.00000
12066,0.00000
12117,0.00000
12167,0.00000
12217,0.00000
12266,0.00000
12316,0.00000
12366,0.95026
12417,0.95026
12466,1.00000
12516,1.00000
12567,1.00000
12617,1.00000
12683,1.00000
12718,1.00000
12767,1.00000
12816,1.00000
12866,1.00000
12918,1.00000
12966,1.00000
13016,1.00000
13067,1.00000
13116,1.00000
13167,1.00000
13216,1.00000
13267,1.00000
13317,1.00000
13367,1.00000
13416,1.00000
13466,1.00000
13517,1.00000
13566,0.05029
13616,0.05029
13666,0.00000
13730,0.00000
13766,0.00000
13816,0.00000
13866,0.94286
13916,0.94286
13966,1.00000
14016,1.00000
14066,1.00000
14116,1.00000
14167,1.00000
14220,1.00000
14268,1.94226
14316,1.94226
14367,1.04955
14416,1.04955
14467,1.00000
14517,1.00000
14567,1.00000
14616,1.00000
14666,1.00000
14731,1.00000
14766,1.00000
14817,1.00000
14866,1.00000
14916,1.00000
14966,1.00000
15016,1.00000
15066,1.00000
