time,x,y,z
23,0.41809,21.47217,-44.62738
66,0.41809,21.47217,-44.62738
116,-0.49591,23.21930,-44.14978
166,-0.06256,19.71741,-45.19806
216,0.72174,19.69757,-45.83740
266,0.55542,19.52972,-45.67413
316,0.63782,19.86542,-45.06073
366,0.80261,19.24286,-45.31097
447,2.03857,20.53528,-44.88068
466,2.90070,18.85986,-45.02106
515,1.56097,20.53528,-44.36646
565,1.05743,19.02771,-45.51086
616,2.03552,19.15436,-45.05768
666,1.79596,19.32220,-45.62531
716,1.87225,19.84100,-46.69189
766,1.83105,20.17822,-45.20416
816,2.62604,18.25714,-44.74487
866,2.06299,19.36188,-45.18433
916,2.23083,19.19403,-45.67413
966,1.43738,19.38477,-45.22705
1016,1.15051,19.42291,-45.52612
1066,0.59052,18.77289,-46.08459
1115,1.89514,19.86542,-46.32874
1166,2.73285,21.03729,-44.85779
1216,1.22528,19.19403,-45.67413
1266,2.66571,19.42749,-46.00220
1316,2.25677,18.60352,-45.70007
1366,3.34930,18.98804,-45.54749
1435,1.89514,20.53528,-45.67413
1467,3.06702,19.36188,-45.18433
1515,2.07825,20.33691,-47.10999
1565,3.09448,17.44537,-45.82825
1615,2.99683,20.01801,-45.19806
1666,2.19421,19.75861,-45.48492
1716,2.90070,19.19403,-46.32874
1766,3.06854,19.36188,-45.83740
1816,2.48871,19.21082,-45.42236
1865,2.31476,19.01550,-45.91827
1915,2.64740,19.52667,-45.83588
1965,2.67334,20.21790,-46.19598
2016,1.52435,19.89899,-45.51086
2065,2.23083,19.52972,-44.36646
2115,2.56500,17.85431,-46.65527
2165,2.38037,17.70325,-45.41626
2215,2.24762,18.84003,-45.25146
2266,2.43225,19.09180,-45.77332
2316,2.04620,19.42902,-45.75043
2366,1.89514,19.52972,-44.69452
2416,2.90070,18.85986,-44.36646
2477,2.67029,18.99567,-46.28296
2516,2.59552,18.69202,-45.46509
2565,1.35803,18.85986,-45.08514
2615,2.60925,19.30389,-45.68634
2666,1.56097,20.19958,-45.34760
2715,2.91290,19.07501,-45.24231
2766,2.61536,19.38324,-47.35413
2816,1.93939,18.56842,-45.87860
2866,2.28577,19.10095,-46.27380
2915,2.79999,19.49615,-46.55762
