time,available,total
448,279105536,1945096192
1436,265609216,1945096192
2478,274042880,1945096192
3479,273764352,1945096192
4553,289337344,1945096192
5583,286552064,1945096192
6633,283623424,1945096192
7678,284938240,1945096192
8708,287395840,1945096192
9683,286072832,1945096192
10680,282931200,1945096192
11681,286031872,1945096192
12683,284442624,1945096192
13731,283410432,1945096192
14731,281722880,1945096192
15785,283185152,1945096192
16829,281743360,1945096192
17831,281255936,1945096192
18845,280825856,1945096192
19832,280182784,1945096192
20844,279035904,1945096192
21879,278728704,1945096192
22879,278990848,1945096192
23930,279822336,1945096192
24950,278589440,1945096192
25981,278102016,1945096192
26981,279527424,1945096192
27980,280666112,1945096192
29005,280264704,1945096192
29981,279142400,1945096192
30983,281796608,1945096192
31977,281604096,1945096192
32998,281747456,1945096192
33983,279711744,1945096192
35030,279306240,1945096192
36036,279683072,1945096192
37036,279416832,1945096192
