time,total received,total sent,mobile received,mobile sent
448,766603686,238489149,0,0
1436,766603686,238489201,0,0
2478,766603775,238489379,0,0
3479,766603775,238489379,0,0
4553,766603775,238489379,0,0
5583,766603775,238489431,0,0
6633,766603775,238489431,0,0
7678,766603775,238489431,0,0
8708,766603775,238489431,0,0
9683,766603775,238489431,0,0
10680,766603775,238489431,0,0
11681,766603775,238489431,0,0
12683,766603775,238489483,0,0
13731,766603775,238489483,0,0
14731,766603847,238489483,0,0
15786,766603847,238489483,0,0
16829,766604169,238489483,0,0
17831,766604169,238489483,0,0
18845,766604169,238489483,0,0
19832,766604169,238489483,0,0
20844,766604169,238489483,0,0
21880,766604169,238489483,0,0
22879,766604258,238489661,0,0
23930,766604258,238489661,0,0
24950,766604258,238489661,0,0
25982,766604258,238489661,0,0
26981,766604258,238489713,0,0
27980,766604258,238489713,0,0
29006,766604258,238489713,0,0
29981,766604258,238489713,0,0
30984,766604258,238489713,0,0
31977,766604258,238489713,0,0
32998,766604258,238489713,0,0
33983,766604258,238489713,0,0
35031,766604258,238489713,0,0
36036,766604258,238489713,0,0
37036,766604258,238489713,0,0
