time,hPa
447,1014.10266
1435,1014.10266
2478,1014.10266
3479,1014.10266
4531,1014.09265
5583,1014.09265
6632,1014.11267
7678,1014.10266
8705,1014.10266
9678,1014.11261
10680,1014.12262
11681,1014.13263
12683,1014.11719
13730,1014.13263
14731,1014.13263
15785,1014.11261
16829,1014.13263
17831,1014.13263
18844,1014.14258
19832,1014.09265
20843,1014.10266
21879,1014.11261
22879,1014.07965
23930,1014.09265
24950,1014.10266
25980,1014.10266
26981,1014.10266
27980,1014.09265
29005,1014.10266
29981,1014.07263
30983,1014.08264
31977,1014.08264
32998,1014.06262
33983,1014.07263
35030,1014.05267
36035,1014.06262
37035,1014.05267
