time,distance
23,5.00000
66,5.00000
117,5.00000
166,5.00000
216,5.00000
266,5.00000
316,5.00000
366,5.00000
447,5.00000
467,5.00000
516,5.00000
566,5.00000
616,5.00000
666,5.00000
716,5.00000
766,5.00000
819,5.00000
866,5.00000
916,5.00000
966,5.00000
1016,5.00000
1067,5.00000
1116,5.00000
1166,5.00000
1216,5.00000
1266,5.00000
1316,5.00000
1366,5.00000
1435,5.00000
1468,5.00000
1515,5.00000
1566,5.00000
1616,5.00000
1666,5.00000
1716,5.00000
1766,5.00000
1816,5.00000
1866,5.00000
1916,5.00000
1966,5.00000
2016,5.00000
2066,5.00000
2115,5.00000
2166,5.00000
2215,5.00000
2266,5.00000
2316,5.00000
2366,5.00000
2416,5.00000
2478,5.00000
2516,5.00000
2566,5.00000
2615,5.00000
2667,5.00000
2716,5.00000
2766,5.00000
2816,5.00000
2866,5.00000
2916,5.00000
2967,5.00000
3017,5.00000
3066,5.00000
3116,5.00000
3166,5.00000
3216,5.00000
3267,5.00000
3316,5.00000
3366,5.00000
3416,5.00000
3479,5.00000
3519,5.00000
3566,5.00000
3616,5.00000
3666,5.00000
3717,5.00000
3766,5.00000
3816,5.00000
3866,5.00000
3917,5.00000
3966,5.00000
4017,5.00000
4066,5.00000
4117,5.00000
4166,5.00000
4216,5.00000
4267,5.00000
4317,5.00000
4366,5.00000
4416,5.00000
4466,5.00000
4531,5.00000
4567,5.00000
4616,5.00000
4666,5.00000
4717,5.00000
4766,5.00000
4817,5.00000
4866,5.00000
4917,5.00000
4966,5.00000
5016,5.00000
5067,5.00000
5116,5.00000
5169,5.00000
5217,5.00000
5267,5.00000
5316,5.00000
5366,5.00000
5417,5.00000
5466,5.00000
5516,5.00000
5582,5.00000
5616,5.00000
5666,5.00000
5716,5.00000
5766,5.00000
5816,5.00000
5866,5.00000
5915,5.00000
5965,5.00000
6016,5.00000
6066,5.00000
6116,5.00000
6166,5.00000
6217,5.00000
6266,5.00000
6317,5.00000
6366,5.00000
6417,5.00000
6467,5.00000
6517,5.00000
6571,5.00000
6632,5.00000
6669,5.00000
6716,5.00000
6767,5.00000
6816,5.00000
6866,5.00000
6917,5.00000
6966,5.00000
7017,5.00000
7066,5.00000
7116,5.00000
7166,5.00000
7216,5.00000
7266,5.00000
7316,5.00000
7366,5.00000
7416,5.00000
7466,5.00000
7516,5.00000
7566,5.00000
7616,5.00000
