time,dB(SPL)
22,71.47831
66,74.61242
116,76.38298
166,74.79303
216,73.22679
265,70.77650
316,67.48397
366,68.89650
447,68.61118
466,65.55677
515,64.36546
565,64.46992
616,75.27604
666,75.02712
716,75.76054
766,75.61498
816,75.29995
866,67.38803
916,62.51613
966,67.10136
1016,72.68148
1066,72.12978
1115,71.09947
1166,66.98555
1216,67.08217
1266,68.98031
1316,72.29373
1366,72.44635
1435,74.05033
1467,73.30223
1515,74.00195
1565,73.56308
1615,74.35341
1665,70.48273
1716,72.85522
1766,72.12333
1815,73.80747
1865,72.24083
1915,70.37291
1965,71.46440
2015,74.36173
2065,69.85521
2115,71.28385
2165,66.95440
2215,68.84646
2266,69.61164
2316,70.72359
2366,71.02412
2416,69.82163
2477,69.68315
2515,75.25357
2565,76.83845
2615,77.40925
2666,74.63178
2715,74.28827
2765,74.68960
2816,73.65914
2866,74.71996
2915,74.09330
2967,72.32531
3016,72.83939
3066,71.73849
3116,72.10610
3165,70.90614
3216,74.03999
3266,73.22868
3316,71.28622
3365,70.51126
3416,69.01422
3479,69.82443
3519,67.46560
3566,68.05898
3616,65.14397
3666,61.25164
3716,64.83591
3765,69.80760
3816,72.93787
3866,71.72950
3916,74.33842
3966,70.35447
4016,71.27911
4066,71.66851
4116,72.68148
4166,70.99722
4216,71.01190
4266,71.78558
4316,68.82133
4365,69.59438
4416,69.60301
4466,68.39911
4530,69.97999
4566,69.60301
4616,68.37597
4666,65.80069
4716,65.28218
4766,65.52924
4816,68.21892
4865,65.38091
4916,64.59875
4966,60.03467
5015,63.92905
5067,52.68955
5116,54.74385
5168,53.67894
5216,54.08301
5266,55.67807
5316,61.02305
5365,61.93125
5416,66.34873
5466,68.75818
5516,68.95246
5582,67.83281
5615,66.93097
5665,62.20506
5715,66.97777
5766,67.52058
5816,70.01844
5865,69.62025
5915,71.48526
5965,74.38994
6015,73.59945
6065,71.17417
6115,70.20285
6166,69.35512
6216,67.24588
6266,73.18311
6316,72.91041
6366,71.87458
6416,72.55755
6466,70.82409
6516,71.67078
6567,69.19087
6630,66.95440
6667,64.62429
6716,65.41823
6766,67.19292
6815,66.54309
6866,66.99332
6916,66.24355
6966,67.83986
7016,70.05946
7065,70.84904
7116,70.99722
7166,74.13606
7216,74.44116
7266,70.13281
7315,72.75980
7365,72.44221
7415,73.25516
7465,70.65254
7515,68.90274
7566,67.53884
7616,70.07581
7677,73.35653
7716,72.56369
7766,71.63444
7816,70.36238
7867,70.61424
7915,70.10300
7966,68.93385
8016,71.84354
8066,70.13010
8115,69.06637
8165,67.48029
8215,72.57595
8266,73.26082
8315,70.86397
8365,69.71727
8415,72.47532
8465,71.90331
8515,71.73400
8566,71.65263
8615,71.66851
8680,69.52504
8716,68.65297
8767,68.03490
8817,70.60912
8865,69.19991
8916,68.18513
8966,67.32472
9016,68.42220
9066,67.81517
9116,66.08550
9166,62.47703
9216,69.06637
9266,68.18513
9316,67.39174
9365,65.99450
9415,66.48153
9465,68.04867
9516,69.90811
9565,71.29332
9615,72.73377
9678,67.18532
9716,70.25902
9766,72.24932
9816,70.18943
9866,70.47233
9916,69.41703
9966,69.17880
10015,68.85273
10066,66.99720
10116,65.43683
10165,68.45508
10216,72.47945
10266,71.73400
10316,68.39911
10365,66.14136
10416,65.54301
10466,62.83526
10515,67.48029
10566,70.95057
10616,73.15259
10679,71.04119
10716,68.14782
10766,65.69763
10816,70.22429
10867,70.35183
10916,70.97516
10966,73.07775
11016,74.19557
11066,73.16786
11116,71.93854
11166,71.51530
11216,89.68799
11266,88.43964
11316,78.59859
11366,88.64623
11417,89.78285
11466,89.74333
11517,88.84865
11566,83.40817
11616,75.17521
11681,68.24921
11716,69.04800
11765,66.14992
11816,67.57885
11867,69.15764
11916,68.10351
11966,64.89544
12016,67.82223
12066,75.04251
12116,85.03325
12166,85.98491
12216,87.60242
12266,89.73541
12315,88.30147
12366,84.44861
12416,82.42857
12466,79.13009
12516,74.41971
12567,73.81632
12617,72.50625
12682,70.24568
12717,70.63469
12766,69.49889
12816,71.00701
12865,68.94936
12918,66.48153
12965,66.14564
13016,62.35205
13067,69.41996
13116,66.92706
13166,66.01191
13216,67.74067
13266,70.50349
13316,68.20880
13366,68.64977
13416,67.94141
13466,64.57314
13516,64.57314
13566,62.83526
13616,59.06553
13666,55.54854
13730,51.54984
13765,53.49722
13815,59.51782
13865,56.41716
13915,58.74032
13966,60.80413
14016,70.07581
