time,x,y,z
56,-1.23534,1.89392,8.99629
90,-1.23534,1.89392,8.99629
145,-1.23534,1.89392,8.99629
190,-1.23534,1.89392,8.99629
240,-1.23534,1.89392,8.99629
290,-1.23534,1.89392,8.99629
340,-1.23534,1.89392,8.99629
390,-1.23534,1.89392,8.99629
439,-1.23534,1.89392,8.99629
490,-1.23534,1.89392,8.99629
539,-1.11206,1.57751,9.62440
589,-1.11206,1.57751,9.62440
639,-1.11206,1.57751,9.62440
690,-1.05269,1.48059,9.66031
740,-1.05269,1.48059,9.66031
790,-1.05898,1.44659,9.49663
840,-1.00496,1.56122,9.68643
889,-0.96126,1.52577,9.52568
939,-0.96126,1.52577,9.52568
990,-0.96126,1.52577,9.52568
1064,-0.96126,1.52577,9.52568
1091,-0.96126,1.52577,9.52568
1139,-0.96126,1.52577,9.52568
1191,-0.96126,1.52577,9.52568
1240,-0.96126,1.52577,9.52568
1289,-0.96126,1.52577,9.52568
1339,-0.96126,1.52577,9.52568
1389,-0.96126,1.52577,9.52568
1439,-0.96126,1.52577,9.52568
1489,-0.96126,1.52577,9.52568
1540,-0.96126,1.52577,9.52568
1590,-1.00615,1.48808,9.57484
1640,-0.94843,1.36424,9.52429
1689,-0.93114,1.39119,9.58626
1739,-0.93114,1.39119,9.58626
1790,-0.99222,1.45506,9.68602
1853,-1.02348,1.44151,9.62878
1890,-0.95999,1.37579,9.62186
1940,-0.91940,1.40720,9.77109
1990,-0.92766,1.39534,9.46675
2243,-1.04977,1.41270,9.82161
2244,-0.89587,1.36617,9.78746
2289,-0.89587,1.36617,9.78746
2340,-0.89587,1.36617,9.78746
2390,-0.89587,1.36617,9.78746
2440,-1.07372,1.36452,9.65982
2490,-1.07372,1.36452,9.65982
2539,-1.07372,1.36452,9.65982
2589,-0.99562,1.43068,9.74799
2639,-1.00789,1.39505,9.72054
2690,-0.97897,1.37303,9.76903
2740,-0.96947,1.37599,9.58046
2790,-0.92177,1.44565,9.51286
2840,-1.00008,1.39049,9.92690
2889,-1.05550,1.42404,9.75179
2939,-1.00238,1.42632,9.59688
2989,-0.93277,1.40749,9.60728
3039,-0.88597,1.40553,9.69237
3100,-1.03964,1.46004,9.69370
3140,-1.03673,1.41118,9.66452
3190,-0.91270,1.35822,9.67989
3240,-1.03891,1.39780,9.82581
3290,-1.02373,1.42007,9.70953
3340,-0.97153,1.45667,9.44485
3390,-1.00171,1.39801,9.62749
3440,-1.01515,1.46178,9.80687
3490,-1.09100,1.39514,9.58365
3540,-0.99065,1.44032,9.65533
3590,-0.90236,1.40977,9.53517
3640,-1.04909,1.43813,9.73584
3690,-1.06918,1.40260,9.61440
3739,-0.87224,1.33275,9.75496
3789,-0.99397,1.40155,9.76076
3839,-1.06941,1.47704,9.65945
3889,-1.05756,1.41418,9.55525
3939,-0.95753,1.40636,9.82372
3990,-0.95082,1.48036,9.72624
4039,-0.98582,1.49969,9.65714
4101,-1.03278,1.47099,9.67526
4140,-0.99429,1.37982,9.60588
4190,-0.98921,1.40201,9.64752
4240,-1.04605,1.42767,9.54674
4291,-0.97235,1.36960,9.54555
4340,-0.96750,1.40558,9.81691
4390,-1.06111,1.47052,9.79137
4440,-1.01465,1.47946,9.76952
4490,-1.03822,1.40688,9.73512
4540,-1.01691,1.40952,9.76840
4590,-1.03410,1.41986,9.64183
4640,-0.99741,1.44580,9.70540
4689,-0.94859,1.32735,9.66362
4740,-0.96329,1.32195,9.79185
4790,-0.89674,1.44577,9.44463
4840,-1.00471,1.39925,9.73810
4890,-1.05029,1.35590,9.82355
4939,-1.03116,1.36043,9.81151
4989,-1.00386,1.38785,9.66681
5039,-1.01880,1.38298,9.65810
5089,-0.98259,1.34721,9.73312
5150,-0.95451,1.37546,9.65280
5191,-0.96008,1.36485,9.72667
5239,-0.94461,1.30362,9.79616
5289,-0.98967,1.28760,9.74626
5339,-0.94247,1.28442,9.68570
5389,-0.93124,1.40338,9.61314
5440,-0.94264,1.28946,9.76755
5489,-0.92526,1.36024,9.72679
5539,-0.96590,1.35472,9.59032
5590,-0.89395,1.24077,9.74655
5640,-0.90474,1.30627,9.76483
5690,-0.90625,1.25061,9.70482
5739,-0.98567,1.33838,9.68494
5789,-0.87680,1.24976,9.84921
5839,-0.86519,1.25063,9.63329
5889,-0.88161,1.31468,9.71283
5939,-0.95152,1.25919,9.80986
5989,-0.90225,1.20256,9.80841
6039,-0.89879,1.22173,9.70827
6090,-0.93172,1.24477,9.66885
6151,-0.90190,1.22313,9.71432
6190,-0.84273,1.26747,9.78566
6240,-0.81532,1.25143,9.85774
6290,-0.84300,1.25911,9.83569
6340,-0.87837,1.30800,9.71275
6390,-0.90689,1.30762,9.71007
6440,-0.89151,1.27896,9.67458
6490,-0.85530,1.22968,9.67453
6540,-0.82164,1.27470,9.70554
6590,-0.90450,1.25288,9.78961
6639,-0.89380,1.29297,9.78337
6690,-0.90541,1.37769,9.58508
6740,-0.92339,1.25859,9.72760
6789,-0.87340,1.23817,9.95848
6839,-0.84813,1.33205,9.66113
6890,-0.89075,1.37158,9.74490
6940,-0.91795,1.27278,9.73056
6990,-0.93468,1.36792,9.57405
7040,-0.87950,1.34059,9.83061
7090,-0.92448,1.21864,9.89825
7153,-0.91278,1.36487,9.56480
7190,-0.92136,1.37602,9.59332
7239,-0.93536,1.32607,9.75517
7289,-0.89809,1.30151,9.64153
7339,-0.96513,1.26949,9.80910
7389,-0.92215,1.26762,9.70821
7440,-0.87874,1.27705,9.66859
7490,-0.89790,1.26877,9.65375
7539,-0.89760,1.26056,9.75490
7589,-0.92686,1.27478,9.74925
7639,-0.92537,1.28044,9.70842
7689,-0.90889,1.30365,9.65633
7740,-0.92552,1.29312,9.83383
7790,-0.90016,1.27927,9.74654
7840,-0.89760,1.28810,9.73682
7890,-0.93675,1.33968,9.74548
7940,-0.87640,1.28517,9.72560
7989,-0.92758,1.29091,9.71939
8039,-0.87474,1.29872,9.74828
8090,-0.90265,1.29005,9.79187
8152,-0.87068,1.26662,9.71829
8189,-0.84807,1.28038,9.79880
8240,-0.95721,1.33908,9.70316
8289,-0.88501,1.20891,9.81702
8340,-0.89297,1.30034,9.75926
8389,-0.91525,1.34431,9.62480
8439,-0.85721,1.25182,9.67136
8490,-0.89760,1.29495,9.80112
8540,-0.86040,1.26823,9.70238
8590,-0.86247,1.35530,9.64651
8639,-0.84685,1.34808,9.70143
8689,-0.85475,1.28720,9.67303
8740,-0.88347,1.26233,9.72240
8791,-0.89719,1.29240,9.75862
8839,-0.90096,1.28468,9.73207
8890,-0.87027,1.30618,9.74069
8940,-0.90744,1.29237,9.59547
8989,-0.91666,1.36021,9.71263
9039,-0.91508,1.26408,9.77797
9090,-0.86905,1.35974,9.74213
9154,-0.88872,1.35172,9.60767
9190,-0.87337,1.36130,9.72301
9240,-0.86278,1.22800,9.83749
9289,-0.85251,1.32281,9.77151
9339,-0.88303,1.25868,9.71461
9390,-0.84010,1.23865,9.75787
9440,-0.84756,1.29607,9.69910
9490,-0.87634,1.25162,9.71429
9547,-0.87430,1.32643,9.65935
9589,-0.91129,1.37299,9.64903
9639,-0.89894,1.34512,9.68750
9690,-0.82864,1.30847,9.72060
9739,-0.83653,1.29926,9.72496
9789,-0.86713,1.31793,9.77832
9839,-0.86475,1.31525,9.73817
9889,-0.80714,1.37434,9.70981
9939,-0.84427,1.30637,9.64981
9990,-0.83273,1.31761,9.83994
10040,-0.81468,1.31665,9.61125
10090,-0.81421,1.28210,9.82173
10140,-0.87048,1.28600,9.80803
10200,-0.85725,1.32103,9.71544
10240,-0.82079,1.31679,9.72195
10290,-0.85353,1.33586,9.73087
10340,-0.82666,1.25574,9.77142
10390,-0.84293,1.35968,9.70880
10439,-0.83519,1.28882,9.67868
10489,-0.81047,1.35358,9.73112
10539,-0.85445,1.31082,9.77548
10589,-0.80040,1.26649,10.04509
10640,-0.88731,1.15044,9.71365
10689,-0.65347,1.46356,9.85968
10740,-1.21419,1.10747,8.52351
10790,-0.87268,1.44644,9.95564
10839,-0.65892,1.71315,9.79298
10889,-0.59927,1.77991,9.47659
10940,-0.64803,1.69254,10.00847
10990,-0.93861,1.43362,9.52484
11040,-1.15195,1.30670,9.51949
11090,-1.05922,1.26244,10.07246
11140,-1.07150,1.39738,9.20117
11201,-0.94405,1.28816,9.89098
11240,-0.81207,1.43019,9.67285
11290,-0.80798,1.53087,9.29076
11339,-0.66808,1.34074,9.85516
11389,-1.18736,0.95245,9.40497
11439,0.24463,1.48975,9.30846
11489,-0.79239,0.99820,8.87083
11540,-0.42058,1.03946,10.21346
11638,-0.45345,0.94206,10.11960
11690,-0.34782,0.62373,10.81197
11740,-0.24474,0.63213,10.61884
11789,-0.54280,0.63466,9.89116
11839,-0.41444,0.35782,11.08289
11889,-0.79779,0.18320,9.41666
11939,-0.55542,0.36775,10.52274
11989,-0.54376,-1.00233,10.64603
12040,-0.89119,0.32227,10.36456
12090,0.37733,-1.70418,9.20845
12139,-0.19191,-2.09055,9.82442
12201,1.09248,-3.05226,9.86673
12241,-0.71379,-2.73901,9.19292
12289,0.74121,-3.46886,8.92598
12339,0.09135,-3.15469,9.90248
12390,0.11067,-3.36504,9.93312
12440,-1.35228,-4.34081,8.85649
12490,0.87303,-5.11140,9.18169
12539,0.53616,-4.86931,7.61990
12589,0.46335,-5.36574,7.78587
12639,-1.19675,-5.33383,7.85918
12689,-0.26562,-5.79913,7.12965
12739,-0.93369,-6.54556,7.92143
12789,-1.17134,-6.72633,8.14027
12840,-0.91011,-7.44576,7.47655
12891,-1.08156,-7.44319,6.39659
12940,-0.57574,-7.52455,6.56625
12990,-1.14156,-7.43370,5.51871
13040,1.93562,-8.01723,3.68877
13090,-0.54173,-8.39230,5.76648
13140,0.61484,-8.47797,4.47797
13190,-0.86217,-8.72112,4.88182
13261,-1.31895,-8.66000,4.22012
13290,0.52562,-8.67923,4.47618
13339,-0.79272,-9.21281,5.00235
13389,0.64665,-9.62251,3.56810
13439,0.97279,-9.48694,4.05612
13489,-2.53433,-11.12589,-1.19197
13540,2.37065,-9.77415,2.49162
13590,0.71153,-10.49684,0.24458
13640,1.03290,-9.39651,-1.19965
13690,0.94580,-9.70963,-1.65715
13739,1.28714,-9.10011,-2.42378
13789,1.31935,-8.65714,-3.73549
13839,0.95110,-8.77805,-4.29974
13889,0.61395,-8.03053,-4.85709
13939,0.88728,-7.95938,-6.15463
13989,1.35313,-7.38425,-6.18993
14039,0.93196,-6.71848,-5.93878
14089,0.88931,-6.70448,-7.50539
