time,level,voltage(mV),temperature(C),current(avg),current(instantaneous),charging
67,62,3788,29.3,-9223372036854775808,1119000,0
1065,62,3788,29.3,-9223372036854775808,1008357,0
2244,62,3788,29.3,-9223372036854775808,1028584,0
3101,62,3788,29.3,-9223372036854775808,1123374,0
4101,62,3788,29.3,-9223372036854775808,727050,0
5171,62,3788,29.3,-9223372036854775808,833866,0
6151,62,3788,29.3,-9223372036854775808,344500,0
7154,62,3788,29.3,-9223372036854775808,585356,0
8152,62,3788,29.3,-9223372036854775808,326133,0
9181,62,3788,29.3,-9223372036854775808,334989,0
10201,62,3788,29.3,-9223372036854775808,367898,0
11201,62,3788,29.3,-9223372036854775808,374895,0
12201,62,3788,29.3,-9223372036854775808,384953,0
13282,62,3788,29.3,-9223372036854775808,763468,0
14253,62,3788,29.3,-9223372036854775808,547822,0
15260,62,3788,29.3,-9223372036854775808,1123682,0
16261,62,3788,29.3,-9223372036854775808,1110977,0
17283,62,3788,29.3,-9223372036854775808,823705,0
18301,62,3788,29.3,-9223372036854775808,965753,0
19301,62,3788,29.3,-9223372036854775808,654385,0
20300,62,3788,29.3,-9223372036854775808,1135730,0
21319,62,3788,29.3,-9223372036854775808,496457,0
22301,62,3788,29.3,-9223372036854775808,1132553,0
23303,62,3788,29.3,-9223372036854775808,445748,0
24301,62,3788,29.3,-9223372036854775808,672127,0
25329,62,3788,29.3,-9223372036854775808,720974,0
26303,62,3788,29.3,-9223372036854775808,884598,0
27304,62,3788,29.3,-9223372036854775808,486928,0
28307,62,3788,29.3,-9223372036854775808,318266,0
29336,62,3788,29.3,-9223372036854775808,548479,0
