time,azimuth
67,168
91,168
145,168
190,168
240,168
290,168
343,168
390,168
440,168
490,168
540,166
590,166
640,166
690,168
740,168
790,171
840,173
890,173
940,173
990,173
1065,173
1092,173
1140,173
1191,173
1241,173
1291,173
1340,173
1390,173
1440,173
1489,173
1540,173
1590,168
1640,166
1690,166
1740,166
1791,168
1853,161
1890,162
1940,163
1990,162
2244,167
2245,170
2290,170
2340,170
2390,170
2440,170
2490,170
2540,170
2590,164
2640,165
2690,165
2740,169
2790,168
2840,169
2890,169
2940,165
2990,165
3040,164
3101,168
3140,170
3190,166
3240,166
3290,166
3340,172
3390,171
3440,168
3490,171
3540,167
3590,169
3640,169
3690,165
3740,167
3790,168
3840,168
3889,164
3939,174
3991,170
4039,165
4101,165
4140,169
4190,168
4240,167
4291,172
4340,165
4390,161
4440,169
4490,162
4540,164
4590,165
4640,164
4690,166
4740,170
4790,162
4840,166
4890,165
4940,169
4990,168
5040,165
5090,174
5171,165
5192,168
5240,166
5290,170
5339,168
5389,168
5441,166
5490,167
5539,165
5590,170
5640,169
5690,167
5740,168
5790,165
5840,169
5890,161
5940,171
5989,171
6039,162
6090,163
6151,169
6190,169
6240,167
6291,167
6340,166
6390,165
6440,166
6490,166
6540,163
6590,168
6642,169
6691,162
6741,171
6790,171
6839,166
6890,161
6940,173
6990,165
7040,164
7090,167
7154,167
7191,163
7240,165
7290,168
7340,168
7390,169
7440,164
7490,165
7540,171
7590,165
7640,167
7690,164
7740,162
7790,168
7840,170
7890,168
7940,171
7990,168
8040,161
8090,165
8152,166
8190,166
8241,167
8290,170
8341,165
8390,168
8440,171
8490,168
8540,171
8590,167
8639,168
8690,169
8740,164
8792,162
8840,171
8890,168
8941,168
8990,167
9040,175
9090,165
9180,165
9190,170
9241,166
9290,166
9339,166
9390,164
9440,171
9490,172
9549,171
9590,165
9639,167
9691,168
9740,167
9790,167
9840,167
9889,163
9939,166
9990,170
10040,166
10090,167
10140,166
10200,165
10240,162
10290,164
10340,168
10390,164
10440,167
10490,164
10540,169
10590,167
10641,169
10690,165
10740,177
10791,167
10839,167
10889,163
10940,160
10990,166
11040,166
11091,172
11140,167
11201,165
11240,162
11290,156
11340,164
11390,169
11440,146
11490,164
11540,165
11638,165
11690,168
11740,168
11790,156
11840,165
11890,174
11940,157
11989,176
12040,165
12091,168
12139,177
12201,170
12242,167
12290,157
12340,158
12390,166
12440,172
12490,174
12540,-172
12590,176
12640,176
12690,174
12740,-177
12790,179
12840,-176
12891,-178
12940,180
12990,-175
13040,-165
13090,175
13140,-171
13190,-178
13261,170
13291,-178
13340,171
13389,-162
13439,-171
13489,-142
13540,167
13590,-161
13640,-155
13691,-170
13740,-155
13790,-159
13840,-163
13890,-170
13940,-147
13990,-160
14040,-171
14090,-162
14139,-175
14190,-165
14253,-156
14290,-174
14340,-175
14391,167
14440,179
14491,-177
14540,177
14590,-164
14640,-151
14690,-159
14740,-163
14791,-164
14840,-176
14890,-172
14940,-170
14990,176
15039,-152
15090,-155
15140,-177
15195,-172
15260,-168
15294,-174
15340,177
15390,-151
15440,-160
15490,-145
15540,-168
15590,-178
15640,-170
15690,173
15740,-161
15790,-180
15840,-154
15890,169
15940,169
15990,-125
16040,-174
16089,170
16139,-150
16189,176
16261,-175
16290,-151
16340,-143
16391,-154
16440,-137
16490,-151
16540,-150
16590,-155
16640,-137
16690,-164
16740,-167
16791,-160
16840,-166
16890,-165
16940,-170
16990,-170
17042,-170
17090,-167
17140,-176
17190,-177
17282,174
17295,175
17340,172
17390,179
17440,-175
17490,177
17540,-177
17590,178
17640,-178
17690,-173
17740,176
17790,176
17840,-176
17890,161
17940,-177
17990,-156
18041,-174
18090,177
18140,177
18190,177
18240,177
18301,177
18340,177
18390,177
18440,166
18490,173
18540,-175
18590,-179
18640,175
18689,-174
18748,-167
18790,-179
18840,167
18890,-162
18940,-149
18990,-160
19040,-168
19090,-174
19140,-172
19190,-161
19240,178
19301,-176
19340,173
19390,-144
19440,-37
19490,-14
19540,-3
19590,3
19640,6
19690,1
19740,2
19791,-1
19840,1
19891,-1
19940,14
19990,11
20040,12
20090,8
20140,-4
20191,-1
20240,-7
20300,9
20340,17
20390,-1
20440,-8
20490,8
20540,1
20590,-34
20640,-3
20690,0
20739,3
20790,-5
20840,-9
20891,-20
20940,-6
20991,-6
21040,-2
21090,-26
21140,-3
21190,-16
21240,10
21318,-8
21341,7
21393,-29
21440,9
21490,3
21540,2
21590,-1
21640,-2
21690,-4
21740,3
21790,-17
21840,-15
21890,-3
21939,-18
21990,-23
22040,-35
22090,-34
22140,24
22190,-119
22240,-61
22301,30
22340,-165
22390,-170
22440,-175
22490,-176
22540,180
22590,176
22640,173
22689,171
22739,159
22790,177
22840,169
22890,179
22940,176
22990,172
23040,163
23090,167
23140,167
23190,176
23240,169
23303,177
23340,166
23390,158
23440,173
23490,173
23540,174
23590,161
23640,173
23691,171
23741,169
23790,166
23840,141
23890,168
23940,164
23990,171
24040,174
24090,178
24140,175
24190,174
24240,172
24300,-175
24340,166
24390,-172
24440,-164
24490,-174
24540,173
24590,-156
24640,-159
24690,-158
24740,-160
24790,-164
24840,-147
24890,-146
24940,-119
24990,-111
25040,-133
25090,-115
25140,-111
25190,-105
25240,-90
25329,-78
25341,-118
25390,-112
25440,-46
25490,-98
25540,-57
25590,-68
25640,-72
25690,-50
25740,-51
25790,-37
25841,-50
25890,-31
25941,-32
25990,-36
26040,-38
26090,-31
26139,-19
26190,-25
26241,3
26303,-47
26341,-2
26392,-41
26440,10
26490,11
26540,19
26591,34
26640,23
26690,42
26740,49
26790,52
26840,40
26890,55
26940,63
26990,88
27040,78
27090,92
27141,120
27190,100
27244,100
27304,89
27341,110
27390,130
27440,118
27491,125
27540,120
27590,111
27642,123
27690,95
27740,126
27818,121
27890,123
27940,117
27990,137
28040,131
28090,140
28142,136
28191,141
28241,130
28307,138
28342,126
28393,139
28440,138
28491,150
28540,144
28591,147
28640,154
28691,151
28740,162
28790,166
28841,170
28891,167
28940,179
28991,165
29040,170
29090,166
29141,161
29191,175
29241,169
29335,-178
29342,173
29390,175
29441,-174
29490,-177
29540,-178
29591,177
29640,-179
29691,177
29740,176
29791,-176
29841,179
29890,177
29941,-177
29991,-179
30040,176
30090,175
30141,-179
30190,174
30240,179
