time,x,y,z
67,-0.02184,-0.15465,-0.03455
91,-0.02184,-0.15465,-0.03455
145,-0.02184,-0.15465,-0.03455
190,-0.02184,-0.15465,-0.03455
240,-0.02184,-0.15465,-0.03455
290,-0.02184,-0.15465,-0.03455
340,-0.02184,-0.15465,-0.03455
390,-0.02184,-0.15465,-0.03455
440,-0.02184,-0.15465,-0.03455
490,-0.02184,-0.15465,-0.03455
540,-0.02843,-0.04509,-0.01163
590,-0.02843,-0.04509,-0.01163
640,-0.02843,-0.04509,-0.01163
690,-0.04045,-0.02477,0.00888
740,-0.04045,-0.02477,0.00888
790,-0.01833,-0.00764,0.00661
840,-0.04164,-0.01797,0.01199
890,-0.01630,-0.01262,0.00172
940,-0.01630,-0.01262,0.00172
990,-0.01630,-0.01262,0.00172
1064,-0.01630,-0.01262,0.00172
1092,-0.01630,-0.01262,0.00172
1140,-0.01630,-0.01262,0.00172
1191,-0.01630,-0.01262,0.00172
1240,-0.01630,-0.01262,0.00172
1290,-0.01630,-0.01262,0.00172
1339,-0.01630,-0.01262,0.00172
1389,-0.01630,-0.01262,0.00172
1439,-0.01630,-0.01262,0.00172
1489,-0.01630,-0.01262,0.00172
1540,-0.01630,-0.01262,0.00172
1590,0.01541,-0.04111,-0.01105
1640,0.02391,-0.01817,-0.00941
1690,0.01204,-0.00682,-0.00250
1740,0.01204,-0.00682,-0.00250
1791,-0.02344,0.00497,0.00208
1853,-0.02008,-0.00078,0.01031
1890,0.05072,-0.00816,-0.00879
1940,-0.00720,0.00003,0.00677
1990,0.02135,-0.00702,-0.00320
2243,0.00587,-0.01953,-0.00667
2244,0.02469,-0.01215,0.00688
2290,0.02469,-0.01215,0.00688
2340,0.02469,-0.01215,0.00688
2390,0.02469,-0.01215,0.00688
2440,0.05322,-0.02936,-0.02425
2490,0.05322,-0.02936,-0.02425
2540,0.05322,-0.02936,-0.02425
2590,0.00432,-0.01088,0.00243
2640,-0.01932,0.00014,0.00642
2690,-0.00914,-0.01111,-0.00563
2740,0.00127,0.02774,0.01479
2790,0.02916,-0.00104,0.00070
2840,0.00121,-0.01828,-0.01224
2890,-0.00636,-0.00667,0.00961
2940,-0.02145,0.00311,0.01138
2990,0.05019,0.01630,-0.01538
3040,0.00282,-0.00331,0.00403
3101,-0.01826,-0.02322,0.00587
3140,-0.02380,0.02284,0.00700
3190,0.02936,0.01021,0.00192
3240,-0.00833,0.00955,0.00414
3290,-0.03151,0.00992,0.00438
3340,0.00980,-0.00911,-0.00281
3390,0.03337,0.00615,0.00497
3440,-0.03688,-0.00227,0.01109
3490,0.04305,-0.01100,-0.02386
3540,-0.02831,0.01364,-0.00690
3590,0.03459,0.01221,0.02634
3640,0.00023,-0.01962,-0.00673
3690,0.04225,-0.00894,-0.02364
3740,-0.01172,-0.01700,0.00998
3790,-0.00336,-0.00168,-0.00639
3839,-0.02345,0.01187,0.01227
3889,0.04236,-0.00345,-0.01497
3939,0.02049,-0.01424,0.00711
3990,-0.00543,0.01083,0.02217
