time,x,y,z
67,-8.22906,-5.31769,-46.26923
91,-8.22906,-5.31769,-46.26923
145,-8.22906,-5.31769,-46.26923
190,-8.22906,-5.31769,-46.26923
240,-8.22906,-5.31769,-46.26923
290,-8.22906,-5.31769,-46.26923
340,-8.22906,-5.31769,-46.26923
390,-8.22906,-5.31769,-46.26923
440,-8.22906,-5.31769,-46.26923
490,-8.22906,-5.31769,-46.26923
540,-8.73871,-3.91693,-45.63446
590,-8.73871,-3.91693,-45.63446
639,-8.73871,-3.91693,-45.63446
690,-9.39636,-4.06189,-46.38214
740,-9.39636,-4.06189,-46.38214
790,-8.96301,-4.69666,-46.22040
840,-9.01031,-5.57556,-45.87097
890,-9.01031,-5.57556,-45.87097
940,-9.01031,-5.57556,-45.87097
990,-9.01031,-5.57556,-45.87097
1064,-9.01031,-5.57556,-45.87097
1092,-9.01031,-5.57556,-45.87097
1140,-9.01031,-5.57556,-45.87097
1191,-9.01031,-5.57556,-45.87097
1240,-9.01031,-5.57556,-45.87097
1290,-9.01031,-5.57556,-45.87097
1339,-9.01031,-5.57556,-45.87097
1389,-9.01031,-5.57556,-45.87097
1439,-9.01031,-5.57556,-45.87097
1489,-9.01031,-5.57556,-45.87097
1540,-9.01031,-5.57556,-45.87097
1590,-9.92737,-3.85895,-47.05658
1640,-8.62732,-3.69110,-47.85614
1690,-8.62732,-3.69110,-47.85614
1739,-8.62732,-3.69110,-47.85614
1790,-9.13086,-4.00848,-46.20209
1853,-10.23102,-1.76849,-47.24579
1890,-9.88159,-2.11639,-46.90552
1940,-9.46655,-2.18353,-45.07599
1990,-10.13641,-2.18353,-45.40405
2243,-9.27277,-3.29437,-44.97223
2244,-10.25543,-3.84674,-46.80023
2290,-10.25543,-3.84674,-46.80023
2340,-10.25543,-3.84674,-46.80023
2390,-10.25543,-3.84674,-46.80023
2440,-9.29871,-4.02679,-45.56732
2490,-9.29871,-4.02679,-45.56732
2540,-9.29871,-4.02679,-45.56732
2590,-9.46655,-2.85339,-45.40405
2640,-9.29871,-2.68555,-44.58618
2690,-9.32770,-2.77252,-45.63293
2740,-9.95636,-3.69568,-46.53473
2790,-9.95026,-3.70331,-46.56677
2840,-10.72845,-3.42712,-44.84406
2890,-9.29871,-4.02679,-45.89386
2940,-10.13641,-2.85339,-45.07599
2990,-9.48944,-2.96631,-46.09833
3039,-10.05402,-2.71454,-46.24634
3100,-9.76562,-3.75824,-45.62988
3140,-9.95789,-4.06647,-45.75500
3190,-8.79517,-2.85339,-45.07599
3240,-10.30426,-2.68555,-46.54846
3290,-9.33228,-3.85895,-46.31958
3340,-9.96857,-5.03235,-46.11053
3390,-10.33020,-4.05273,-45.83282
3440,-9.84344,-3.69415,-46.09070
3490,-9.80072,-4.52881,-45.73059
3540,-10.47058,-3.18756,-44.74945
3590,-9.66797,-3.83606,-45.68481
3640,-9.29871,-3.85895,-45.73059
3690,-9.52911,-3.06854,-46.26617
3740,-9.15680,-3.16315,-45.89386
3789,-8.62732,-4.02679,-46.54846
3839,-8.62732,-4.36096,-47.20154
3889,-9.26514,-2.93121,-46.33942
3939,-10.02502,-4.75311,-45.40253
3990,-9.32312,-4.00085,-44.98291
4039,-8.46100,-3.52325,-45.64819
4101,-8.96301,-3.35541,-47.52808
4140,-8.96301,-3.69110,-44.58618
4190,-9.83582,-3.49274,-45.37048
4240,-9.41162,-3.69263,-46.82007
4291,-9.61456,-4.60358,-45.73059
4340,-10.47058,-2.59552,-46.40808
4390,-9.46655,-2.18353,-47.03827
4440,-9.96857,-3.69110,-45.56732
4490,-9.45587,-1.91345,-45.73975
4540,-9.46350,-2.19727,-44.40918
4590,-9.29108,-2.74506,-44.03839
4640,-9.09271,-2.72980,-45.96405
4690,-9.13086,-3.18756,-45.07599
4740,-8.46100,-3.85895,-46.38367
4790,-9.44366,-2.42462,-46.57440
4840,-9.09576,-3.35541,-45.75958
4890,-9.36737,-3.24249,-46.36230
4940,-8.85773,-3.79791,-46.01288
4990,-9.11407,-3.54156,-46.07239
5039,-8.96301,-3.02124,-46.87500
5089,-9.46655,-4.86450,-46.38367
5171,-9.29108,-3.01361,-45.88623
5191,-9.93195,-3.51868,-46.24634
5239,-9.18732,-2.79694,-45.74890
5289,-9.82971,-3.55225,-45.26062
5339,-10.13641,-2.85339,-46.05713
5389,-9.63287,-3.69110,-46.22040
5440,-9.60693,-2.65961,-46.09680
5489,-9.68475,-3.21350,-45.79620
5539,-9.24225,-2.62909,-46.55609
5590,-10.46143,-3.28369,-45.95490
5640,-10.30426,-3.35541,-45.56732
5690,-10.47058,-2.51770,-46.05713
5740,-10.18219,-3.13873,-45.63904
5790,-10.13947,-1.93634,-45.57037
5839,-10.50415,-3.01971,-46.28448
5889,-8.87756,-1.54114,-44.50378
5939,-10.63843,-3.69110,-45.89386
5989,-9.29871,-3.35541,-46.22040
6039,-10.60028,-1.12610,-45.27588
6090,-10.11047,-1.53961,-45.15533
6151,-10.95734,-2.98920,-45.87555
6190,-10.47211,-3.18756,-46.70868
6240,-9.98077,-2.68250,-45.88165
6290,-9.46655,-2.85339,-46.38367
6340,-9.45435,-2.89459,-46.31653
6390,-11.08398,-2.20337,-46.98029
6440,-10.49347,-2.49634,-46.64154
6490,-9.60388,-2.59552,-46.18988
6540,-9.29871,-1.67999,-45.89386
6590,-9.29871,-3.02124,-45.89386
6642,-9.72137,-3.68958,-46.05255
6691,-9.56726,-2.18811,-46.42334
6740,-10.47668,-3.40118,-45.17670
6789,-10.55145,-3.20282,-45.62531
6839,-9.29871,-2.68555,-45.89386
6890,-8.79517,-2.18353,-46.71173
6940,-9.75494,-4.24500,-45.58716
6990,-8.97675,-2.85339,-45.93048
7040,-9.55048,-2.43835,-46.47064
7090,-9.54437,-2.64740,-46.50879
7154,-10.28290,-3.15094,-45.68481
7190,-9.96857,-2.34985,-44.58618
7240,-8.79517,-2.85339,-46.71173
7290,-10.41260,-2.88544,-44.98749
7340,-10.47058,-2.85339,-45.62225
7389,-10.23102,-3.33557,-45.96405
7440,-8.62732,-2.51465,-47.03369
7490,-8.62732,-2.68555,-45.89386
7540,-8.96301,-3.69110,-45.56732
7589,-10.55908,-1.98517,-44.94324
7639,-9.68475,-2.89307,-45.89386
7690,-9.48334,-2.53448,-46.04034
7740,-9.81140,-1.62811,-46.43402
7790,-10.80627,-2.51770,-45.40405
7840,-10.80627,-3.52325,-46.71173
7890,-10.31036,-3.34015,-45.57190
7940,-9.83887,-3.80707,-46.31805
7990,-10.60333,-2.76947,-45.03937
8040,-9.43146,-1.62048,-46.74530
8090,-9.63287,-2.34985,-46.87500
8152,-9.46655,-2.85339,-46.38367
8190,-9.73969,-2.70233,-46.35315
8240,-8.99658,-3.35541,-45.56732
8289,-10.09216,-3.48358,-45.52460
8341,-10.40192,-2.34985,-46.17767
8389,-9.80072,-3.18756,-45.40405
8439,-9.46655,-3.85895,-47.69287
8490,-10.32410,-2.82593,-46.14716
8540,-9.53369,-3.66058,-46.11359
8590,-9.77936,-2.92053,-46.77582
8639,-9.85107,-3.12042,-45.87402
8690,-8.79517,-3.85895,-47.69287
8740,-9.80072,-1.84784,-46.05713
8791,-8.62732,-2.01569,-47.20154
8840,-9.75189,-3.42712,-45.21637
