time,available,total
67,261767168,1945096192
1065,257712128,1945096192
2244,251793408,1945096192
3101,279920640,1945096192
4101,266448896,1945096192
5171,268992512,1945096192
6151,265457664,1945096192
7154,264097792,1945096192
8152,263282688,1945096192
9181,264216576,1945096192
10201,262656000,1945096192
11201,263458816,1945096192
12201,261685248,1945096192
13283,265478144,1945096192
14254,252063744,1945096192
15260,251707392,1945096192
16261,253669376,1945096192
17283,253059072,1945096192
18301,251547648,1945096192
19301,268529664,1945096192
20300,266948608,1945096192
21319,261509120,1945096192
22301,259387392,1945096192
23303,252788736,1945096192
24301,248000512,1945096192
25330,240623616,1945096192
26303,224301056,1945096192
27304,215732224,1945096192
28307,212684800,1945096192
29337,230260736,1945096192
