time,total received,total sent,mobile received,mobile sent
67,765662266,238104282,0,0
1065,765670400,238109350,0,0
2244,765675262,238111627,0,0
3101,765681052,238113857,0,0
4101,765682077,238115685,0,0
5171,765683849,238117516,0,0
6151,765684231,238117640,0,0
7154,765684315,238117724,0,0
8152,765684315,238117724,0,0
9181,765684315,238117724,0,0
10201,765684315,238117724,0,0
11201,765684315,238117724,0,0
12201,765684387,238117724,0,0
13283,765684387,238117724,0,0
14254,765684476,238117902,0,0
15260,765684476,238117902,0,0
16261,765689815,238120102,0,0
17283,765695523,238126986,0,0
18301,765695761,238127026,0,0
19301,765695761,238127026,0,0
20300,765695917,238127338,0,0
21319,765711136,238128699,0,0
22301,765741136,238129499,0,0
23303,765749228,238129739,0,0
24301,765749228,238129739,0,0
25330,765749228,238129739,0,0
26303,765749228,238129739,0,0
27304,765749228,238129739,0,0
28308,765749228,238129739,0,0
29337,765749228,238129739,0,0
