time,hPa
67,1014.11359
1065,1014.12262
2244,1014.10266
3101,1014.13263
4101,1014.13263
5171,1014.13263
6151,1014.12262
7154,1014.13263
8152,1014.14258
9180,1014.14258
10200,1014.14258
11201,1014.13373
12201,1014.13263
13261,1014.13263
14253,1014.14258
15260,1014.13263
16261,1014.12262
17282,1014.11261
18301,1014.09265
19301,1014.07263
20300,1014.06262
21318,1014.07263
22301,1014.07611
23303,1014.08264
24300,1014.08264
25329,1014.07263
26303,1014.07611
27304,1014.05267
28307,1014.06262
29335,1014.06262
