time,distance
67,5.00000
91,5.00000
145,5.00000
190,5.00000
240,5.00000
290,5.00000
340,5.00000
390,5.00000
440,5.00000
490,5.00000
540,5.00000
590,5.00000
640,5.00000
690,5.00000
740,5.00000
790,5.00000
840,5.00000
890,5.00000
940,5.00000
990,5.00000
1064,5.00000
1092,5.00000
1140,5.00000
1191,5.00000
1241,5.00000
1291,5.00000
1340,5.00000
1390,5.00000
1440,5.00000
1489,5.00000
1540,5.00000
1590,5.00000
1640,5.00000
1690,5.00000
1740,5.00000
1791,5.00000
1853,5.00000
1890,5.00000
1940,5.00000
1990,5.00000
2244,5.00000
2245,5.00000
2290,5.00000
2340,5.00000
2390,5.00000
2440,5.00000
2490,5.00000
2540,5.00000
2590,5.00000
2640,5.00000
2690,5.00000
2740,5.00000
2790,5.00000
2840,5.00000
2890,5.00000
2940,5.00000
2990,5.00000
3040,5.00000
3101,5.00000
3140,5.00000
3190,5.00000
3240,5.00000
3290,5.00000
3340,5.00000
3390,5.00000
3440,5.00000
3490,5.00000
3540,5.00000
3590,5.00000
3640,5.00000
3690,5.00000
3740,5.00000
3790,5.00000
3840,5.00000
3889,5.00000
3939,5.00000
3990,5.00000
4039,5.00000
4101,5.00000
4140,5.00000
4190,5.00000
4240,5.00000
4291,5.00000
4340,5.00000
4390,5.00000
4440,5.00000
4490,5.00000
4540,5.00000
4590,5.00000
4640,5.00000
4690,5.00000
4740,5.00000
4790,5.00000
4840,5.00000
4890,5.00000
4940,5.00000
4990,5.00000
5040,5.00000
5089,5.00000
5171,5.00000
5192,5.00000
5240,5.00000
5290,5.00000
5339,5.00000
5389,5.00000
5441,5.00000
5489,5.00000
5539,5.00000
5590,5.00000
5640,5.00000
5690,5.00000
5740,5.00000
5790,5.00000
5840,5.00000
5890,5.00000
5940,5.00000
5989,5.00000
6039,5.00000
6090,5.00000
6151,5.00000
6190,5.00000
6240,5.00000
6291,5.00000
6340,5.00000
6390,5.00000
6440,5.00000
6490,5.00000
6540,5.00000
6590,5.00000
6642,5.00000
6691,5.00000
6741,5.00000
6790,5.00000
6839,5.00000
6890,5.00000
6940,5.00000
6990,5.00000
7040,5.00000
7090,5.00000
7154,5.00000
7191,5.00000
7240,5.00000
7290,5.00000
7340,5.00000
7390,5.00000
7440,5.00000
7490,5.00000
7540,5.00000
7590,5.00000
7640,5.00000
7690,5.00000
7740,5.00000
7790,5.00000
7840,5.00000
7890,5.00000
7940,5.00000
7990,5.00000
8040,5.00000
8090,5.00000
8152,5.00000
8190,5.00000
8240,5.00000
8290,5.00000
8341,5.00000
8390,5.00000
8440,5.00000
8490,5.00000
8540,5.00000
8590,5.00000
8639,5.00000
8690,5.00000
8740,5.00000
8792,5.00000
8840,5.00000
8890,5.00000
8941,5.00000
8990,5.00000
9040,5.00000
9090,5.00000
9180,5.00000
9190,5.00000
9241,5.00000
9289,5.00000
9339,5.00000
9390,5.00000
9440,5.00000
9490,5.00000
9549,5.00000
9590,5.00000
9639,5.00000
9691,5.00000
9740,5.00000
9790,5.00000
9840,5.00000
9889,5.00000
9939,5.00000
9990,5.00000
10040,5.00000
10090,5.00000
10140,5.00000
10200,5.00000
10240,5.00000
10290,5.00000
10340,5.00000
10390,5.00000
10440,5.00000
10490,5.00000
10539,5.00000
10590,5.00000
10641,5.00000
10690,5.00000
10740,5.00000
10791,5.00000
10839,5.00000
10889,5.00000
10940,5.00000
10990,5.00000
11040,5.00000
11091,5.00000
11140,5.00000
11201,5.00000
11240,5.00000
11290,5.00000
11340,5.00000
11390,5.00000
11440,5.00000
11490,5.00000
11540,5.00000
11638,5.00000
11690,5.00000
11740,5.00000
11790,5.00000
11840,5.00000
11890,5.00000
11940,5.00000
11989,5.00000
12040,5.00000
12090,5.00000
12139,5.00000
12201,5.00000
12242,5.00000
12290,5.00000
12340,5.00000
12390,5.00000
12440,5.00000
12490,5.00000
12540,5.00000
12590,5.00000
12640,5.00000
12690,5.00000
12740,5.00000
12790,5.00000
12840,5.00000
12891,5.00000
12940,5.00000
12990,5.00000
13040,5.00000
13090,5.00000
13140,5.00000
13190,5.00000
13261,5.00000
13291,5.00000
13339,5.00000
13389,5.00000
13439,5.00000
13489,5.00000
13540,5.00000
13590,5.00000
13640,5.00000
13690,5.00000
13740,5.00000
13790,5.00000
13840,5.00000
13890,5.00000
13940,5.00000
13990,5.00000
14040,5.00000
14090,5.00000
14139,5.00000
14190,5.00000
14253,5.00000
14290,5.00000
14340,5.00000
14391,5.00000
14440,5.00000
14491,5.00000
14540,5.00000
14590,5.00000
14640,5.00000
14690,5.00000
14740,5.00000
14791,5.00000
14840,5.00000
14890,5.00000
14940,5.00000
14990,5.00000
15039,5.00000
15090,5.00000
15140,5.00000
15195,5.00000
15260,5.00000
15294,5.00000
15340,5.00000
15390,5.00000
15440,5.00000
15490,5.00000
15540,5.00000
15590,5.00000
15640,5.00000
15690,5.00000
15740,5.00000
15790,5.00000
15840,5.00000
15890,5.00000
15940,5.00000
15990,5.00000
16040,5.00000
16089,5.00000
16139,5.00000
16189,5.00000
16261,5.00000
16290,5.00000
16340,5.00000
16391,5.00000
16440,5.00000
16490,5.00000
16540,5.00000
16590,5.00000
16640,5.00000
16690,5.00000
16740,5.00000
16791,5.00000
16840,5.00000
16890,5.00000
16940,5.00000
16990,5.00000
17042,5.00000
17090,5.00000
