time,dB(SPL)
67,26.44439
90,25.57507
145,25.57507
190,25.57507
240,25.57507
290,25.57507
340,25.57507
390,26.44439
439,26.44439
490,26.44439
540,25.57507
589,25.57507
639,26.44439
690,25.57507
740,25.57507
790,25.57507
840,26.44439
890,26.44439
939,25.57507
990,25.57507
1064,25.57507
1091,26.44439
1139,26.44439
1191,26.44439
1240,25.57507
1289,25.57507
1339,25.57507
1389,25.57507
1439,25.57507
1489,25.57507
1540,25.57507
1590,25.57507
1640,25.57507
1689,26.44439
1739,25.57507
1790,25.57507
1853,25.57507
1890,25.57507
1940,25.57507
1990,26.44439
2243,25.57507
2244,25.57507
2290,26.44439
2340,25.57507
2390,25.57507
2440,25.57507
2490,26.44439
2540,25.57507
2589,26.44439
2639,26.44439
2690,25.57507
2740,26.44439
2790,25.57507
2840,25.57507
2890,25.57507
2939,25.57507
2990,25.57507
3039,25.57507
3100,25.57507
3140,25.57507
3190,25.57507
3240,25.57507
3290,26.44439
3340,25.57507
3390,25.57507
3440,26.44439
3490,25.57507
3540,26.44439
3590,25.57507
3640,25.57507
3690,25.57507
3739,25.57507
3789,25.57507
3839,25.57507
3889,26.44439
3939,26.44439
3990,26.44439
4039,25.57507
4101,25.57507
4140,25.57507
4190,25.57507
4240,25.57507
4291,25.57507
4340,25.57507
4390,25.57507
4440,25.57507
4490,25.57507
4540,25.57507
4590,25.57507
4640,25.57507
4690,26.44439
4740,25.57507
4790,25.57507
4840,25.57507
4890,26.44439
4939,25.57507
4989,26.44439
5039,25.57507
5089,26.44439
5150,25.57507
5191,26.44439
5239,26.44439
5289,26.44439
5339,26.44439
5389,26.44439
5440,25.57507
5489,26.44439
5539,25.57507
5590,26.44439
5640,25.57507
5690,25.57507
5740,25.57507
5789,25.57507
5839,25.57507
5889,25.57507
5939,26.44439
5989,25.57507
6039,26.44439
6090,25.57507
6151,25.57507
6190,26.44439
6240,25.57507
6290,25.57507
6340,25.57507
6390,26.44439
6440,26.44439
6490,25.57507
6540,26.44439
6590,26.44439
6642,25.57507
6691,25.57507
6740,25.57507
6789,25.57507
6839,25.57507
6890,25.57507
6940,25.57507
6990,25.57507
7040,25.57507
7090,26.44439
7153,26.44439
7190,26.44439
7239,25.57507
7290,26.44439
7339,26.44439
7389,26.44439
7440,25.57507
7490,25.57507
7539,25.57507
7589,26.44439
7639,25.57507
7689,26.44439
7740,25.57507
7790,25.57507
7840,25.57507
7890,25.57507
7940,25.57507
7989,26.44439
8040,26.44439
8090,25.57507
8152,26.44439
8190,26.44439
8240,26.44439
8289,26.44439
8340,26.44439
8389,25.57507
8439,25.57507
8490,25.57507
8540,25.57507
8590,26.44439
8639,26.44439
8689,26.44439
8740,25.57507
8791,26.44439
8839,26.44439
8890,26.44439
8940,26.44439
8989,25.57507
9040,26.44439
9090,26.44439
9154,25.57507
9190,26.44439
9240,25.57507
9289,25.57507
9339,25.57507
9390,25.57507
9440,25.57507
9490,25.57507
9548,26.44439
9589,26.44439
9639,25.57507
9690,25.57507
9739,25.57507
9789,25.57507
9839,25.57507
9889,26.44439
9939,25.57507
9990,25.57507
10040,25.57507
10090,26.44439
10140,25.57507
10200,25.57507
10240,25.57507
10290,26.44439
10340,25.57507
10390,25.57507
10439,25.57507
10489,25.57507
10539,26.44439
10590,25.57507
10640,25.57507
10689,25.57507
10740,38.68997
10790,26.84845
10839,25.10545
10889,25.57507
10940,25.57507
10990,25.57507
11040,25.57507
11090,25.57507
11140,26.84845
11201,26.44439
11240,25.57507
11290,26.44439
11339,25.57507
11389,25.57507
11439,25.57507
11490,25.57507
11540,25.57507
11638,25.57507
11690,26.44439
11740,25.57507
11790,26.44439
11839,25.57507
11889,25.57507
11939,25.57507
11989,25.57507
12040,27.23456
12090,26.44439
12139,25.57507
12201,26.44439
12241,26.44439
12289,56.56030
12339,28.29947
12390,26.44439
12440,25.57507
12490,25.57507
12540,25.57507
12589,25.57507
12639,26.84845
12689,25.57507
12739,35.98681
12790,25.57507
12840,25.57507
12891,26.44439
12940,25.57507
12990,39.08485
13040,40.34067
13090,29.82723
13140,25.57507
13190,25.57507
13261,25.57507
13290,41.36372
13339,26.44439
13389,25.57507
13439,25.57507
13489,60.86725
13540,62.81016
13590,32.25568
13640,25.57507
13690,25.57507
13740,25.57507
13789,29.24796
13839,25.10545
13889,25.57507
13939,25.10545
13989,25.57507
14039,26.44439
14089,25.57507
14139,25.57507
14189,26.44439
14253,25.57507
14290,25.57507
14340,25.10545
14390,24.60898
14440,25.57507
14490,25.57507
14539,25.57507
14590,25.57507
14640,25.57507
14690,25.57507
14740,25.57507
14791,25.57507
14840,26.44439
14890,25.57507
14940,25.57507
14989,25.57507
15039,25.57507
15090,25.57507
15140,25.57507
15194,25.57507
15256,25.10545
15293,25.57507
15339,29.82723
15390,25.57507
15440,25.57507
15490,26.44439
15540,25.57507
15590,25.57507
15639,25.10545
15689,25.57507
15739,25.57507
15790,25.57507
15840,25.57507
15889,25.57507
15939,25.57507
15989,63.22736
16039,37.95254
16089,26.84845
16139,32.66937
16189,32.46499
16260,38.16970
16289,30.62958
16340,25.10545
16390,25.57507
16439,26.44439
16490,25.57507
16539,26.44439
16590,25.57507
16640,26.44439
16690,25.57507
16740,25.57507
16790,25.57507
16839,25.57507
