time,x,y,z
34,0.45111,10.01941,1.56209
73,0.40352,9.75005,2.17586
123,-0.02936,9.70663,0.87106
173,0.26215,9.77510,1.53372
222,0.11417,9.78790,1.43214
273,0.05376,9.70734,1.14252
322,0.20332,9.79410,1.24469
372,-0.00023,9.67871,1.10814
423,0.18112,9.73010,1.39905
473,0.05481,9.70953,1.33989
523,0.04489,9.81293,1.10963
573,0.13159,9.77968,1.43248
623,-0.00803,9.76151,1.18266
673,0.21327,9.76886,1.18076
723,0.21268,9.80806,1.31877
773,0.06226,9.74214,1.29202
822,0.06029,9.77957,1.38437
873,0.07129,9.73247,1.09438
923,0.05843,9.74141,1.05666
973,0.05879,9.72617,1.22504
1046,0.07582,9.77095,1.09685
1077,0.17119,9.75018,1.28587
1122,-0.04143,9.73268,1.16673
1173,0.04784,9.76184,1.22833
1222,0.08502,9.80611,1.10696
1272,0.16948,9.73410,1.05562
1322,0.05130,9.80382,1.13831
1372,-0.01457,9.82239,1.09174
1422,0.19943,9.82014,1.24951
1473,0.01048,9.74338,0.86525
1523,0.04630,9.77344,1.05318
1572,0.16728,9.82484,1.21214
1623,-0.00885,9.73854,0.89845
1674,0.09857,9.85110,1.11932
1723,0.04538,9.76372,1.02216
1772,0.12427,9.80472,0.96292
1823,0.11296,9.83453,1.07550
1873,0.12596,9.81055,0.97247
1922,0.12215,9.77847,0.90459
1973,0.09709,9.79605,0.91679
2035,0.14734,9.80159,1.09277
2073,0.10416,9.84679,1.05791
2123,-0.01593,9.75461,0.72560
2173,0.34903,9.90414,1.33797
2222,-0.02692,9.76170,0.55006
2273,0.17542,9.82932,0.86551
2323,0.16316,9.77995,1.00357
2373,-0.06660,9.79683,0.84631
2423,-0.16132,9.60872,-0.20554
2473,0.02751,9.57445,1.57802
2522,-0.15297,9.23032,0.25836
2572,-0.26622,9.28831,3.34100
2623,0.70752,9.30089,3.68269
2674,-0.24014,8.70569,4.23853
2723,0.71173,8.62508,4.26125
2772,0.55310,8.51443,4.47237
2823,0.84203,7.65974,4.94844
2873,0.53038,7.38963,6.62735
2922,-0.28348,6.45299,6.74187
2974,0.64558,5.61482,7.67867
3036,-0.42699,5.02586,7.16487
3073,0.26617,4.48576,8.84911
3123,0.17441,3.91112,8.71564
3172,0.65378,3.33470,9.59045
3223,0.11647,2.81009,9.53897
3273,1.04199,2.54224,10.62534
3323,0.69737,2.06841,9.50523
3373,0.63332,1.50764,10.65176
3422,0.45709,1.15886,9.49634
3473,0.27222,0.73196,10.09340
3523,-0.00609,0.34801,10.39153
3574,0.23936,0.06358,10.13422
3623,-0.10239,0.01622,10.15199
3673,-0.10971,-0.15334,10.24771
3723,-0.03412,0.00328,9.99855
3775,-0.23848,-0.12706,10.30524
3823,0.04907,-0.04962,9.59665
3873,-0.03735,-0.01024,9.95709
3923,0.13072,-0.06606,9.71370
3974,-0.06433,-0.00487,9.64629
4037,-0.12927,-0.10773,9.84514
4072,-0.10553,-0.08226,9.81076
4123,0.04059,-0.01936,9.73357
4172,-0.18796,-0.06100,9.67085
4222,-0.19170,-0.12267,9.94742
4273,0.09442,-0.04201,9.82889
4323,-0.12891,-0.16646,9.81160
4372,-0.08220,-0.06822,9.80861
4422,-0.09251,-0.10204,9.71027
4473,0.00662,-0.10580,10.06549
4523,-0.02736,-0.14784,9.60080
4574,-0.02403,-0.00636,10.04395
4622,-0.02034,0.02614,9.81679
4673,-0.03003,0.10800,10.48657
4723,0.22697,0.42361,9.81929
4774,-0.12860,0.68985,10.26758
4823,0.10165,1.10049,10.15787
4873,0.49245,1.54941,10.52338
4923,-0.11140,1.67448,9.91960
4973,0.44609,2.43784,9.94836
5023,-0.65811,2.71301,9.36591
5089,0.12865,3.69403,8.92778
5125,-0.06770,3.86548,9.10364
5173,0.27034,4.65871,8.55807
5223,0.04396,4.98964,8.69150
5272,0.54446,5.67610,8.61900
5323,-0.24600,5.84634,7.63062
5373,0.43121,6.53172,8.11575
5423,-0.20166,6.67471,6.35800
5473,0.32008,7.44031,6.68588
5523,0.61632,7.76904,5.96866
5573,0.20381,7.94006,5.20412
5623,0.59685,8.46008,6.20210
5673,-0.21471,8.32712,4.55121
5723,0.34380,8.80736,4.27629
5773,0.10661,8.71819,4.24782
5823,0.17816,9.13834,3.28790
5873,0.14601,9.10054,3.51776
5923,0.41107,9.33987,2.22618
5973,0.23436,9.40346,3.02287
6023,0.13353,9.49942,2.12590
6085,0.61987,9.70183,2.44792
6122,0.22427,9.37975,1.67073
6173,0.35617,9.61050,2.20435
6223,0.27570,9.52080,1.02042
6273,0.20453,9.65770,1.42259
6322,0.28194,9.71167,1.35678
6372,0.15898,9.64792,1.40178
6423,0.27013,9.63345,1.52814
6473,0.49553,9.85796,1.29018
6522,0.41988,9.76076,1.40294
6573,0.33000,9.81790,1.16566
6622,0.25089,9.73146,1.09315
6673,0.44591,9.83464,1.58044
6723,0.16444,9.74399,0.92584
6772,0.06367,9.63220,1.08879
6823,0.56372,9.88600,1.15466
6872,0.18248,9.77931,0.91541
6922,0.61972,9.90140,1.15022
6973,0.59966,9.96091,1.04308
7023,0.27078,9.80475,1.15347
7085,0.46068,9.89148,1.59766
7123,0.32814,9.79456,0.80594
7177,0.11755,9.79398,1.30707
7223,0.29503,9.98425,0.96555
7273,0.22643,9.99553,0.87648
7323,-0.34749,9.77724,0.39041
7373,-0.56651,9.94084,0.53145
7423,-0.81750,9.68942,0.40376
7472,-1.19727,9.58728,1.11055
7523,-2.01567,9.40779,1.55023
7574,-2.48495,9.35802,1.90279
7623,-2.74112,9.24190,0.84537
7673,-2.62012,9.35298,1.65350
7723,-3.01955,9.13589,1.11659
7773,-3.83241,8.69653,1.45847
7822,-3.88109,8.80011,1.30470
7872,-4.45728,8.39877,1.09381
7922,-4.87912,8.28809,1.68884
7973,-5.00175,8.39992,2.22835
8025,-4.91902,8.58902,2.32149
8084,-5.88667,7.76524,1.38124
8123,-5.66512,7.37869,1.55336
8173,-6.48972,7.04391,1.74873
8223,-6.93764,6.54707,1.39702
8272,-6.98302,6.35194,1.77795
8322,-7.19524,6.20525,2.55029
8373,-7.35132,5.89774,1.77649
8423,-7.51816,5.87788,2.99188
8473,-7.88586,5.44963,2.30199
8523,-7.72583,5.24297,2.74187
8573,-8.24297,4.86226,2.48686
8623,-8.23665,4.56645,1.92688
8673,-8.00914,4.55197,2.80542
8723,-8.50783,4.03368,2.33667
8773,-8.61310,3.64299,2.37627
8822,-8.92719,3.41881,2.57851
8874,-8.57945,2.83981,1.78957
8923,-9.33813,2.64706,2.85143
8974,-9.29362,2.49434,3.44005
9024,-9.15579,2.35719,2.69034
9093,-8.97107,1.99121,2.95363
9135,-8.97107,1.99121,2.95363
9173,-9.39673,1.52441,2.31233
9222,-9.16737,1.13333,2.62305
9272,-9.47638,0.52985,2.45224
9322,-9.25424,0.63213,2.59679
9373,-9.08174,0.61108,2.32532
9423,-9.21138,0.24054,3.03673
9473,-10.06636,-0.02577,2.79247
9524,-10.05330,-0.43491,2.48817
9573,-9.35115,0.05061,2.46925
9622,-9.32571,-0.03552,2.61676
9673,-9.62599,-0.01837,2.69145
9723,-9.49800,-0.14441,2.59010
9773,-9.43053,-0.04012,2.36659
9822,-9.44141,-0.10350,2.43715
9873,-9.52774,-0.04361,2.32095
9922,-9.55199,-0.20409,2.46364
9976,-9.41234,-0.01648,2.19362
10023,-9.50183,0.01289,2.63536
10085,-9.06143,0.24673,2.99542
10123,-9.61417,-0.15323,2.83690
10173,-9.45804,-0.14508,2.60168
10223,-9.60298,-0.12387,2.34390
10272,-9.65910,0.00600,2.61458
10323,-9.67970,-0.22554,2.55634
10374,-9.70181,0.13628,2.47095
10424,-9.41316,0.66949,2.20796
10477,-9.48195,0.84039,2.30006
10523,-9.42577,1.39954,2.41121
10573,-9.70583,1.73370,1.92218
10623,-8.80988,2.73299,2.47711
10673,-9.32478,2.82491,1.52867
10722,-8.87662,3.45428,1.58473
10772,-8.46667,4.32428,1.91312
10822,-7.99490,4.62732,1.02414
10873,-7.62657,5.32140,2.34358
10923,-7.59193,5.76329,1.19806
10973,-7.32893,6.05634,2.07657
11023,-7.54478,6.05031,1.57402
11089,-7.07227,6.59109,1.72121
11123,-7.21530,6.51051,1.50526
