time,azimuth
35,-98
74,-90
123,-104
173,-92
223,-95
273,-98
323,-98
373,-98
423,-97
473,-96
523,-102
574,-99
624,-97
678,-94
723,-98
774,-96
823,-98
873,-101
923,-93
974,-96
1046,-96
1079,-99
1123,-99
1174,-90
1223,-96
1273,-95
1323,-98
1373,-100
1423,-94
1473,-97
1524,-99
1573,-95
1623,-96
1674,-97
1724,-91
1773,-90
1823,-91
1874,-94
1923,-96
1974,-92
2036,-93
2074,-97
2124,-93
2174,-95
2223,-92
2273,-92
2323,-93
2374,-98
2423,-108
2474,-95
2523,-98
2573,-98
2623,-87
2674,-103
2724,-88
2773,-88
2823,-88
2875,-99
2923,-96
2976,-91
3037,-97
3074,-97
3124,-93
3173,-93
3223,-104
3274,-98
3323,-94
3374,-99
3423,-101
3477,-102
3524,-100
3575,-99
3624,-98
3675,-99
3724,-99
3776,-103
3824,-100
3874,-98
3924,-98
3974,-99
4037,-102
4073,-99
4124,-103
4173,-103
4223,-104
4273,-98
4324,-103
4373,-103
4423,-105
4473,-100
4523,-104
4574,-103
4623,-103
4675,-100
4724,-97
4774,-94
4824,-100
4874,-89
4924,-102
4973,-95
5024,-107
5094,-97
5126,-101
5174,-94
5224,-99
5273,-95
5324,-105
5374,-95
5424,-108
5473,-93
5524,-92
5574,-104
5626,-86
5677,-110
5724,-97
5773,-97
5824,-98
5873,-104
5923,-100
5974,-102
6024,-104
6086,-95
6123,-105
6174,-96
6224,-95
6274,-97
6323,-106
6373,-98
6423,-96
6474,-91
6523,-94
6574,-92
6623,-101
6674,-93
6724,-97
6773,-97
6823,-87
6873,-100
6923,-91
6974,-90
7023,-90
7086,-91
7123,-89
7178,-95
7224,-92
7276,-92
7324,-92
7374,-101
7424,-92
7473,-105
7523,-104
7575,-97
7623,-103
7676,-95
7723,-87
7775,-107
7823,-95
7873,-108
7923,-98
7975,-94
8025,-81
8084,-98
8123,-90
8173,-94
8223,-102
8273,-95
8323,-82
8373,-91
8423,-77
8473,-79
8523,-74
8574,-78
8624,-81
8674,-70
8724,-66
8773,-68
8823,-66
8874,-58
8924,-56
8974,-43
9025,-46
9094,-34
9136,-34
9174,-45
9223,-20
9273,-11
9323,-15
9374,-10
9423,-6
9474,5
9525,10
9576,6
9623,11
9679,13
9723,12
9776,10
9823,12
9874,14
9923,11
9976,12
10024,12
10086,13
10123,16
10175,12
10224,7
10273,19
10324,9
10375,5
10425,-2
10477,-8
10523,-17
10573,-24
10623,-35
10673,-50
10723,-66
10773,-56
10823,-61
10874,-57
10924,-73
10974,-70
11024,-82
11092,-74
11124,-87
11173,-81
11224,-78
11274,-80
11324,-80
11373,-81
11424,-83
11474,-84
11524,-86
11574,-93
11624,-80
11676,-83
11724,-86
11774,-85
11824,-84
11874,-87
11924,-90
11974,-83
12025,-86
12089,-83
12123,-87
12175,-94
12224,-95
12273,-94
12324,-98
12372,-96
12422,-91
12473,-97
12524,-86
12573,-98
12624,-95
12674,-92
12723,-98
12775,-96
12823,-93
12874,-98
12923,-99
12974,-93
13026,-100
13086,-96
13124,-96
13173,-99
13223,-97
13273,-102
13323,-99
13374,-89
13423,-92
13473,-95
13523,-95
13574,-90
13624,-99
13674,-93
13723,-103
13773,-73
13824,-85
13873,-71
13924,-68
13973,-83
14023,-55
14085,-66
14123,-43
14175,-32
14223,-37
14273,-28
14323,-8
14373,-16
14423,18
14473,12
14523,-16
14573,37
14623,11
14674,38
14723,29
14773,41
14823,45
14873,31
14924,28
14973,29
15024,21
15086,27
15123,32
15174,37
15223,23
15273,30
15323,17
15373,32
15424,27
15473,23
15524,36
15573,21
15624,38
15673,22
15724,31
15774,28
15824,27
15873,27
15924,31
15974,26
16023,20
16086,20
16128,5
16173,7
16224,26
16274,1
16323,-1
16373,-15
16423,-21
16473,-30
16523,-32
16575,-23
16623,-26
16675,-51
16724,-50
16774,-53
16824,-44
16873,-101
16923,-78
16974,-83
17025,-77
17089,-87
17125,-80
17175,-93
17223,-96
17273,-96
17323,-96
17373,-94
17423,-96
17473,-94
17523,-90
17575,-86
17623,-91
17674,-90
17724,-89
17773,-90
17824,-98
17873,-94
17924,-88
17974,-94
18025,-87
18088,-102
18124,-89
18173,-98
18224,-90
18274,-91
18323,-89
18376,-96
18423,-100
18473,-101
18523,-96
