time,x,y,z
35,-0.10886,-0.06651,0.05264
74,0.04146,-0.08037,-0.03152
123,0.00252,0.10756,-0.07158
173,-0.02841,0.03540,-0.01913
222,0.01688,0.05139,-0.04745
273,0.01349,-0.00684,-0.00455
323,0.05301,0.01906,-0.00206
373,-0.00137,0.00044,-0.01434
423,0.01082,-0.01903,0.00467
473,0.01047,0.00743,0.00493
523,-0.00354,-0.02214,0.00464
574,-0.00259,0.02841,-0.00496
623,0.03523,-0.02927,0.00488
677,-0.00189,0.02028,0.00255
723,0.02332,0.00827,-0.01418
774,-0.00171,0.02115,-0.00844
823,-0.00383,0.00925,-0.00014
873,0.03017,-0.02345,0.00903
923,0.01309,0.00941,-0.00426
974,0.03143,-0.00397,-0.00523
1046,0.03107,0.01567,-0.00526
1078,0.01663,0.00044,0.00673
1123,-0.01572,0.01059,-0.01147
1173,0.01285,-0.01248,-0.01201
1223,0.00372,-0.00009,0.00488
1272,0.02003,-0.02722,-0.00587
1323,-0.01530,0.02888,-0.01434
1373,0.01509,-0.01764,0.00140
1423,0.02414,-0.01236,0.00652
1473,0.02441,-0.00887,-0.00725
1524,-0.01967,-0.03328,0.00916
1573,0.00517,-0.00984,0.00412
1623,0.02132,-0.05070,-0.00114
1674,-0.00645,-0.00577,0.01041
1724,0.02562,-0.03090,-0.00046
1773,0.00456,-0.02451,0.01466
1823,0.01643,-0.00443,0.01038
1874,0.01755,-0.00749,0.00800
1923,-0.00171,0.02109,-0.01099
1973,0.00272,-0.01083,0.00275
2036,-0.00343,-0.02530,0.02264
2074,0.01738,0.00099,-0.00983
2124,0.01096,0.00166,-0.01234
2173,0.02602,0.00916,-0.00180
2223,-0.00687,0.04929,-0.04234
2273,0.02037,-0.05363,0.00426
2323,-0.01732,0.03696,-0.02553
2374,-0.06444,0.01819,-0.01907
2423,-0.50026,0.11305,0.05232
2473,-0.86313,0.15315,0.03423
2523,-0.92586,0.22771,0.03111
2573,-1.77768,0.25577,0.26022
2623,-1.23111,-0.05341,0.20021
2674,-1.52977,0.13016,0.13403
2723,-1.37701,0.06464,0.11693
2773,-1.51759,-0.12454,0.02946
2823,-1.65662,0.05190,-0.07947
2875,-1.64987,-0.10791,-0.19257
2923,-1.80403,0.21501,-0.22989
2974,-1.55161,-0.22636,-0.15485
3037,-1.81078,0.26808,-0.13838
3074,-1.49982,-0.42220,0.03693
3123,-1.65941,-0.00848,0.07237
3173,-1.24854,-0.38519,0.17409
3223,-1.35312,-0.11627,0.19464
3273,-1.15363,-0.15863,0.25119
3323,-1.05869,0.34520,0.08191
3373,-0.87267,0.11037,0.06619
3423,-0.86063,0.44470,0.14317
3475,-0.61211,0.23647,0.06880
