time,x,y,z
34,-3.57666,-52.63672,9.35211
73,-2.99835,-53.21503,10.13947
123,-3.50189,-53.38135,8.99506
173,-1.82495,-53.71704,9.64813
222,-2.16064,-52.37579,8.64105
273,-2.07825,-52.96021,9.23767
323,-2.90527,-53.60565,8.95844
373,-2.83051,-53.38135,8.74634
423,-2.74200,-52.95715,8.10242
473,-1.82495,-53.71704,8.66699
523,-3.16620,-54.38690,8.66699
574,-3.33405,-53.54919,9.48486
623,-2.29187,-51.50146,10.30579
673,-2.49023,-53.32642,11.26709
723,-3.70026,-53.69873,10.18524
773,-2.32849,-53.21503,11.66687
823,-2.32849,-52.54364,8.50372
873,-3.33405,-53.88489,9.81140
923,-1.19324,-53.37677,8.07343
974,-2.36206,-53.14026,9.88617
1046,-1.92108,-52.73132,9.19189
1078,-1.82495,-53.04718,10.30273
1123,-2.83051,-53.04718,10.30273
1173,-0.65308,-54.22058,10.46600
1222,-1.96533,-52.27509,10.76660
1272,-2.26440,-52.47955,10.53009
1322,-3.04565,-53.01971,10.00214
1373,-2.65045,-52.92816,9.88617
1423,-2.18811,-52.94800,10.00366
1473,-1.82495,-53.71704,9.97620
1523,-2.83051,-52.04163,10.95581
1573,-2.33002,-52.40021,10.32715
1623,-1.71356,-52.34985,10.46600
1674,-2.32849,-52.20947,11.12061
1723,-0.65308,-53.17841,11.28845
1773,-0.65308,-53.21503,11.44714
1823,-0.48523,-52.37579,11.61041
1873,-1.72272,-51.75476,10.61707
1923,-2.88391,-52.53296,10.88104
1973,-0.98724,-51.53809,10.79254
2035,-1.40228,-53.20740,10.90393
2074,-2.66266,-51.87378,11.12061
2124,-1.82800,-53.71246,11.93542
2173,-2.06299,-53.48053,10.53467
2223,-0.63782,-52.41852,11.79047
2273,-0.65765,-54.17328,11.77063
2323,-1.65710,-52.20947,10.46600
2373,-1.82495,-53.04718,10.62927
2423,-2.32849,-51.87378,11.77368
2473,-1.90430,-53.24707,10.51483
2522,-2.27814,-52.25372,9.98993
2573,-1.82037,-53.37677,5.48859
2623,-2.25830,-53.95660,2.14233
2674,-3.94287,-52.99377,-0.38300
2723,-3.16620,-53.38135,-5.06439
2773,-3.50189,-53.24554,-8.08563
2823,-3.72162,-52.07977,-13.89618
2873,-4.44336,-51.56250,-15.54413
2923,-3.36914,-50.26703,-20.22552
2974,-3.17535,-48.32764,-24.58191
3036,-2.83051,-45.67413,-28.93219
3073,-4.33960,-43.15948,-31.71082
3123,-2.54822,-41.09192,-34.26666
3173,-3.81165,-37.86316,-36.79504
3223,-5.94940,-34.59015,-41.37726
3273,-5.51147,-33.27332,-41.68243
3323,-6.33698,-28.44543,-44.77081
3373,-5.84717,-26.23444,-45.60699
3423,-5.11627,-24.06769,-47.78748
3473,-5.12085,-21.77277,-49.01886
3523,-3.52783,-22.08557,-48.80066
3574,-3.99933,-19.49005,-48.91052
3624,-2.16064,-17.18445,-52.79999
3674,-1.99280,-17.01813,-51.32751
3723,-2.66266,-17.68799,-50.67444
3776,-3.01819,-17.68799,-50.67444
3823,-3.10059,-16.58325,-50.31433
3873,-1.82495,-16.51459,-50.83771
3924,-2.66266,-17.01813,-50.01984
3974,-2.96173,-16.21246,-50.49896
4037,-3.30505,-17.09137,-50.97198
4073,-2.40479,-16.14227,-51.00098
4123,-3.72314,-15.73334,-50.39825
4172,-3.18756,-16.49475,-50.10376
4223,-3.25165,-15.84167,-50.34485
4273,-2.99835,-16.68243,-50.34790
4323,-3.50189,-16.51459,-49.20349
4373,-3.57666,-16.54358,-51.14594
4423,-3.81927,-16.53290,-50.59662
4473,-2.77710,-15.58990,-50.20905
4523,-3.66211,-15.67688,-49.69635
4574,-4.00391,-17.35229,-51.98212
4623,-3.66821,-17.01813,-50.34790
4673,-2.84729,-17.44385,-51.08795
4724,-2.59399,-19.05365,-49.99695
4774,-1.39313,-18.48755,-48.93341
4824,-3.10822,-19.92645,-49.76654
4874,-2.49634,-20.87250,-48.87543
4923,-3.52325,-22.77679,-47.68219
4973,-2.87628,-26.63116,-46.85364
5024,-2.17590,-29.97894,-44.18488
5093,-2.40326,-33.09937,-41.44592
5125,-2.49634,-33.94318,-41.35590
5173,-2.16064,-35.61859,-39.72168
5223,-2.49634,-38.63525,-36.77826
5273,-3.70026,-40.57159,-33.83636
5323,-2.40326,-43.73016,-31.39038
5373,-3.17688,-44.21997,-28.91388
5423,-3.20435,-46.71783,-26.84174
5473,-2.07520,-48.28796,-22.99347
5524,-3.66821,-49.86267,-20.92133
5573,-3.50189,-49.69482,-18.46924
5623,-1.65710,-52.54364,-16.67175
5676,-3.96423,-50.96893,-12.28943
5723,-3.48816,-51.73187,-8.68835
5773,-3.48816,-51.73187,-8.68835
5823,-2.52533,-53.66974,-7.86591
5873,-3.50189,-53.04718,-4.73785
5923,-4.17175,-53.38135,-1.79443
5973,-4.02832,-53.96729,-1.16882
6023,-3.59497,-53.95966,-0.14191
6086,-3.33405,-54.22058,1.63879
6123,-4.00391,-54.55475,3.27301
6174,-3.83606,-54.72260,5.39856
6224,-3.93677,-53.70636,4.89044
6273,-3.17535,-53.49731,6.68182
6322,-4.56848,-53.50647,7.09229
6373,-3.41187,-53.13263,8.25653
6423,-3.28064,-52.85492,7.68738
6473,-2.83051,-53.38135,8.99506
6523,-2.99835,-52.87933,8.50372
6573,-2.16064,-53.71704,8.34045
6623,-3.86963,-52.87933,9.52606
6674,-3.45764,-53.00598,9.77478
6723,-2.69623,-52.70996,9.91516
6773,-2.83051,-52.04163,8.99506
6823,-1.49078,-52.04163,10.95581
6872,-2.88544,-52.09656,10.02960
6923,-3.30963,-53.17993,9.86786
6973,-3.33405,-53.21503,9.81140
7023,-2.16064,-52.71149,11.28387
7085,-2.81677,-51.86615,10.64453
7123,-1.82495,-53.04718,9.97620
7178,-2.09503,-52.34070,10.79254
7224,-2.02484,-52.57568,10.04333
7273,-1.61285,-52.58636,10.75592
7323,-0.15106,-52.37732,11.56464
7373,1.02386,-51.53809,10.79254
7423,2.53143,-51.70593,10.30273
7473,3.50800,-52.27203,10.66437
7523,5.88379,-52.37579,9.97620
7575,8.99963,-51.78833,10.22186
7623,10.62622,-51.08795,10.05249
7676,11.64856,-50.16022,9.73511
7723,15.43579,-49.19281,8.17719
7773,14.09454,-49.52698,8.83179
7822,18.23425,-48.60077,8.58002
7872,19.40155,-48.48022,8.21991
7923,21.71173,-45.26215,8.41522
7975,23.51990,-45.98999,8.53119
8025,26.37329,-44.93103,7.06940
8084,27.50092,-42.48962,7.85065
8123,29.51202,-41.81976,7.52411
8173,30.00946,-40.32288,7.03735
8223,33.03070,-39.51111,6.65131
8273,33.14362,-36.56158,5.50995
8323,36.04736,-35.24170,6.78558
8373,36.04736,-33.94318,4.74396
8423,37.05292,-32.60193,4.09088
8473,38.39264,-30.08575,3.67584
8523,39.25018,-28.76892,3.38898
8573,39.82544,-28.14026,3.43323
8623,41.07513,-27.57568,3.76282
8674,42.58270,-26.73645,2.61841
8723,42.91687,-21.63696,3.05634
8773,43.58826,-20.70465,1.96533
8823,44.11926,-19.99512,1.61896
8874,45.00732,-17.78412,2.78320
8923,44.54956,-15.33813,2.00806
8974,45.71838,-13.53302,0.97351
9024,46.74988,-11.71265,0.77209
9093,45.34912,-9.39941,1.71967
9136,45.34912,-9.39941,1.71967
9174,45.43152,-9.14154,0.49438
9223,46.32721,-4.49829,2.02332
9273,47.33124,-2.37427,1.62811
9323,48.95020,-2.94037,1.96533
9373,47.77832,-1.76849,2.12860
9423,46.95587,-1.23749,3.23486
9473,46.50421,1.15051,0.72784
