time,x,y,z
53,-1.29036,0.29100,10.00887
93,-1.29036,0.29100,10.00887
140,-0.78171,0.46565,9.48485
190,-1.07721,0.50499,9.84726
240,-0.99939,0.32286,9.67195
290,-0.82724,0.52420,9.99432
339,-0.97520,0.28474,9.73068
390,-1.24080,0.45213,9.61432
439,-1.24915,0.58275,9.73920
489,-1.11148,0.53609,10.17905
540,-1.11029,0.34248,9.61412
590,-1.18039,0.31094,9.84062
641,-1.22369,0.39275,9.69626
690,-1.05176,0.37477,9.75865
740,-1.29778,0.39273,9.91754
790,-1.08604,0.31374,9.69392
840,-1.16524,0.43091,9.87903
890,-1.12053,0.33922,9.77815
939,-1.05254,0.41208,9.81088
990,-1.09050,0.35593,9.64810
1040,-0.96388,0.32573,9.73810
1102,-1.24054,0.30466,9.56358
1139,-1.08527,0.28737,9.71530
1189,-1.13809,0.30885,9.83983
1240,-1.21017,0.19472,9.81828
1291,-1.15271,0.15746,9.75092
1341,-1.39053,-0.17653,9.34888
1391,-1.09958,-0.32713,9.86197
1439,-1.07851,-0.80092,9.20096
1489,-0.80644,-0.41978,8.19406
1539,-0.97586,-2.10611,9.72099
1589,-1.10320,-2.39980,8.85025
1640,-0.66063,-3.39616,8.89429
1690,-0.68358,-3.40617,9.34625
1740,0.02914,-3.47963,8.72388
1790,-0.78854,-5.16817,9.52469
1840,-0.19963,-5.37283,8.17744
1889,-0.32164,-5.86179,7.33162
1941,0.19058,-6.54047,6.83284
1990,0.07164,-6.83691,6.17085
2039,0.33220,-7.04132,6.12222
2102,-0.11366,-8.04521,6.27272
2140,0.26048,-8.35971,6.02390
2191,-0.26361,-8.68248,5.54990
2240,0.44298,-8.52713,5.13890
2290,0.26505,-8.74806,4.96078
2343,0.47603,-8.85992,4.41216
2389,0.56819,-8.70555,4.25996
2441,0.23384,-8.72791,4.38518
2490,0.35355,-8.79259,4.43352
2540,0.36957,-8.84343,4.42201
2590,0.46132,-8.86752,4.47609
2640,0.07478,-8.70250,4.71344
2690,0.18349,-8.65219,4.98582
2740,0.27657,-8.35744,5.48315
2790,-0.01924,-8.14980,5.87892
2839,0.01050,-7.79718,6.15829
2889,0.00346,-7.50153,6.54851
2940,-0.20847,-7.12959,7.18213
2991,-0.22505,-6.51945,7.47227
3040,-0.42027,-5.61505,7.74713
3089,-0.42867,-5.02663,8.34235
3155,-0.54161,-4.28540,8.65681
3191,-0.76082,-3.45055,8.98996
3242,-0.74646,-2.93884,9.24330
3290,-1.00887,-2.23596,9.57291
3340,-0.96164,-1.72697,9.35568
3390,-0.86510,-1.20952,9.55502
3444,-1.01898,-0.70538,9.54932
3490,-0.96269,-0.31001,9.41068
3540,-0.96611,-0.14276,9.44322
3590,-1.16168,-0.26628,9.62482
3639,-0.91216,-0.01489,9.92444
3690,-0.82721,0.02724,9.85838
3740,-1.07256,0.26060,9.86017
3790,-0.86374,0.38145,9.75035
3840,-0.88173,0.38225,9.58121
3889,-0.85703,0.24892,9.91713
3940,-0.87534,0.31085,9.78571
3990,-0.77222,0.17792,9.89346
4040,-1.01877,0.18910,10.00537
4090,-0.99953,0.22549,9.64085
4139,-0.89682,0.15739,9.70943
4205,-0.75809,0.09581,9.70921
4240,-0.94781,0.14195,9.64273
