time,level,voltage(mV),temperature(C),current(avg),current(instantaneous),charging
54,100,4326,28.9,-9223372036854775808,9438,1
1102,100,4326,28.9,-9223372036854775808,7572,1
2103,100,4326,28.9,-9223372036854775808,12620,1
3158,100,4326,28.9,-9223372036854775808,9438,1
4222,100,4326,28.9,-9223372036854775808,7572,1
5206,100,4326,28.9,-9223372036854775808,5048,1
6206,100,4326,28.9,-9223372036854775808,7572,1
7253,100,4326,28.9,-9223372036854775808,10097,1
8262,100,4326,28.9,-9223372036854775808,6913,1
9303,100,4326,28.9,-9223372036854775808,12620,1
10353,100,4326,28.9,-9223372036854775808,7572,1
11370,100,4326,28.9,-9223372036854775808,5596,1
