time,azimuth
54,16
94,16
140,10
191,17
240,21
291,16
340,9
391,10
440,16
490,11
540,12
591,13
641,17
691,15
741,13
792,11
841,15
895,11
940,11
990,12
1041,15
1102,11
1140,11
1190,20
1240,19
1291,14
1341,7
1392,8
1440,2
1490,7
1540,1
1590,1
1640,-7
1691,1
1741,6
1795,5
1841,-2
1890,-9
1941,-10
1991,2
2040,-9
2102,14
2141,6
2193,14
2241,3
2291,9
2343,6
2390,0
2441,7
2493,5
2541,8
2590,5
2640,9
2690,13
2740,19
2791,24
2840,24
2890,21
2940,27
2991,20
3041,19
3090,11
3158,18
3191,17
3242,19
3291,30
3340,19
3390,19
3445,19
3490,18
3540,20
3591,15
3640,12
3690,14
3740,17
3791,15
3841,13
3890,8
3941,16
3990,13
4041,16
4091,15
4140,12
4221,8
4241,15
4290,11
4341,12
4390,13
4440,10
4490,14
4540,12
4590,14
4641,14
4692,13
4741,15
4790,16
4840,15
4890,12
4941,11
4990,14
5041,14
5090,12
5140,9
5205,11
5240,15
5290,11
5341,14
5390,7
5441,16
5492,13
5540,18
5590,15
5640,9
5690,10
5741,9
5790,17
5840,14
5890,12
5941,10
5990,14
6040,9
6090,14
6140,17
6206,16
6240,11
6291,13
6341,11
6390,14
6440,12
6490,7
6541,11
6592,10
6640,12
6690,7
6741,17
6790,10
6841,13
6890,18
6940,9
6990,14
7040,10
7090,12
7140,9
7190,11
7252,9
7292,12
7340,10
7391,12
7440,11
7490,13
7540,10
7590,11
7640,16
7690,10
7740,12
7790,14
7840,12
7890,5
7940,4
7991,5
8040,13
8091,15
8140,26
8190,44
8262,42
8293,68
8340,68
8390,73
8440,90
8491,90
8540,84
8590,84
8641,76
8691,69
8740,75
8790,77
8840,73
8891,56
8940,46
8990,49
9041,53
9090,32
9141,36
9192,19
9240,19
9302,16
9341,10
9390,9
9441,9
9490,12
9540,15
9591,10
9640,2
9690,14
9741,14
9790,5
9840,7
9891,14
9940,14
9991,7
10040,5
10091,10
10140,12
10195,10
10241,4
10290,15
10353,14
10390,14
10441,11
10490,15
10541,12
10590,15
10641,15
10690,9
10740,15
10791,13
10841,11
10891,11
10941,12
10990,11
11040,9
11090,15
11140,8
11191,14
11240,14
11290,20
11370,36
11390,18
11440,14
11490,14
