time,x,y,z
54,0.09947,-0.06985,0.02304
94,0.09947,-0.06985,0.02304
140,0.15515,-0.04842,0.11208
191,0.21188,-0.08876,0.18727
240,0.11583,-0.07545,0.14960
290,-0.15561,0.11414,0.04179
339,-0.10838,0.25632,-0.03419
390,-0.03003,0.23993,-0.00937
440,-0.06950,0.12169,-0.02461
490,-0.08536,-0.07161,0.04979
540,-0.01340,-0.00826,-0.01523
590,-0.04716,-0.03978,0.01022
641,-0.04259,-0.00983,0.00993
691,-0.04900,-0.03088,0.01451
741,-0.00427,-0.06053,0.00336
791,-0.00093,-0.02626,-0.00211
840,-0.03008,-0.04724,-0.00191
895,-0.02280,-0.00665,0.00946
940,-0.03474,-0.00243,0.01479
990,-0.04890,0.02927,0.00323
1041,-0.04738,0.02043,0.00748
1102,-0.03036,0.00890,0.00960
1139,-0.05176,-0.02208,0.03244
1190,-0.10573,0.08804,-0.02870
1240,-0.15320,0.11050,-0.02477
1291,-0.22847,0.18706,0.00009
1341,-0.37325,0.09821,-0.01028
1392,-0.60678,-0.10681,-0.01251
1440,-1.00002,0.23622,-0.05414
1490,-1.22580,0.01074,-0.08501
1540,-1.20555,0.07379,-0.12445
1590,-1.21761,-0.09882,-0.20609
1640,-1.24400,-0.38933,-0.19016
1690,-1.31450,-0.29283,-0.16589
1740,-1.22385,-0.21330,-0.09877
1795,-1.12805,-0.24290,-0.08200
1840,-1.47359,-0.32190,-0.02460
1890,-1.50313,-0.19044,-0.04427
1941,-1.64101,-0.10631,-0.13196
1990,-1.55835,0.07841,-0.10251
2040,-1.61304,-0.22720,-0.15594
2102,-1.32153,-0.20001,-0.02084
2140,-1.26176,-0.10193,0.03964
2193,-0.59604,-0.22664,-0.11414
2241,-0.43376,-0.05617,0.00346
2290,-0.31987,-0.15324,-0.01027
2343,-0.26083,0.03181,0.03738
2390,-0.32008,-0.05811,0.02156
2441,-0.10538,0.02963,-0.02049
2493,0.01205,0.02423,0.00363
2541,0.09744,0.04189,0.00613
2590,0.12822,0.04680,0.01173
2640,0.34059,0.05130,0.03333
2690,0.51967,0.04881,0.06645
2740,0.86073,0.12242,0.08450
2790,1.13661,0.29437,0.10315
2840,1.36874,0.37581,0.19513
2890,1.54066,0.29126,0.21851
2940,1.62775,0.26395,0.23392
2991,1.78996,0.29184,0.16742
3041,1.86034,0.21487,0.12204
3090,1.84975,0.22784,0.14677
3156,1.69939,0.24345,0.12714
3191,1.42137,0.11925,0.08900
3242,1.28612,0.11261,0.10017
3291,1.09793,0.04668,0.07607
3340,1.00241,0.01141,0.11902
