time,lx
54,5.00000
94,5.00000
140,5.95010
191,6.00000
240,6.00000
290,6.00000
339,6.00000
390,6.00000
440,6.00000
490,5.04962
540,5.04962
591,5.95119
641,5.95119
691,5.95119
741,6.00000
791,6.00000
840,6.00000
895,6.00000
940,6.00000
990,6.00000
1041,6.00000
1102,6.00000
1140,6.00000
1190,6.00000
1240,6.00000
1291,6.00000
1341,6.00000
1392,6.00000
1440,6.00000
1490,6.00000
1540,6.00000
1590,7.90213
1640,7.90213
1691,7.90213
1741,11.80371
1795,11.80371
1840,20.49889
1890,20.49889
1941,29.55766
1991,29.55766
2040,31.87793
2102,31.87793
2140,28.23132
2193,28.23132
2241,20.39612
2290,20.39612
2343,16.25208
2390,16.25208
2441,14.10202
2493,14.10202
2541,13.05002
2590,13.05002
2640,13.00000
2690,13.00000
2740,13.95145
2791,13.95145
2840,17.80603
2890,17.80603
2940,21.77515
2991,21.77515
3041,23.90164
3090,23.90164
3158,22.11868
3191,22.11868
3242,12.50507
3291,12.50507
3340,8.19312
3390,8.19312
3445,6.11862
3490,6.11862
3540,6.00000
3590,6.00000
3640,5.04849
3690,5.04849
3740,5.00000
3791,5.00000
3841,5.00000
3890,5.00000
3941,5.00000
3990,5.00000
4041,5.00000
4090,5.00000
4140,5.00000
4221,5.00000
4240,5.00000
4290,5.00000
4341,5.00000
4390,5.00000
4440,5.00000
4490,5.00000
4540,5.00000
4590,5.00000
4641,5.00000
4692,5.00000
4741,5.00000
4790,5.00000
4840,5.00000
4890,5.00000
4941,5.00000
4990,5.00000
5041,5.00000
5090,5.00000
5140,5.00000
5205,5.00000
5240,5.00000
5290,5.00000
5341,4.05699
5390,4.05699
5441,4.00000
5491,4.00000
5540,4.00000
5590,4.00000
5640,4.00000
5690,4.00000
5741,4.00000
5790,4.00000
5840,4.00000
5890,4.00000
5941,4.00000
5990,4.00000
6040,4.00000
6090,4.00000
6140,4.00000
6206,4.00000
6240,4.00000
6291,4.00000
6341,4.00000
6390,4.00000
6440,4.00000
6490,4.00000
6541,4.00000
6592,4.00000
6640,4.00000
6690,4.00000
6740,4.00000
6790,4.00000
6841,4.00000
6890,4.00000
6940,4.00000
6990,4.00000
7040,4.00000
7090,4.00000
7140,4.00000
7190,4.00000
7252,4.00000
7292,4.00000
7340,4.00000
7390,4.00000
7440,4.00000
7490,4.00000
7540,4.00000
7590,4.00000
7640,4.00000
7690,4.00000
7740,4.00000
7790,4.00000
7840,4.00000
7890,4.00000
7940,4.00000
7991,4.00000
8040,4.00000
8090,4.94070
8140,5.00000
8190,5.00000
8262,4.04831
8293,4.04831
8340,4.04831
8390,4.00000
8440,4.00000
8490,4.00000
8540,4.00000
8590,4.00000
8641,4.00000
8690,4.00000
8740,4.00000
8790,4.95215
8840,4.95215
8890,5.00000
8940,5.00000
8990,5.00000
9041,5.00000
9090,5.00000
9141,5.00000
9192,5.94037
9240,5.94037
9302,6.00000
9341,6.00000
9390,6.95209
9440,6.95209
9490,7.00000
9540,7.00000
9591,7.00000
9640,7.00000
9690,7.00000
9741,7.00000
9790,6.05681
9840,6.05681
9890,6.95137
9940,6.95137
9991,7.00000
10040,7.00000
10090,7.00000
10140,7.00000
10195,6.04793
10240,6.04793
10290,6.00000
10353,6.00000
10390,6.00000
10440,6.00000
10490,6.00000
10541,6.00000
10590,6.00000
10641,6.00000
10690,6.00000
10740,6.00000
10791,6.00000
10841,6.00000
10891,6.00000
10941,6.00000
10990,6.00000
11039,6.00000
11090,6.00000
11140,6.00000
11190,6.00000
11240,6.00000
11290,6.00000
11363,6.00000
11390,6.00000
11440,6.00000
11490,5.04834
