time,x,y,z
54,21.66290,2.46429,-50.38147
93,21.66290,2.46429,-50.38147
140,21.66290,0.45319,-49.72687
191,20.98999,2.61230,-48.31085
240,19.51141,3.21808,-49.37134
290,19.72046,2.24915,-48.61908
339,19.70978,0.74005,-49.11041
390,21.83075,0.62103,-48.91052
440,22.50061,1.29089,-49.23706
490,21.83075,0.62103,-49.23706
540,21.16089,1.89362,-49.07990
590,21.49811,1.96228,-50.04883
641,20.98236,2.31781,-50.37079
690,21.46912,2.35596,-49.22943
740,21.83075,1.62659,-49.89014
791,20.92743,1.51520,-49.13635
840,19.92798,1.69220,-49.65668
894,22.07336,1.66473,-49.34998
940,22.07336,1.66473,-49.34998
990,21.58966,1.38550,-49.37592
1040,20.02563,2.46582,-49.23706
1102,21.83075,1.62659,-50.21820
1139,21.34399,1.46332,-50.05951
1190,20.64819,3.80554,-48.10638
1240,20.41321,3.77502,-48.83423
1291,20.27435,2.78015,-48.69080
1341,21.71936,2.57721,-49.24011
1391,23.00415,3.46985,-49.07379
1439,20.32318,4.81110,-48.74725
1489,21.10748,6.70166,-48.85864
1539,21.93756,10.84900,-48.05450
1590,21.63391,12.75177,-48.39020
1640,19.65179,14.53094,-47.76611
1690,19.98749,17.34009,-46.91010
1740,19.31763,22.23816,-45.15076
1791,18.81409,25.56610,-43.63251
1840,17.78717,27.70538,-43.04504
1889,17.42096,29.71344,-41.88690
1941,17.08832,33.56476,-39.84680
1990,16.97083,35.64453,-36.32202
2040,16.71143,36.67755,-34.81140
2102,13.99689,42.25159,-30.68390
2140,13.78632,42.51556,-30.27344
2193,15.08484,44.52667,-26.45264
2240,13.61542,46.04034,-26.84174
2290,13.65051,47.67151,-24.20197
2343,14.71558,46.21582,-23.39172
2389,13.22479,46.56372,-23.15979
2441,15.33356,47.43958,-21.82159
2493,13.62610,48.35968,-22.37854
2541,14.16626,46.82159,-21.23566
2590,13.91907,48.25745,-22.31445
2640,13.78632,46.87347,-22.75391
2690,12.61444,48.04535,-23.89832
2740,14.07166,46.91772,-23.40851
2790,13.63983,45.87097,-25.83923
2839,13.38501,45.26215,-27.79388
2890,15.22369,43.17932,-29.72717
2940,15.12756,42.51556,-32.23572
2991,17.13867,37.82349,-34.52454
3040,17.67883,35.13184,-38.55133
3090,16.96320,29.49982,-41.81824
3156,17.60254,27.97394,-43.41125
