time,dB(SPL)
53,36.77698
93,29.54243
140,25.57507
191,25.57507
240,25.57507
290,25.57507
339,25.57507
390,25.10545
439,25.57507
490,25.10545
540,25.57507
590,25.57507
641,25.57507
690,25.57507
740,25.57507
790,25.57507
840,25.57507
891,25.57507
939,25.57507
990,25.57507
1040,25.10545
1102,25.57507
1139,25.57507
1189,25.57507
1240,25.57507
1291,25.57507
1341,25.57507
1391,25.57507
1439,28.29947
1489,42.73441
1539,58.36061
1589,34.48552
1640,33.25516
1690,30.62958
1740,25.57507
1790,42.34543
1840,45.20143
1889,55.54854
1941,34.15140
1990,28.29947
2040,25.57507
2102,31.36403
2140,30.37028
2191,28.29947
2240,25.57507
2290,25.57507
2343,25.57507
2389,25.57507
2441,25.57507
2490,25.57507
2541,25.57507
2590,25.57507
2640,25.57507
2690,26.44439
2740,25.57507
2790,25.57507
2839,36.77698
2889,38.16970
2940,50.23767
2991,44.34968
3040,33.80392
3089,33.80392
3156,49.65747
3191,43.80663
3242,30.62958
3290,29.82723
3340,25.10545
3390,30.62958
3444,25.57507
3490,26.44439
3540,25.57507
3590,25.57507
3640,25.57507
3690,25.57507
3740,25.57507
3790,25.57507
3840,25.57507
3890,25.57507
3940,25.57507
3990,25.57507
4040,25.57507
4090,25.57507
4140,25.57507
4205,25.10545
4240,25.57507
4290,25.57507
4340,25.57507
4389,25.57507
4439,25.57507
4490,25.57507
4540,25.57507
4589,25.57507
4640,25.57507
4691,25.57507
4740,25.57507
4790,25.57507
4840,25.10545
4890,25.57507
4940,25.57507
4989,25.57507
5040,25.10545
5090,25.57507
5140,25.57507
5205,25.57507
5239,25.57507
5290,25.57507
5340,26.44439
5390,30.88136
5441,65.99015
5491,42.07607
5539,25.57507
5590,26.44439
5640,25.57507
5690,25.10545
5740,25.10545
5790,25.57507
5840,25.57507
5890,25.57507
5940,25.57507
5989,25.10545
6040,25.10545
6090,26.44439
6140,25.57507
6205,25.57507
6240,25.57507
6290,25.10545
6340,25.57507
6389,25.10545
6439,25.57507
6490,25.57507
6541,25.57507
6590,25.10545
6640,25.57507
6690,25.57507
6740,25.57507
6790,25.57507
6840,26.44439
6890,25.57507
6939,25.57507
6989,25.57507
7039,25.57507
7089,25.57507
7139,25.57507
7189,25.57507
7252,25.57507
7292,25.57507
7340,25.10545
7390,25.10545
7440,25.57507
7490,25.57507
7540,25.57507
7590,25.57507
7640,25.57507
7690,25.57507
7740,26.44439
7789,26.44439
7840,25.57507
7890,25.10545
7940,25.57507
7990,25.57507
8040,51.95390
8090,32.66937
8139,50.80659
8190,50.39656
8261,39.46256
8293,38.16970
8339,49.82723
8390,70.88384
8440,52.06289
8490,40.34067
8539,25.57507
8590,25.57507
8641,25.57507
8690,30.62958
8739,51.12605
8790,49.54243
8840,55.62074
8890,57.24263
8939,62.14420
8990,64.57827
9040,42.00741
9090,25.57507
9140,60.89080
9191,60.25674
9240,68.27605
9302,66.14992
9340,69.95517
9390,66.01191
9440,56.36452
9489,25.57507
9540,25.10545
9590,25.57507
9640,25.57507
9690,25.10545
9740,25.57507
9790,25.10545
9840,25.57507
9890,25.57507
9939,31.59567
9990,29.82723
10040,42.60668
10090,25.10545
10139,25.57507
10190,25.57507
10240,25.57507
10289,25.57507
10352,30.62958
10390,25.57507
10440,25.57507
10490,25.57507
10540,25.57507
10590,25.57507
10640,25.10545
10690,25.57507
10740,25.10545
10790,25.57507
10840,25.57507
10890,25.10545
10940,25.57507
10989,43.10672
11039,37.26646
11089,25.57507
11139,25.57507
11190,25.57507
11239,25.57507
11289,25.57507
11363,33.97940
11390,60.01735
11440,32.25568
11489,26.84845
