time,x,y,z
39,2.86028,3.45003,8.79881
89,2.87592,3.64149,9.04678
139,3.12685,3.57573,8.34354
189,2.97972,2.24623,8.78685
239,2.89462,2.15825,9.96399
288,2.89462,2.15825,9.96399
338,2.54039,2.30077,9.01918
389,2.96616,2.48878,9.20827
438,2.18842,2.34000,9.48038
488,2.13144,2.05602,9.33795
538,1.96628,1.96906,9.67378
600,1.94606,1.98419,9.28291
638,1.79692,2.04689,9.54791
688,1.60803,1.94258,9.51384
738,1.77348,1.98813,9.65378
788,1.81369,1.73955,9.30066
838,1.57710,1.82129,9.60417
889,1.70741,1.90601,9.67723
939,1.47865,1.70470,9.53949
989,1.41380,1.83003,9.58939
1039,1.36565,1.82108,9.45482
1088,1.45377,1.88203,9.70628
1139,1.23116,1.60107,9.48343
1188,0.93394,1.52594,9.44716
1238,0.73672,1.48399,9.81960
1289,1.04941,1.50604,9.54500
1340,1.03407,1.59067,9.70226
1389,0.94240,1.46634,9.62080
1439,1.06644,1.43956,9.61125
1488,1.14058,1.60612,9.86246
1538,0.65201,1.33339,9.80054
1589,0.74998,1.30354,9.64781
1651,0.85912,1.45836,9.81844
1691,0.88104,1.41190,9.76210
1739,0.94463,1.50935,9.76711
1789,0.76796,1.31856,9.58737
1839,0.86526,1.37433,9.64592
1889,0.88640,1.53384,9.69508
1939,0.74507,1.40417,9.57510
1989,0.82187,1.44356,9.79767
2039,0.85695,1.50146,9.80870
2089,0.86574,1.47556,9.76950
2139,0.75784,1.40918,9.59880
2189,0.72325,1.50618,9.55751
2240,0.71802,1.40825,9.74834
2289,0.76994,1.51140,9.73611
2339,0.64799,1.44862,9.62332
2388,0.80034,1.47415,9.75838
2438,0.81621,1.55934,9.82289
2489,0.80533,1.35379,9.72368
2539,0.73325,1.40848,9.62019
2588,0.73134,1.46613,9.67021
2652,0.64012,1.42664,9.69756
2689,0.80769,1.43703,9.80675
2739,0.71933,1.51932,9.82245
2789,0.84070,1.49483,9.76009
2839,0.88911,1.43031,9.62854
2889,0.88042,1.40341,9.70366
2938,0.67821,1.46338,9.61874
2989,0.61223,1.43559,9.71184
3039,0.53685,1.29510,9.70079
3089,0.83034,1.51434,9.77974
3139,0.84320,1.49960,9.81265
3189,0.78340,1.41550,9.66904
3239,0.76178,1.43498,9.60182
3288,0.65475,1.40977,9.63190
3338,0.74481,1.49300,9.83766
3388,0.79504,1.54327,9.91225
3439,0.82564,1.40393,9.61401
3489,0.85635,1.58713,9.73572
3539,0.74605,1.38121,9.61491
3589,0.89815,1.46269,9.66757
3655,0.80942,1.51897,9.81873
3688,0.91045,1.42822,9.78510
3739,0.81075,1.52316,9.70930
3789,0.83075,1.49597,9.71207
3839,0.88985,1.51236,9.76692
3889,0.94656,1.55127,9.77789
3938,0.89838,1.50043,9.64861
3990,0.93538,1.58809,9.75035
4040,0.92233,1.55147,9.70897
4090,0.86578,1.40112,9.63602
4139,0.95412,1.57857,9.72302
4188,0.84625,1.55688,9.77686
4239,0.97774,1.44760,9.60504
4288,0.82988,1.40686,9.57655
4339,0.96567,1.56100,9.78850
4388,1.01357,1.58546,9.76477
4439,1.00500,1.49487,9.77092
4489,1.16896,1.46436,9.59299
4539,1.03322,1.50516,9.67957
4588,1.29329,1.51398,9.70747
4660,1.17081,1.42119,9.69218
4688,1.11768,1.45917,9.85075
4740,1.01360,1.35202,9.68814
4789,1.15312,1.37712,9.51018
4839,1.07426,1.44690,9.76343
4889,1.09444,1.40202,9.67412
4939,1.13026,1.38545,9.65285
4990,1.07567,1.48734,9.78291
5039,1.04129,1.36755,9.69807
5088,1.09489,1.39227,9.66891
5139,1.12953,1.37656,9.66417
5189,1.15594,1.42587,9.67166
5239,1.17116,1.37569,9.64890
5289,1.09106,1.35713,9.57935
5339,1.09148,1.41135,9.71706
5388,1.08417,1.31281,9.74355
5438,1.10385,1.36038,9.74202
5488,1.12294,1.38271,9.65350
5538,1.19775,1.42657,9.67203
5588,1.10132,1.32225,9.64360
5650,1.16608,1.41383,9.72957
5689,1.17213,1.36812,9.70894
5739,1.18324,1.42610,9.78418
5790,1.16270,1.29562,9.62578
5839,1.10098,1.28014,9.62251
5889,1.12204,1.41527,9.71147
5938,1.09282,1.38509,9.79784
5988,1.19482,1.28676,9.70224
6038,1.20143,1.38399,9.62741
6088,1.16286,1.38971,9.76477
6139,1.15190,1.39267,9.67905
6189,1.18842,1.29942,9.64229
6238,1.15784,1.29303,9.70476
6288,1.18196,1.34518,9.56396
6339,1.13048,1.31918,9.84380
6389,1.16550,1.41089,9.82866
6439,1.11084,1.36513,9.67612
6488,1.12389,1.25397,9.51404
6539,1.11438,1.25244,9.53427
6589,1.23703,1.43378,9.78735
6667,1.16618,1.41608,9.86105
