time,level,voltage(mV),temperature(C),current(avg),current(instantaneous),charging
601,59,3873,29.0,-9223372036854775808,1022882,0
1652,59,3873,29.0,-9223372036854775808,799633,0
2653,59,3873,29.0,-9223372036854775808,994456,0
3655,59,3873,29.0,-9223372036854775808,840084,0
4661,59,3873,29.0,-9223372036854775808,747045,0
5652,59,3873,29.0,-9223372036854775808,804662,0
6668,59,3873,29.0,-9223372036854775808,597811,0
7653,59,3873,29.0,-9223372036854775808,745187,0
8651,59,3873,29.0,-9223372036854775808,881192,0
9650,59,3873,29.0,-9223372036854775808,1166541,0
10653,59,3873,29.0,-9223372036854775808,854625,0
11652,59,3873,29.0,-9223372036854775808,586987,0
12702,59,3873,29.0,-9223372036854775808,696426,0
13705,59,3873,29.0,-9223372036854775808,580646,0
14754,59,3873,29.0,-9223372036854775808,468037,0
15753,59,3873,29.0,-9223372036854775808,728131,0
16749,59,3873,29.0,-9223372036854775808,674341,0
17760,59,3873,29.0,-9223372036854775808,1058305,0
18753,59,3873,29.0,-9223372036854775808,727475,0
19752,59,3873,29.0,-9223372036854775808,716761,0
20800,59,3873,29.0,-9223372036854775808,790121,0
21800,59,3873,29.0,-9223372036854775808,626236,0
22827,59,3873,29.0,-9223372036854775808,928640,0
23804,59,3873,29.0,-9223372036854775808,764210,0
24850,59,3873,29.0,-9223372036854775808,709764,0
25851,59,3873,29.0,-9223372036854775808,649633,0
26866,59,3873,29.0,-9223372036854775808,753696,0
27852,59,3873,29.0,-9223372036854775808,691162,0
28851,59,3873,29.0,-9223372036854775808,574417,0
29849,59,3873,29.0,-9223372036854775808,608477,0
30852,59,3873,29.0,-9223372036854775808,916549,0
31853,59,3873,29.0,-9223372036854775808,958165,0
32855,59,3873,29.0,-9223372036854775808,902640,0
33852,59,3873,29.0,-9223372036854775808,806046,0
34901,59,3873,29.0,-9223372036854775808,594568,0
