time,azimuth
39,115
89,111
139,103
189,101
240,107
289,107
339,112
389,109
439,99
489,113
538,107
601,104
639,100
689,104
739,105
789,102
839,104
889,99
940,101
990,109
1039,104
1088,101
1140,104
1188,109
1238,111
1289,105
1341,100
1389,110
1440,105
1489,102
1539,110
1590,107
1652,106
1691,109
1739,101
1789,105
1839,103
1889,107
1941,103
1989,103
2039,107
2089,107
2139,104
2189,105
2240,107
2289,106
2340,102
2389,101
2439,102
2489,104
2539,108
2589,103
2652,106
2690,106
2739,106
2803,100
2840,111
2889,104
2939,106
2989,104
3040,107
3090,104
3140,105
3190,103
3240,101
3290,104
3340,103
3389,102
3439,104
3489,103
3539,106
3590,106
3655,106
3689,100
3739,106
3790,105
3839,100
3890,103
3939,104
3990,109
4040,101
4090,105
4140,103
4189,102
4240,102
4289,102
4339,103
4389,104
4440,103
4489,104
4540,106
4589,100
4660,108
4689,105
4741,108
4790,102
4839,104
4889,103
4940,106
4990,100
5040,106
5089,102
5139,103
5190,101
5240,102
5289,102
5340,104
5389,104
5439,102
5489,101
5539,104
5589,104
5652,102
5689,100
5739,104
5791,103
5839,103
5889,107
5939,103
5989,103
6039,102
6089,105
6139,104
6190,100
6239,104
6288,102
6340,104
6390,105
6440,104
6489,101
6539,104
6590,101
6668,102
6690,104
6746,106
6789,106
6838,103
6889,104
6939,102
6989,102
7039,104
7089,105
7140,102
7190,101
7240,103
7289,103
7340,104
7390,104
7440,99
7489,99
7539,102
7589,98
7652,101
7689,98
7739,101
7789,101
7842,104
7892,98
7939,101
7989,104
8038,101
8089,108
8139,99
8189,100
8239,100
8289,101
8339,102
8390,100
8439,101
8489,101
8539,105
8590,103
8650,102
8689,107
8739,100
8789,100
8839,100
8890,104
8942,111
8989,101
9039,105
9089,103
9139,103
9189,98
9239,101
9289,99
9339,100
9389,107
9439,108
9489,99
9539,106
9589,98
9650,98
9690,103
9739,99
9789,106
9839,106
9889,103
9939,105
9989,101
10039,105
10089,105
10139,99
10189,101
10239,102
10289,104
10339,104
10389,104
10439,101
10489,102
10539,102
10590,86
10653,92
10690,115
10739,81
10790,99
10838,83
10888,66
10940,83
10989,70
11040,67
11089,49
11139,43
11190,61
11239,42
11288,48
11340,35
11389,49
11439,33
11489,48
11539,44
11591,40
11652,42
11690,51
11739,51
11790,50
11839,48
11890,52
11939,41
11989,38
12039,30
12088,47
