time,USER,SYSTEM,IOW,IRQ
602,42,20,11,0
1652,42,20,11,0
2653,40,15,7,0
3655,40,15,7,0
4661,40,15,7,0
5652,40,15,7,0
6668,40,12,0,0
7653,40,12,0,0
8651,40,12,0,0
9650,40,12,0,0
10653,45,18,2,0
11653,45,18,2,0
12702,45,18,2,0
13705,45,18,2,0
14755,44,11,0,0
15753,44,11,0,0
16749,44,11,0,0
17760,44,11,0,0
18753,41,15,0,0
19752,41,15,0,0
20800,41,15,0,0
21800,41,15,0,0
22827,39,14,0,0
23804,39,14,0,0
24850,39,14,0,0
25851,39,14,0,0
26866,42,11,0,0
27852,42,11,0,0
28851,42,11,0,0
29849,42,11,0,0
30852,38,13,8,0
31853,38,13,8,0
32855,38,13,8,0
33852,38,13,8,0
34901,43,12,1,0
