time,x,y,z
39,-0.27763,0.12988,0.08701
89,-0.34323,0.08891,0.25932
139,-0.34979,-0.04872,0.35294
189,-0.75017,-0.17998,0.43758
240,-0.50354,-0.01158,0.51990
289,-0.50354,-0.01158,0.51990
339,-0.02406,0.48787,0.15355
389,-0.07875,0.50830,0.21368
439,-0.08028,0.71213,0.09941
489,-0.01688,0.46173,0.03639
538,-0.10852,0.30093,0.05359
601,-0.08533,0.22845,-0.04474
639,-0.13051,0.13324,-0.03645
689,-0.15309,0.13687,-0.07382
739,-0.08922,0.05620,-0.04065
789,-0.03603,0.09975,-0.08105
839,-0.05249,0.11371,-0.09769
889,-0.05447,0.08882,-0.03322
939,-0.03487,0.11417,-0.06346
989,-0.04965,0.08501,-0.02255
1039,-0.00429,0.15652,-0.09407
1088,-0.06740,0.11951,-0.08632
1139,-0.10231,0.27531,-0.19989
1188,-0.21036,0.14998,-0.12123
1238,-0.14825,0.04617,-0.07219
1289,-0.03075,0.02959,-0.02426
1341,-0.00429,-0.03255,0.03572
1389,-0.04659,0.02321,-0.03032
1439,-0.02267,0.00075,0.02011
1489,-0.06097,0.11844,-0.00940
1539,-0.07585,0.10915,-0.03169
1589,-0.01570,0.07935,-0.01553
1652,0.00375,0.06317,-0.00797
1691,0.00505,-0.00551,0.02696
1739,0.00731,-0.03261,0.03575
1789,0.00859,0.03551,-0.00443
1839,0.03366,-0.02782,0.01701
1889,0.01237,-0.03624,0.02798
1941,0.01027,0.05421,-0.01277
1989,0.00690,0.00790,-0.00964
2039,-0.00169,0.02061,0.00084
2089,0.01320,0.01056,0.00818
2139,0.07356,0.07391,0.02051
2189,0.07253,0.03148,0.03372
2240,-0.06310,0.06377,-0.02081
2289,0.00684,-0.02116,0.01036
2339,-0.01369,0.01662,-0.00400
2388,-0.00600,0.05249,-0.01761
2439,-0.00589,0.00691,0.00529
2489,-0.02426,-0.00595,0.00436
2539,-0.00734,-0.01595,0.01555
2588,-0.00546,-0.00259,0.02412
2652,0.01257,0.01938,-0.00369
2689,-0.00752,0.01060,-0.00365
2739,-0.00830,0.03090,-0.00688
2800,0.00427,-0.00958,0.01329
2839,-0.00957,0.01474,0.00139
2889,-0.00906,-0.01216,0.01482
2939,-0.01115,0.00620,0.04353
2989,0.02139,0.01729,0.02342
3040,0.02637,0.00526,0.00885
3090,0.00870,-0.00902,-0.00655
3139,-0.00586,-0.04866,0.02708
3190,0.02690,-0.00089,0.00110
3239,0.02129,-0.00600,0.00925
3290,0.03101,-0.02396,0.01749
3339,0.01120,-0.00356,0.00839
3389,0.00696,-0.02519,0.00963
3439,0.01254,-0.04173,0.02548
3489,0.02483,-0.02692,0.02299
3539,-0.00372,-0.03040,-0.01770
3589,0.04214,-0.02267,0.00458
3655,0.01990,-0.03902,0.02638
