time,x,y,z
39,-19.04144,-1.75476,-45.35980
89,-19.79065,-0.66376,-47.19696
139,-18.68896,-0.50659,-46.11969
189,-18.31055,4.03137,-46.12732
240,-18.28308,4.19617,-46.05255
289,-18.28308,4.19617,-46.05255
338,-19.12079,6.37360,-45.56274
389,-19.07043,6.44531,-45.61157
439,-16.20941,6.17676,-46.61102
488,-16.89453,7.29218,-47.36481
538,-14.76288,7.71484,-46.87042
601,-13.35449,7.38220,-47.85309
638,-12.08191,8.05054,-48.50464
688,-11.74622,7.71484,-47.85156
738,-13.24310,8.09479,-48.54736
789,-12.55188,9.18884,-48.14453
839,-12.08191,8.72040,-48.83270
889,-10.92682,8.71124,-48.03162
939,-10.23865,10.56366,-48.01483
989,-12.58545,9.22241,-48.01483
1039,-10.90851,7.88269,-48.66791
1088,-10.45990,8.48694,-48.17352
1139,-10.74066,8.38623,-47.69135
1188,-10.51178,9.72595,-48.37799
1238,-9.97620,9.86786,-49.20502
1289,-10.07080,10.39581,-48.83270
1341,-8.23975,10.37445,-48.91357
1389,-10.34393,9.49402,-48.48328
1439,-9.16748,9.39331,-48.28644
1488,-8.85010,10.75134,-48.44513
1539,-9.40094,9.72595,-46.87042
1589,-8.89740,9.55811,-48.99597
1652,-8.89740,10.89935,-47.36023
1691,-9.85260,10.61401,-48.23761
1739,-8.19855,11.59821,-48.19641
1789,-8.37555,11.71570,-48.77167
1839,-8.27637,10.78949,-48.68622
1889,-9.06525,9.39026,-48.17810
1940,-8.05969,10.39581,-49.81232
1989,-8.39539,10.79254,-49.42474
2039,-9.39941,9.40094,-49.79706
2089,-9.38416,9.43146,-49.74823
2139,-8.39539,10.39581,-48.83270
2189,-8.38470,10.40649,-48.88916
2240,-8.78601,9.89380,-48.55804
2289,-8.73108,10.15778,-48.78387
2339,-7.00684,11.07483,-48.60992
2388,-7.76215,11.29150,-48.53973
2439,-7.56531,10.39581,-49.07990
2489,-7.72552,10.73151,-48.83270
2539,-8.73108,9.39026,-48.50464
2588,-7.66144,10.25391,-48.34137
2652,-8.23822,10.78186,-47.69135
2689,-8.35266,9.97620,-48.50616
2739,-8.53424,11.12671,-48.44513
2799,-6.88782,10.89935,-49.97711
2839,-10.23865,9.89380,-47.68829
2889,-7.58209,10.50262,-48.10944
2938,-8.47321,9.96552,-49.89777
2989,-7.23419,9.33075,-49.51172
3040,-7.99103,10.38055,-49.25079
3089,-8.73108,10.06165,-50.14038
3139,-8.39539,9.72595,-48.17810
3190,-7.67975,11.20300,-49.62006
3239,-7.55768,11.56921,-49.97711
3290,-7.77740,10.19745,-48.78998
3339,-7.93915,10.35309,-49.36371
3389,-7.38983,10.39581,-48.50464
3439,-8.05969,10.39581,-49.15924
3489,-8.39539,10.06165,-50.46692
3539,-8.16956,9.44366,-48.72589
3589,-8.95386,10.28290,-48.53973
3655,-9.07898,10.33325,-49.72687
3689,-7.47681,10.36224,-50.13275
3739,-9.06525,10.73151,-47.85156
3789,-8.71735,9.75037,-48.17200
3839,-7.42035,10.73151,-49.44611
3889,-8.39539,9.93347,-49.09668
3939,-8.29163,8.24280,-48.24982
3990,-10.07080,9.39026,-49.48578
4040,-8.22754,11.90491,-48.99597
4090,-8.89740,10.22797,-49.64905
4139,-8.43201,9.62372,-48.86169
4189,-7.69958,9.64813,-49.30878
4239,-8.29010,9.74274,-49.29504
4289,-7.74078,10.01129,-49.07684
4339,-8.89740,11.90491,-48.66791
4389,-9.34601,10.11505,-48.56110
4440,-8.42285,9.94415,-47.85767
4489,-10.04028,10.83374,-49.18823
4539,-10.52094,10.77728,-48.71979
4589,-9.21021,10.74677,-48.69232
4660,-11.24420,10.56366,-49.64905
4689,-10.07080,11.23199,-48.50159
4740,-10.01892,9.98230,-47.68066
4789,-9.49707,11.83777,-48.54584
4839,-10.29205,11.00159,-50.02594
4889,-9.40094,10.49652,-48.81592
4939,-10.57434,10.56366,-47.36023
4990,-8.39539,10.06165,-48.83270
5040,-9.53979,10.59265,-48.86932
5089,-8.95538,10.02350,-48.71063
5139,-9.22699,11.08551,-48.53821
5189,-9.01184,11.27014,-49.13635
5239,-8.89740,9.89380,-48.34137
5289,-8.89740,9.89380,-48.34137
5339,-10.02960,11.27472,-48.91357
5389,-9.66187,10.80627,-49.08447
5438,-9.24530,12.19482,-48.99597
5489,-9.06525,11.06720,-48.50464
5538,-9.41315,10.74982,-48.49243
5588,-9.73663,10.39581,-48.83270
5651,-9.56879,11.56921,-48.34137
5689,-8.68835,10.65216,-47.77374
5739,-9.75952,11.33423,-48.26355
5791,-9.70917,11.65161,-48.96545
5839,-9.06525,11.06720,-47.85156
5889,-10.90851,9.89380,-48.66791
5939,-9.30176,11.74316,-48.65570
5989,-9.52301,10.18066,-50.16785
6039,-9.66187,11.57990,-48.35205
6089,-10.29663,11.17554,-48.18268
6139,-9.91058,11.05042,-48.86322
6189,-8.89740,11.23352,-48.34137
6238,-9.86481,11.33118,-48.30170
6288,-9.56879,11.23352,-48.01483
6339,-10.07843,11.87592,-49.49188
6389,-10.07843,11.70044,-48.98071
6439,-9.90295,10.56366,-47.68829
6489,-9.06525,11.73706,-48.17810
6539,-10.07080,11.40137,-49.81232
6589,-9.57947,11.27319,-49.06158
6667,-9.26971,11.75079,-47.97974
6689,-9.73663,11.40137,-47.52502
6746,-10.66895,11.61346,-47.50824
6788,-10.66895,11.61346,-47.50824
6838,-10.07080,12.40692,-47.19696
6889,-10.11200,11.91864,-47.97974
6939,-9.75494,11.93390,-48.48633
6989,-9.75800,11.75690,-48.48328
7039,-10.56061,10.97260,-49.60480
7089,-10.07080,11.73706,-47.19696
7140,-9.40094,12.07123,-48.50464
7190,-9.41620,12.40692,-48.83270
7239,-10.06470,11.41205,-47.52350
7289,-10.06470,11.41205,-47.52350
7340,-10.41718,12.15973,-48.66791
7389,-10.41718,12.15973,-48.66791
7439,-8.89740,12.23907,-48.99597
