time,available,total
602,269406208,1945096192
1652,270884864,1945096192
2653,274718720,1945096192
3655,276922368,1945096192
4661,293007360,1945096192
5652,291340288,1945096192
6668,285052928,1945096192
7653,289103872,1945096192
8651,290258944,1945096192
9650,292982784,1945096192
10653,282501120,1945096192
11653,277254144,1945096192
12702,279138304,1945096192
13705,280289280,1945096192
14755,279617536,1945096192
15753,282427392,1945096192
16749,279826432,1945096192
17760,279588864,1945096192
18753,279416832,1945096192
19752,286986240,1945096192
20800,286031872,1945096192
21800,288989184,1945096192
22827,284540928,1945096192
23804,282697728,1945096192
24850,284823552,1945096192
25851,284356608,1945096192
26866,284196864,1945096192
27852,287662080,1945096192
28851,287969280,1945096192
29849,286633984,1945096192
30852,287797248,1945096192
31853,285941760,1945096192
32855,286580736,1945096192
33852,287588352,1945096192
34901,292433920,1945096192
