time,total received,total sent,mobile received,mobile sent
602,766390289,238376181,0,0
1652,766390289,238376181,0,0
2653,766390289,238376181,0,0
3655,766390378,238376411,0,0
4661,766390378,238376411,0,0
5652,766390378,238376411,0,0
6668,766390378,238376411,0,0
7653,766390378,238376411,0,0
8651,766390378,238376411,0,0
9650,766390414,238376411,0,0
10653,766390414,238376463,0,0
11653,766390414,238376463,0,0
12702,766390414,238376463,0,0
13705,766390414,238376463,0,0
14755,766390414,238376463,0,0
15753,766390414,238376463,0,0
16749,766390414,238376463,0,0
17760,766390414,238376463,0,0
18753,766390414,238376463,0,0
19752,766390414,238376463,0,0
20800,766390414,238376463,0,0
21800,766390414,238376503,0,0
22827,766390414,238376503,0,0
23804,766390503,238376681,0,0
24851,766390503,238376733,0,0
25851,766390503,238376733,0,0
26866,766390503,238376733,0,0
27852,766390503,238376733,0,0
28851,766395740,238378909,0,0
29849,766396062,238378909,0,0
30852,766396062,238378909,0,0
31853,766396062,238378909,0,0
32855,766396062,238378909,0,0
33852,766396062,238378909,0,0
34901,766396062,238378909,0,0
