time,hPa
601,1014.19257
1652,1014.18262
2652,1014.17712
3655,1014.17212
4660,1014.17261
5652,1014.16260
6668,1014.17261
7652,1014.18262
8650,1014.16260
9650,1014.16260
10653,1014.18262
11652,1014.16260
12702,1014.15259
13702,1014.16260
14754,1014.17261
15753,1014.16260
16749,1014.16260
17759,1014.16260
18752,1014.16187
19752,1014.15259
20800,1014.15259
21800,1014.14258
22827,1014.16260
23803,1014.15259
24850,1014.16260
25851,1014.17688
26865,1014.16583
27852,1014.16260
28851,1014.14258
29849,1014.13263
30852,1014.14258
31853,1014.12262
32855,1014.12262
33852,1014.11261
34901,1014.10266
