time,distance
39,5.00000
89,5.00000
139,5.00000
189,5.00000
240,5.00000
289,5.00000
339,5.00000
389,5.00000
439,5.00000
489,5.00000
538,5.00000
601,5.00000
639,5.00000
689,5.00000
739,5.00000
789,5.00000
839,5.00000
889,5.00000
940,5.00000
990,5.00000
1039,5.00000
1088,5.00000
1140,5.00000
1188,5.00000
1238,5.00000
1289,5.00000
1341,5.00000
1389,5.00000
1439,5.00000
1489,5.00000
1539,5.00000
1590,5.00000
1652,5.00000
1691,5.00000
1739,5.00000
1789,5.00000
1839,5.00000
1889,5.00000
1941,5.00000
1989,5.00000
2039,5.00000
2089,5.00000
2139,5.00000
2189,5.00000
2240,5.00000
2289,5.00000
2340,5.00000
2388,5.00000
2439,5.00000
2489,5.00000
2539,5.00000
2589,5.00000
2652,5.00000
2689,5.00000
2739,5.00000
2803,5.00000
2840,5.00000
2889,5.00000
2939,5.00000
2989,5.00000
3040,5.00000
3090,5.00000
3139,5.00000
3190,5.00000
3239,5.00000
3290,5.00000
3340,5.00000
3389,5.00000
3439,5.00000
3489,5.00000
3539,5.00000
3590,5.00000
3655,5.00000
3689,5.00000
3739,5.00000
3790,5.00000
3839,5.00000
3890,5.00000
3939,5.00000
3990,5.00000
4040,5.00000
4090,5.00000
4140,5.00000
4189,5.00000
4240,5.00000
4289,5.00000
4339,5.00000
4389,5.00000
4440,5.00000
4489,5.00000
4540,5.00000
4589,5.00000
4660,5.00000
4689,5.00000
4741,5.00000
4790,5.00000
4839,5.00000
4889,5.00000
4940,5.00000
4990,5.00000
5040,5.00000
5089,5.00000
5139,5.00000
5190,5.00000
5240,5.00000
5289,5.00000
5340,5.00000
5389,5.00000
5439,5.00000
5489,5.00000
5539,5.00000
5589,5.00000
5652,5.00000
5689,5.00000
5739,5.00000
5791,5.00000
5839,5.00000
5889,5.00000
5939,5.00000
5989,5.00000
6039,5.00000
6089,5.00000
6139,5.00000
6190,5.00000
6239,5.00000
6288,5.00000
6340,5.00000
6390,5.00000
6439,5.00000
6489,5.00000
6539,5.00000
6590,5.00000
6668,5.00000
6690,5.00000
6746,5.00000
6789,5.00000
6838,5.00000
6889,5.00000
6939,5.00000
6989,5.00000
7039,5.00000
7089,5.00000
7140,5.00000
7190,5.00000
7240,5.00000
7289,5.00000
7340,5.00000
7390,5.00000
7440,5.00000
7489,5.00000
7539,5.00000
7589,5.00000
7652,5.00000
7689,5.00000
7739,5.00000
7789,5.00000
7842,5.00000
7891,5.00000
7939,5.00000
7989,5.00000
8038,5.00000
8089,5.00000
8139,5.00000
8189,5.00000
8239,5.00000
8289,5.00000
8339,5.00000
8390,5.00000
8439,5.00000
8489,5.00000
8539,5.00000
8590,5.00000
8650,5.00000
8689,5.00000
8739,5.00000
8789,5.00000
8839,5.00000
8890,5.00000
8942,5.00000
8989,5.00000
9039,5.00000
9089,5.00000
9139,5.00000
9189,5.00000
9239,5.00000
9289,5.00000
9339,5.00000
9389,5.00000
9439,5.00000
9489,5.00000
9539,5.00000
9589,5.00000
9650,5.00000
9690,5.00000
9739,5.00000
9789,5.00000
9839,5.00000
9889,5.00000
9939,5.00000
9989,5.00000
10039,5.00000
10089,5.00000
10139,5.00000
10189,5.00000
10239,5.00000
10289,5.00000
10339,5.00000
10389,5.00000
10439,5.00000
10489,5.00000
10539,5.00000
10589,5.00000
10653,5.00000
10690,5.00000
10739,5.00000
10790,5.00000
10838,5.00000
10888,5.00000
10940,5.00000
10989,5.00000
11040,5.00000
11089,5.00000
11139,5.00000
11190,5.00000
11238,5.00000
11288,5.00000
11340,5.00000
11389,5.00000
11439,5.00000
11489,5.00000
11539,5.00000
11591,5.00000
11652,5.00000
11690,5.00000
11739,5.00000
11790,5.00000
11839,5.00000
11890,5.00000
11939,5.00000
11989,5.00000
12038,5.00000
12088,5.00000
12139,5.00000
12190,5.00000
12239,5.00000
12289,5.00000
12340,5.00000
12390,5.00000
12439,5.00000
12489,5.00000
12539,5.00000
12589,5.00000
12639,5.00000
12701,5.00000
12739,5.00000
12789,5.00000
12839,5.00000
12889,5.00000
12939,5.00000
12989,5.00000
13040,5.00000
13089,5.00000
13139,5.00000
13189,5.00000
13239,5.00000
13288,5.00000
13339,5.00000
13389,5.00000
13440,5.00000
13490,5.00000
13540,5.00000
13589,5.00000
13640,5.00000
13702,5.00000
13739,5.00000
13797,5.00000
13838,5.00000
13889,5.00000
13939,5.00000
13990,5.00000
14039,5.00000
14089,5.00000
14139,5.00000
14189,5.00000
14239,5.00000
14290,5.00000
14339,5.00000
14389,5.00000
14439,5.00000
14489,5.00000
14540,5.00000
14589,5.00000
14639,5.00000
14690,5.00000
14754,5.00000
14792,5.00000
14838,5.00000
14890,5.00000
14939,5.00000
14989,5.00000
15039,5.00000
15089,5.00000
15140,5.00000
15189,5.00000
15240,5.00000
15289,5.00000
15339,5.00000
15388,5.00000
15440,5.00000
15490,5.00000
15540,5.00000
15590,5.00000
15639,5.00000
15690,5.00000
15752,5.00000
15790,5.00000
15840,5.00000
15889,5.00000
15942,5.00000
15989,5.00000
16040,5.00000
16089,5.00000
16142,0.00000
16190,0.00000
16239,0.00000
16289,0.00000
16339,0.00000
16390,0.00000
16439,0.00000
16489,0.00000
16540,0.00000
16589,0.00000
16640,0.00000
16689,0.00000
16749,0.00000
16789,0.00000
16838,0.00000
16889,0.00000
16939,0.00000
16989,0.00000
17039,0.00000
17089,0.00000
17139,0.00000
17190,0.00000
17240,0.00000
17289,0.00000
17339,0.00000
17389,0.00000
17440,0.00000
17489,0.00000
17539,0.00000
17590,0.00000
17639,0.00000
17689,0.00000
17759,0.00000
17789,0.00000
17839,0.00000
17888,0.00000
17940,0.00000
17989,0.00000
18040,0.00000
18089,0.00000
18139,0.00000
18190,0.00000
18239,0.00000
18290,0.00000
18347,0.00000
18392,0.00000
18439,0.00000
18489,0.00000
18539,0.00000
18589,0.00000
18640,0.00000
18689,0.00000
18752,0.00000
18808,0.00000
18839,0.00000
18889,0.00000
18939,5.00000
18989,5.00000
19039,5.00000
19089,5.00000
19141,5.00000
19190,5.00000
19240,5.00000
19289,5.00000
19340,5.00000
19389,5.00000
19439,5.00000
19490,5.00000
19539,5.00000
19589,5.00000
19640,5.00000
19689,5.00000
19752,5.00000
19789,5.00000
19840,5.00000
19889,5.00000
19939,5.00000
19989,5.00000
20039,5.00000
20090,5.00000
20139,5.00000
20189,5.00000
20240,5.00000
20289,5.00000
20339,5.00000
20392,5.00000
20440,5.00000
20489,5.00000
20543,5.00000
20590,5.00000
20640,5.00000
20689,5.00000
20740,5.00000
20800,5.00000
20839,5.00000
20889,5.00000
20939,5.00000
20990,5.00000
21040,5.00000
21089,5.00000
21140,5.00000
21191,5.00000
21240,5.00000
21291,5.00000
21339,5.00000
21389,5.00000
21439,5.00000
21489,5.00000
21539,5.00000
21589,5.00000
21639,5.00000
21690,5.00000
21739,5.00000
21800,5.00000
21839,5.00000
21890,5.00000
21940,5.00000
21989,5.00000
22039,5.00000
22089,5.00000
22139,5.00000
22189,5.00000
22239,5.00000
22289,5.00000
22340,5.00000
22389,5.00000
22439,5.00000
22489,5.00000
22539,5.00000
22589,5.00000
22640,5.00000
22689,5.00000
22738,5.00000
22827,5.00000
22840,5.00000
22889,5.00000
22939,5.00000
22990,5.00000
23040,5.00000
23090,5.00000
23141,5.00000
23190,5.00000
23240,5.00000
23290,5.00000
23339,5.00000
23389,0.00000
23439,0.00000
23489,0.00000
23539,0.00000
23589,0.00000
23639,0.00000
23689,0.00000
23740,0.00000
23803,0.00000
23839,0.00000
23889,0.00000
23940,0.00000
23989,0.00000
24040,0.00000
24090,0.00000
24139,0.00000
24189,0.00000
24239,0.00000
24289,0.00000
24340,0.00000
24390,0.00000
24439,0.00000
24489,0.00000
24539,0.00000
24589,0.00000
24640,0.00000
24689,0.00000
24740,0.00000
24790,0.00000
24850,0.00000
24888,0.00000
24939,0.00000
24990,5.00000
25039,5.00000
